Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
35,মনোৰোগ-বিজ্ঞান - অসমীয়া ৱিকিপিডিয়া,https://as.wikipedia.org/wiki/%E0%A6%AE%E0%A6%A8%E0%A7%8B%E0%A7%B0%E0%A7%8B%E0%A6%97-%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8,http://www.myasha.org/node/12,http://www.myasha.org/node/12,20,296,True,False,False,True,False,False,False,False,2024-10-29,2025-05-05,False,False
35,মনোরোগ বিজ্ঞান - উইকিপিডিয়া,https://bn.wikipedia.org/wiki/%E0%A6%AE%E0%A6%A8%E0%A7%8B%E0%A6%B0%E0%A7%8B%E0%A6%97_%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8,http://www.myasha.org/node/12,http://www.myasha.org/node/12,20,262,True,False,False,True,False,False,False,False,2024-10-28,2025-05-08,False,False
25,Depression and anxiety: What worked for me | CNN,https://edition.cnn.com/2014/03/04/health/ramprasad-depression/index.html,http://www.myasha.org/,ASHA International,10,132,False,False,False,True,False,False,False,False,2024-01-24,2025-02-02,False,False
25,Depression and anxiety: What worked for me | CNN,https://www.cnn.com/2014/03/04/health/ramprasad-depression/index.html,http://www.myasha.org/,ASHA International,16,143,False,False,False,True,False,False,False,False,2024-07-04,2025-03-16,False,False
24,Elevating Lives: Best Practices of Human Rights Based Supports | Division for Inclusive Social Development (DISD),https://social.desa.un.org/sdn/elevating-lives-best-practices-of-human-rights,https://myasha.org/,https://myasha.org/,20,107,False,False,False,True,False,False,False,False,2024-05-19,2025-05-02,False,False
22,Shadows in the Sun: Healing from Depression and Finding the Light Within by Gayathri Ramprasad | Goodreads,https://www.goodreads.com/book/show/18211062-shadows-in-the-sun,http://www.myasha.org/,www.myasha.org,8,157,True,False,False,True,False,False,False,False,2024-03-10,2025-04-14,False,False
22,The power of a story: Those struggling with mental illness share stories of hope at 'My Story My Superpower' show | kgw.com,https://www.kgw.com/article/news/the-power-of-a-story-those-struggling-with-mental-illness-share-stories-of-hope-at-my-story-my-superpower-show/283-92f0f2c1-f5b3-4043-950f-1f7e477706ba,https://myasha.org/schools/,Molly travels to local high schools and speaks to teens about mental health and promotes well being,19,80,False,False,False,True,False,False,False,False,2023-10-23,2025-05-10,False,False
22,The power of a story: Those struggling with mental illness share stories of hope at 'My Story My Superpower' show | kgw.com,https://www.kgw.com/article/news/the-power-of-a-story-those-struggling-with-mental-illness-share-stories-of-hope-at-my-story-my-superpower-show/283-92f0f2c1-f5b3-4043-950f-1f7e477706ba,https://myasha.org/2019/04/meet-our-storytellers/,"My Story My Superpower,",19,80,False,False,False,True,False,False,False,False,2023-10-23,2025-05-10,False,False
22,The power of a story: Those struggling with mental illness share stories of hope at 'My Story My Superpower' show | kgw.com,https://www.kgw.com/article/news/the-power-of-a-story-those-struggling-with-mental-illness-share-stories-of-hope-at-my-story-my-superpower-show/283-92f0f2c1-f5b3-4043-950f-1f7e477706ba,https://myasha.org/,Nonprofit ASHA International,19,80,False,False,False,True,False,False,False,False,2023-10-23,2025-05-10,False,False
22,The power of a story: Those struggling with mental illness share stories of hope at 'My Story My Superpower' show | kgw.com,https://www.kgw.com/article/news/the-power-of-a-story-those-struggling-with-mental-illness-share-stories-of-hope-at-my-story-my-superpower-show/283-92f0f2c1-f5b3-4043-950f-1f7e477706ba,https://myasha.org/,ASHA website,19,80,False,False,False,True,False,False,False,False,2023-10-23,2025-05-10,False,False
21,Youth share their mental health stories in an attempt to shatter the stigma,https://katu.com/features/kind-is-better/youth-share-their-mental-health-stories-in-an-attempt-to-shatter-the-stigma,https://myasha.org/,ASHA International,9,32,False,False,False,True,False,False,False,False,2024-01-09,2025-05-07,False,False
