Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
47,WEB DIRECTORY,https://webbys.pages.dev/46/LsYvAKGKbJ,https://vetgrad.com/,vetgrad.com,10003,1,True,False,False,True,False,False,False,False,2024-05-23,2025-05-04,False,False
46,manaage,https://manaageh.blogspot.com/,https://test.vetgrad.com/,test,50177,7,True,False,False,True,False,False,False,False,2024-02-19,2025-05-12,False,False
36,Top Global Websites Directory,https://global-rank.pages.dev/02/eaQczinZrs,https://vetgrad.com/,vetgrad.com,10003,1,True,False,False,True,False,False,False,False,2024-03-12,2025-05-08,False,False
26,"Digestive System, Liver, and Abdominal Cavity - PMC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7158306/,https://vetgrad.com/show10MinuteTopUp.php?type=%2526Entity%253D10MinuteTopUps%2526ID%253D31,http://media.gradvet.com/show10MinuteTopUp.php?type=&Entity=10MinuteTopUps&ID=31,1008,1450,True,False,False,True,False,False,False,False,2025-01-12,2025-03-07,False,False
25,Links hotels 1,https://groups.google.com/g/all-andorra/c/QgLSHa2A_Cs,http://test.vetgrad.com/clickthrough.php?URL=http%3A%2F%2Felitanaroda.unas.cz%2Fguest%2Fkniha.php&sourceID=1006&type=job,http://test.vetgrad.com/clickthrough.php?URL=http%3A//elitanaroda.unas.cz%2Fguest%2Fkniha.php&type=job&sourceID=1006,2461,8,True,False,False,True,False,False,False,False,2024-04-03,2025-02-10,False,False
24,,http://media.gradvet.com/clickthrough.php?url=http%3A%2F%2Fwww.prinoth.ch,https://vetgrad.com/clickthrough.php?url=http%253A%252F%252Fwww.prinoth.ch,,0,0,False,False,False,True,False,False,False,False,2024-10-21,2025-01-20,False,False
24,Normal+ACTH - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRBPRS&q=Normal%2BACTH,https://vetgrad.com/core_modules/entityshow.php?Entity=10MinuteTopUps&ID=51,vetgrad.com,39,171,False,False,False,True,False,False,False,False,2024-10-09,2024-12-30,False,True
24,ACTH+Testing - Search Images,https://akam.bing.com/images/search?FORM=IRMHIP&q=ACTH%2BTesting,http://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=51&type,vetgrad.com,41,336,False,False,False,True,False,False,False,False,2024-01-14,2024-11-28,False,True
24,VetGrad - Home - The Website For Vets,https://vetgrad.com/welcome.php,https://vetgrad.com/img/banners/Mr-Oakley/index.html,,3,134,False,False,False,False,True,False,False,False,2023-12-14,2025-05-03,False,True
24,VetGrad - Home - The Website For Vets,https://vetgrad.com/welcome.php,https://vetgrad.com/img/banners/Mrs-Richardson/index.html,,3,134,False,False,False,False,True,False,False,False,2023-12-14,2025-05-03,False,True
23,VetGrad - 10 Minute Top Up - Small Animal - 10 Min - The Website For Vets,https://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=138&type,https://vetgrad.com/img/banners/Mr-Oakley/index.html,,2,131,False,False,False,False,True,False,False,False,2024-01-02,2025-04-18,False,True
22,,http://vetgrad.org/,https://vetgrad.com/welcome.php,,0,0,False,False,False,True,False,False,False,False,2024-02-29,2025-04-29,False,True
