Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,,http://media.gradvet.com/clickthrough.php?url=http%3A%2F%2Fwww.prinoth.ch,https://vetgrad.com/clickthrough.php?url=http%253A%252F%252Fwww.prinoth.ch,,0,0,False,False,False,True,False,False,False,False,2024-10-21,2025-01-20,False,False
22,,http://vetgrad.org/,https://vetgrad.com/,,0,0,False,False,False,True,False,False,False,False,2025-01-09,2025-04-29,False,True
21,,http://vetgrad.co.uk/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=41&type,https://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=41&type,,0,0,False,False,False,True,False,False,False,False,2024-02-25,2025-04-26,False,False
23,VetGrad - 10 Minute Top Up - Small Animal - 10 Min - The Website For Vets,https://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=138&type,https://vetgrad.com/img/banners/Mr-Oakley/index.html,,2,131,False,False,False,False,True,False,False,False,2024-01-02,2025-04-18,False,True
10,Laz has reached the end of the road - Cat Chat Feline Forum,https://www.catchat.org/felineforum/viewtopic.php?t=1446,http://vetgrad.com/uploads/Semintra_pack_shot-1.jpg,http://vetgrad.com/uploads/Semintra_pack_shot-1.jpg,3,92,False,False,False,True,False,False,False,False,2024-03-05,2025-05-08,False,False
5,Forums - Profile of SethLack9,http://www.globalvision2000.com/forum/member.php?action=profile&uid=85691,http://test.vetgrad.com/clickthrough.php?URL=http%3A%2F%2Felitanaroda.unas.cz%2Fguest%2Fkniha.php&sourceID=1006&type=job,http://test.vetgrad.com/clickthrough.php?URL=http%3A//elitanaroda.unas.cz%2Fguest%2Fkniha.php&type=job&sourceID=1006,3,20,False,False,False,True,False,False,False,False,2024-05-17,2024-11-13,False,False
5,Precision Medicine for Canine Mammary Gland Tumors,https://blog.fidocure.com/fidocure-blog/precision-medicine-for-canine-mammary-gland-tumors,https://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=138&type,https://vetgrad.com/show10MinuteTopUp.php?type=&Entity=10MinuteTopUps&ID=138,6,26,False,False,False,True,False,False,False,False,2024-09-28,2025-05-13,False,False
7,民生观察 关注底层民众命运 - 留言本,https://msguancha.com/plus/guestbook.php?gotopagerank&pageno=265720&totalresult=2660762,http://test.vetgrad.com/clickthrough.php?URL=http%3A%2F%252,[主页],7,17,False,False,False,False,False,False,True,False,2025-02-16,2025-02-16,False,False
5,Veterinary CPD Vouchers for VetGrad winners - CPD Solutions,https://www.cpd-solutions.com/veterinary-cpd-vouchers-for-vetgrad-winners/,https://vetgrad.com/welcome.php,VetGrad site,7,32,False,False,False,True,False,False,False,False,2024-12-19,2025-04-24,False,False
19,Why choose Cambridge? | Department of Veterinary Medicine,https://www.vet.cam.ac.uk/study/vet/why,https://vetgrad.com/welcome.php,VetGrad – a site set up by a former Cambridge graduate,10,170,False,False,False,True,False,False,False,False,2024-11-03,2025-05-01,False,False
9,Kasside diabeet – mis see on?,https://www.petcity.ee/blogi/kasside-diabeet-mis-see-on,https://vetgrad.com/show10MinuteTopUp.php?Entity=10MinuteTopUps&ID=47&type,https://vetgrad.com/show10MinuteTopUp.php?type=&Entity=10MinuteTopUps&ID=47,14,321,False,False,False,True,False,False,False,False,2024-03-07,2025-05-14,False,False
11,"Cat Chin Mites: Causes, Symptoms & Treatment",https://petcube.com/blog/chin-mites-in-cats/,https://vetgrad.com/core_modules/entityshow.php?Entity=10MinuteTopUps&ID=66&ref=petcube.com,pruritus,15,43,False,False,False,True,False,False,False,False,2025-03-21,2025-05-13,False,False
11,vetgrad.com Cross Site Scripting vulnerability OBB-2897488 | Open Bug Bounty,https://www.openbugbounty.org/reports/2897488/,https://vetgrad.com/,vetgrad.com,16,85,False,False,False,True,False,False,False,False,2024-07-06,2024-11-16,False,False
