Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
30,AFFIRMATIVhealth (affirmativhealt) - Profile | Pinterest,https://www.pinterest.com/affirmativhealt/,http://www.affirmativhealth.com/,affirmativhealth.com,1,18,True,False,False,True,False,False,False,False,2024-06-18,2024-12-19,False,True
29,Medical Powerhouse AFFIRMATIVhealth and Its Research-Driven Approach to Addressing Alzheimer’s Disease and Other Cognitive Decline Issues,https://finance.yahoo.com/news/medical-powerhouse-affirmativhealth-research-driven-092000090.html,https://affirmativhealth.com/,www.affirmativhealth.co,16,302,True,False,False,True,False,False,False,False,2024-05-16,2025-04-29,False,True
26,AFFIRMATIVhealth (affirmativhealt) - Profile | Pinterest,https://www.pinterest.com/affirmativhealt/,http://www.affirmativhealth.com/,affirmativhealth.com ; Opens a new tab,1,15,False,False,False,True,False,False,False,False,2024-12-19,2025-04-08,False,False
24,Brain+Design - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Brain%2BDesign,https://affirmativhealth.com/tech-brain-art-brain/,affirmativhealth.com,41,340,False,False,False,True,False,False,False,False,2023-12-26,2024-11-17,False,True
23,Gluten+Free+Items - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRFLTR&q=Gluten%2BFree%2BItems&qft,https://affirmativhealth.com/the-gut-to-brain-connection-of-gluten-sensitivity-and-dementia/,affirmativhealth.com,40,169,False,False,False,True,False,False,False,False,2024-11-16,2024-11-16,False,False
23,Brain+Art - Search Images,https://4.bing.com/images/search?FORM=IRMHRE&q=Brain%2BArt,https://affirmativhealth.com/tech-brain-art-brain/,affirmativhealth.com,38,295,False,False,False,True,False,False,False,False,2024-06-18,2024-11-04,False,True
23,Tau+MR1 - Search Images,https://akam.bing.com/images/search?FORM=IRIBEP&q=Tau%2BMR1,http://affirmativhealth.com/role-of-tau-in-neurodegenerative-diseases/,affirmativhealth.com,41,243,False,False,False,True,False,False,False,False,2024-10-26,2025-01-14,False,True
23,Artist+Brain - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Artist%2BBrain,https://affirmativhealth.com/tech-brain-art-brain/,affirmativhealth.com,40,169,False,False,False,True,False,False,False,False,2024-09-26,2024-12-18,False,False
23,Gluten - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Gluten,https://affirmativhealth.com/the-gut-to-brain-connection-of-gluten-sensitivity-and-dementia/,affirmativhealth.com,42,421,False,False,False,True,False,False,False,False,2024-05-08,2025-01-19,False,True
22,Artist+Brain - Search Images,https://akam.bing.com/images/search?FORM=IRFLTR&q=Artist%2BBrain&qft,https://affirmativhealth.com/tech-brain-art-brain/,affirmativhealth.com,41,412,False,False,False,True,False,False,False,False,2024-10-15,2025-01-13,False,False
