Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
48,nvvegfest,https://nvvegfest.blogspot.com/,https://wideeyesopenpalms.com/,wideeyesopenpalms,50174,7,True,False,False,True,False,False,False,False,2024-06-10,2025-05-15,False,False
46,nvvegfest,https://nvvegfest.blogspot.com/%C2%A0,https://wideeyesopenpalms.com/,wideeyesopenpalms,50174,5,True,False,False,True,False,False,False,False,2024-07-18,2025-04-18,False,False
22,nvvegfest,https://nvvegfest.blogspot.com/OPS_Page/index.html,https://wideeyesopenpalms.com/,wideeyesopenpalms,50174,5,True,False,False,True,False,False,False,False,2024-12-02,2025-04-19,False,False
22,nvvegfest,https://nvvegfest.blogspot.com/hot/,https://wideeyesopenpalms.com/,wideeyesopenpalms,50174,5,True,False,False,True,False,False,False,False,2024-11-12,2025-04-19,False,False
20,F*ck Yeah to Queer Cuisine with Chef Kat Mciver - F*ck Yeah | iHeart,https://www.iheart.com/podcast/269-fck-yeah-102017878/episode/fck-yeah-to-queer-cuisine-with-143798927/,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,2,12,False,False,False,True,False,False,False,False,2024-11-17,2025-03-05,False,False
20,"Rose Park, Long Beach CA - Neighborhood Guide | Trulia",https://www.trulia.com/n/ca/long-beach/rose-park/164258/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms Cafes,40,114,True,False,False,False,False,False,True,False,2025-01-29,2025-04-19,False,False
19,Farmer Turns a City Dump into Urban Farm - by Sasha,https://sashakanno.substack.com/p/farmer-turns-city-dump-into-urban-farm,http://www.wideeyesopenpalms.com/,Pop Up Coffee,27,13,False,False,False,True,False,False,False,False,2024-01-22,2025-02-03,False,True
19,The 50 best coffee shops and best cafes in Long Beach,https://wanderlog.com/list/geoCategory/17970/best-coffee-shops-and-best-cafes-in-long-beach,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/,40,419,False,False,False,True,False,False,False,False,2024-04-29,2025-03-17,False,False
19,,https://wide-eyes-open-palms.square.site/,https://www.wideeyesopenpalms.com/,,0,0,False,False,False,True,False,False,False,False,2024-07-20,2025-04-27,False,False
18,The 17 best coffee shops and best cafes in Seal Beach,https://app.wanderlog.com/list/geoCategory/288999/cafes,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/,15,242,False,False,False,True,False,False,False,False,2025-02-11,2025-05-10,False,False
18,The 50 best breakfast and brunch in Long Beach,https://wanderlog.com/list/geoCategory/10830/best-breakfast-and-brunch-in-long-beach,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/,39,419,False,False,False,True,False,False,False,False,2023-11-07,2025-05-07,False,True
18,The 50 best coffee shops and best cafes in Long Beach,https://wanderlog.com/list/geoCategory/17970/cafes,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/,40,418,False,False,False,True,False,False,False,False,2025-02-10,2025-02-10,False,False
