Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
19,,https://wide-eyes-open-palms.square.site/,https://www.wideeyesopenpalms.com/,,0,0,False,False,False,True,False,False,False,False,2024-07-20,2025-04-27,False,False
20,F*ck Yeah to Queer Cuisine with Chef Kat Mciver - F*ck Yeah | iHeart,https://www.iheart.com/podcast/269-fck-yeah-102017878/episode/fck-yeah-to-queer-cuisine-with-143798927/,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,2,12,False,False,False,True,False,False,False,False,2024-11-17,2025-03-05,False,False
9,The New Wide Eyes Open Palms Cafe Is a Wonderland of Specialty Coffee and Seasonal Food – OC Weekly,https://www.ocweekly.com/pop-up-coffee-shop-wide-eyes-open-palms-opens-first-long-beach-cafe-8036367/,http://wideeyesopenpalms.com/,wideeyesopenpalms.com,2,89,False,False,False,True,False,False,False,False,2024-10-31,2025-04-28,False,False
5,Things to do in Long Beach,https://besttime.app/app/United-States/Long-Beach/bars?page=45,http://www.wideeyesopenpalms.com/,website,3,52,False,False,False,True,False,False,False,False,2024-04-28,2025-04-13,False,True
5,Wide Eyes Open Palms shared by @kelsycarleen on Postcard,https://www.postcard.inc/@kelsycarleen/p/WMm0PoVNd4u/wide-eyes-open-palms,http://www.wideeyesopenpalms.com/,,3,10,False,False,False,True,False,False,False,False,2024-09-11,2025-03-19,False,False
5,Additions to the Queer Lexicography: You’ve Got Toptions – The Relentless Pursuit of my Joy,https://queerfatfemme.com/2015/07/24/toptions/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,5,39,False,False,False,True,False,False,False,False,2024-10-25,2025-05-11,False,False
13,"Mapstr - Cafe Wide Eyes Open Palms Long Beach - Coffee, Restaurant, Food, Queer, Bakery & Cafe",https://mapstr.com/place/NC41NeCIbCg/wide-eyes-open-palms-long-beach-eat-tea_coffee-lunch-bread-food,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/ Arrow icon,5,36,False,False,False,False,False,False,True,False,2024-10-28,2025-02-21,False,False
10,Wide Eyes Open Palms - Intentionalist,https://intentionalist.com/b/wide-eyes-open-palms/,https://www.wideeyesopenpalms.com/,https://www.wideeyesopenpalms.com/,6,41,False,False,False,True,False,False,False,False,2024-03-26,2025-04-25,False,False
11,Long Beach's Wide Eyes Open Palms Marries Craft Coffee with Korean Cuisine at Sura • the Hi-lo,https://lbpost.com/hi-lo/food/weop-pop-up/,http://www.wideeyesopenpalms.com/,here,7,39,False,False,False,True,False,False,False,False,2023-04-26,2025-03-30,False,False
10,"Meet Kat McIver and Angie Evans: Chef and owner, Barista, Beverage Director and owner of Wide Eyes Open Palms - SHOUTOUT LA",https://shoutoutla.com/meet-kat-mciver-and-angie-evans-chef-and-owner-barista-beverage-director-and-owner-of-wide-eyes-open-palms/,http://www.wideeyesopenpalms.com/,www.wideeyesopenpalms.com,9,29,False,False,False,True,False,False,False,False,2024-04-29,2025-05-11,False,False
18,"Wide Eyes Open Palms, Long Beach, CA - Reviews, Ratings, Tips and Why You Should Go – Wanderlog",https://wanderlog.com/place/details/434145/wide-eyes-open-palms,http://www.wideeyesopenpalms.com/,http://www.wideeyesopenpalms.com/,10,273,False,False,False,True,False,False,False,False,2024-11-08,2025-04-01,False,False
7,Wide Eyes Open Palms The Schmancy - Food GPS,https://foodgps.com/wide-eyes-open-palms-schmancy/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,10,45,False,False,False,True,False,False,False,False,2023-09-07,2025-05-04,False,False
9,Wide Eyes Open Palms sets up shop for all – Long Beach Current,https://lbcurrent.com/artslife/2017/11/13/wide-eyes-open-palms-sets-up-shop-for-all/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,13,71,False,False,False,True,False,False,False,False,2024-08-14,2025-04-28,False,False
7,"Wide Eyes Open Palms opens cafe to serve its gourmet coffee, pastries - Q Voice News",https://qvoicenews.com/2017/04/10/wide-eyes-open-palms-opens-cafe-to-serve-its-gourmet-coffee-pastries/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms Cafe,13,46,False,False,False,True,False,False,False,False,2024-03-03,2025-05-07,False,True
9,Vegan pastry LA,https://www.tryperdiem.com/review-tags/la-vegan-pastry,https://www.wideeyesopenpalms.com/,Order Ahead,13,505,False,False,False,True,False,False,False,False,2024-12-23,2025-04-29,False,False
8,Farmer Turns a City Dump into Urban Farm - Taste With The Eyes,https://www.tastewiththeeyes.com/2014/06/farmer-turns-a-city-dump-into-urban-farm/,http://www.wideeyesopenpalms.com/,Pop Up Coffee,14,100,False,False,False,True,False,False,False,False,2024-01-29,2025-04-29,False,False
14,5 Long Beach Restaurants You Need to Try the Next Time You're There - LAmag,https://lamag.com/food/long-beach-restaurants,http://www.wideeyesopenpalms.com/about.html,Wide Eyes Open Palms,14,55,False,False,False,True,False,False,False,False,2024-07-11,2025-05-05,False,False
10,Feminist Food and the 'Queerest Coffee' in Long Beach ~ Wide Eyes Open Palms ~ L.A. TACO,https://lataco.com/feminist-food-queerest-coffee-in-long-beach,http://www.wideeyesopenpalms.com/about.html,Wide Eyes Open Palms,14,63,False,False,False,True,False,False,False,False,2024-07-09,2025-05-15,False,False
6,"Wide Eyes Open Palms A Safe Space Builds New Ground By Melina Paris, Staff Reporter - Random Lengths News",https://www.randomlengthsnews.com/archives/2018/11/19/safe-space-cafe/21447,http://www.wideeyesopenpalms.com/,www.wideeyesopenpalms.com,14,78,False,False,False,True,False,False,False,False,2024-12-08,2025-05-06,False,False
6,"Moving To LGBT Long Beach, California? How To Find Your Perfect Gay Neighborhood!",https://queerintheworld.com/moving-to-lgbt-long-beach/,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,15,232,False,False,False,True,False,False,False,False,2024-05-01,2025-04-25,False,False
7,Indie Luxe Bridal Brunch – FOUND RENTAL CO,https://foundrentalco.com/blogs/found-rental-co-blog/indie-luxe-bridal-brunch,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,15,207,False,False,False,True,False,False,False,False,2024-08-01,2025-05-10,False,False
7,Sqirl’s Jessica Koslow on how and what people want to eat is changing - The New Consumer,https://newconsumer.com/2019/07/sqirl-los-angeles-jessica-koslow-interview/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,17,19,False,False,False,True,False,False,False,False,2024-09-17,2025-05-04,False,False
9,"Globetrotting: Long Beach, California | PASSPORT Magazine - Gay Travel",https://passportmagazine.com/globe-trotting-lgbtq-long-beach-california/,https://www.wideeyesopenpalms.com/,www.wideeyesopenpalms.com,21,132,False,False,False,True,False,False,False,False,2024-05-09,2025-05-15,False,False
10,Out Now: The October + November 2023 Issue - Barista Magazine Online,https://www.baristamagazine.com/out-now-the-october-november-2023-issue/,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,22,60,False,False,False,True,False,False,False,False,2023-10-03,2025-04-26,False,False
8,5 of the Best Local Queer Shops to Visit on Small Business Saturday - The Pride LA,https://thepridela.com/2018/11/5-of-the-best-local-queer-shops-to-visit-on-small-business-saturday/,http://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,22,133,False,False,False,True,False,False,False,False,2024-07-03,2025-05-07,False,False
7,LGBT-owned businesses you can support in Southern California,https://themilsource.com/2021/06/23/lgbt-owned-businesses-you-can-support-in-southern-california/,https://www.wideeyesopenpalms.com/?ref=themilsource.com,Wide Eyes Open Palms,23,59,False,False,False,True,False,False,False,False,2024-01-03,2024-12-04,False,True
8,#WhatGivesUsPrana in Los Angeles | Prana Chai,https://pranachai.com/blogs/prana-chai-blog/whogivesusprana-in-los-angeles,http://www.wideeyesopenpalms.com/menu.html,here,23,52,False,False,False,True,False,False,False,False,2025-01-12,2025-03-04,False,False
14,Organic-Luxe Bridal Brunch Inspiration - Green Wedding Shoes,https://greenweddingshoes.com/organic-luxe-bridal-brunch-inspiration/,http://wideeyesopenpalms.com/,Wide Eyes Open Palms,26,39,False,False,False,True,False,False,False,False,2024-07-08,2025-05-08,False,False
19,Farmer Turns a City Dump into Urban Farm - by Sasha,https://sashakanno.substack.com/p/farmer-turns-city-dump-into-urban-farm,http://www.wideeyesopenpalms.com/,Pop Up Coffee,27,13,False,False,False,True,False,False,False,False,2024-01-22,2025-02-03,False,True
11,"Beachside Eats, Busting Brats and Saucy Spatulas – Here’s What’s Popping Up - LA Weekly",https://www.laweekly.com/beachside-eats-busting-brats-and-saucy-spatulas-heres-whats-popping-up/,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,34,73,False,False,False,True,False,False,False,False,2022-03-23,2025-04-30,False,False
15,"So, What's The Difference Between A Flat White, A Cortado And A Cappuccino? | LAist",https://laist.com/news/food/coffee-breakdown,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,37,75,False,False,False,True,False,False,False,False,2024-07-24,2025-05-04,False,False
12,Breakfast in Long Beach — the best restaurants along 4th Street’s Retro Row – Press Telegram,https://www.presstelegram.com/2020/01/28/breakfast-in-long-beach-the-best-restaurants-along-4th-streets-retro-row/,http://www.wideeyesopenpalms.com/,www.wideeyesopenpalms.com,39,141,False,False,False,True,False,False,False,False,2024-07-06,2025-04-03,False,False
5,Best Bites for Brunch and Breakfast in the South Bay,https://localanchor.com/best-breakfast-restaurants-south-bay,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,47,120,False,False,False,True,False,False,False,False,2025-05-05,2025-05-05,True,False
5,"Long Beach, CA — Eat This Poem",http://www.eatthispoem.com/city-guides/long-beach,https://www.wideeyesopenpalms.com/,permanent home,48,9,False,False,False,True,False,False,False,False,2024-06-16,2025-05-06,False,True
17,Zero Kilometer Culinary Experiences | Visit California,https://media.visitcalifornia.com/story-inspiration/discover-story-ideas/zero-kilometer-culinary,https://www.wideeyesopenpalms.com/,Wide Eyes Open Palms,51,50,False,False,False,True,False,False,False,False,2024-08-01,2025-05-02,False,False
7,List of Participating Restaurants - Long Beach Utilities,https://www.lbutilities.org/water/Water-Utility-Efficiency-Programs/Certified-Blue/Certified-Blue-Category/Certified-Blue-Restaurant/List-of-Participating-Restaurants,https://www.wideeyesopenpalms.com/,wideeyesopenpalms.com,51,91,False,False,False,True,False,False,False,False,2024-11-10,2025-05-03,False,False
