Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,National Active and Retired Federal Employees Association,https://archive.narfe.org/pressroom/print.cfm?ID=3831,http://carefirstanswers.com/,http://carefirstanswers.com/,1,0,False,False,False,True,False,False,False,False,2024-01-28,2025-02-28,False,True
15,Health Care Insurance Data Breach Hits 1.1M Users | PYMNTS.com,http://www.pymnts.com/news/2015/health-care-insurance-data-breach-hits-1-1m-users/,http://carefirstanswers.com/,victim of a data breach,1,70,False,False,False,True,False,False,False,False,2024-07-11,2024-12-30,False,False
12,"Gegevens 1,1 miljoen mensen gestolen bij verzekeraar VS - Security.NL","https://www.security.nl/posting/429375/Gegevens+1,1+miljoen+mensen+gestolen+bij+verzekeraar+VS",http://carefirstanswers.com/,Volgens,3,50,False,False,False,True,False,False,False,False,2024-09-07,2025-04-03,False,False
14,Benefits Bulletin: CareFirst Cyber Attack | T³ – Towson Tigers Today,https://t3archive.towson.edu/?p=101562,http://www.carefirstanswers.com/,www.carefirstanswers.com,5,36,False,False,False,True,False,False,False,False,2024-11-26,2025-03-18,False,False
6,CareFirst is Cyber Attacked | Post by Swift Systems,https://www.swiftsystems.com/guides-tips/major-insurer-carefirst-target-of-cyberattack-1-1m-records-compromised/,https://carefirstanswers.com/home.html,homepage,5,29,False,False,False,True,False,False,False,False,2024-05-21,2025-05-05,False,True
14,Personal info of 1.1M customers stolen in CareFirst breach - Help Net Security,https://www.helpnetsecurity.com/2015/05/21/personal-info-of-11m-customers-stolen-in-carefirst-breach/,http://carefirstanswers.com/faq.html,says,6,30,False,False,False,True,False,False,False,False,2024-03-07,2025-05-13,False,True
14,"CareFirst Suffers Cyberattack, Data Breach of 1.1 Million Customers’ Information | McGuireWoods LLP - JDSupra",https://www.jdsupra.com/legalnews/carefirst-suffers-cyberattack-data-28516/,http://carefirstanswers.com/,According to a statement on CareFirst’s website,6,99,False,False,False,True,False,False,False,False,2024-11-04,2025-05-07,False,False
9,U.S. Supreme Court Watch: Whether to Resolve Circuit Split on Standing for Data Breach Plaintiffs | Data Security Law Blog,https://www.pbwt.com/data-security-law-blog/u-s-supreme-court-watch-whether-to-resolve-circuit-split-on-standing-for-data-breach-plaintiffs,http://carefirstanswers.com/home.html,announced,7,99,False,False,False,True,False,False,False,False,2024-01-24,2025-01-28,False,True
20,CareFirst Hack Assistance Page - Mark R. Warner,https://www.warner.senate.gov/public/index.cfm?p=carefirst-hack-assistance-page,http://carefirstanswers.com/,http://carefirstanswers.com/,7,56,False,False,False,True,False,False,False,False,2024-09-20,2025-05-04,False,False
13,Introducing A New Incident Response Metric: Mean Time Before CEO Apologizes (MTBCA),https://www.forrester.com/blogs/15-05-20-introducing_a_new_incident_response_metric_mean_time_before_ceo_apologizes_mtbca/,http://carefirstanswers.com/,CareFirst breach announced 20 May 2015,7,113,False,False,False,True,False,False,False,False,2024-10-26,2025-05-14,False,False
10,Data Breach Advice | SpyCloud Webinar,https://spycloud.com/resource/webinar-surviving-a-data-breach/,http://www.carefirstanswers.com/,Learn more here.,7,94,False,False,False,True,False,False,False,False,2024-07-21,2025-05-16,False,False
11,CareFirst Is Latest Insurer to Suffer Major Cyberattack,http://hrdailyadvisor.blr.com/2015/05/22/carefirst-is-latest-insurer-to-suffer-major-cyberattack/,http://www.carefirstanswers.com/,statement,7,71,False,False,False,True,False,False,False,False,2024-12-18,2025-04-09,False,True
8,CareFirst BlueCross Blue Shield Breach Exposes Data Of More Than 1 Million,https://www.healthitoutcomes.com/doc/carefirst-bluecross-blue-shield-breach-exposes-data-million-0001,http://carefirstanswers.com/,has announced,8,39,False,False,False,True,False,False,False,False,2024-08-05,2025-05-09,False,False
12,CareFirst data breach affects about 1.1M people,https://securityaffairs.com/37005/cyber-crime/carefirst-data-breach.html,http://carefirstanswers.com/,advisory,8,2170,False,False,False,True,False,False,False,False,2024-08-23,2025-05-13,False,False
9,Carefirst Data Breach Exposes Sensitive Information,https://washingtondc.legalexaminer.com/uncategorized/carefirst-data-breach-exposes-sensitive-information/,http://carefirstanswers.com/,Carefirst acknowledges,9,56,False,False,False,True,False,False,False,False,2024-05-22,2025-03-24,False,False
13,1.1 Million Hit by Hack at CareFirst Blue Cross Blue Shield - Infosecurity Magazine,https://www.infosecurity-magazine.com/news/11-million-hack-carefirst-blue/,http://carefirstanswers.com/home.html,disclosing,10,55,False,False,False,True,False,False,False,False,2024-08-18,2025-05-05,False,False
15,1.1 million Blue Cross Blue Shield members hit in cyberattack on CareFirst,https://www.dailydot.com/debug/careflight-blue-cross-blue-shield-cyberattack/,http://carefirstanswers.com/,offering,10,37,False,False,False,True,False,False,False,False,2024-06-09,2025-05-13,False,False
18,CareFirst insurance hack exposes 1.1 million customer records.,https://slate.com/technology/2015/05/carefirst-insurance-hack-exposes-1-1-million-customer-records.html,http://www.carefirstanswers.com/,discovered that it had actually already been breached,10,37,False,False,False,True,False,False,False,False,2024-09-09,2025-04-15,False,False
16,WHOOPSIE! Vast US health insurer CareFirst plundered of 1.1 MEELLION records • The Register,https://www.theregister.com/2015/05/21/carefirst_breach_health_records/,http://carefirstanswers.com/,carefirstanswers.com,11,103,False,False,False,True,False,False,False,False,2024-10-04,2025-05-17,False,False
21,Health Insurer CareFirst Hacked,https://au.pcmag.com/software/30815/health-insurer-carefirst-hacked,http://carefirstanswers.com/,statement,11,67,False,False,False,True,False,False,False,False,2024-09-20,2025-05-06,False,False
6,1.1 million affected by health insurer CareFirst breach - Advisen Ltd.,https://www.advisenltd.com/2015/05/21/1-1-million-affected-by-health-insurer-carefirst-breach/,http://www.carefirstanswers.com/,said in a statement,11,59,False,False,False,True,False,False,False,False,2024-07-07,2025-05-09,False,False
