Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
11,Blogging & RSS Information,http://bloggingzone.50webs.com/10_Ways_You_Can_Use_Blogs_RIGHT_NOW.html,http://easybakeweblogs.com/,http://easybakeweblogs.com/,3,3,False,False,False,True,False,False,False,False,2024-04-01,2025-05-13,False,False
10,Blogging & RSS Information,http://allinfo.atspace.com/blogging/10_Ways_You_Can_Use_Blogs_RIGHT_NOW.html,http://easybakeweblogs.com/,http://easybakeweblogs.com/,3,3,False,False,False,True,False,False,False,False,2024-02-06,2025-04-30,False,False
8,Tourgenie,https://www.tourgenie.com/travel-diaries/travel-blogs/what-the-heck-is-a-blog,http://easybakeweblogs.com/,http://easybakeweblogs.com/,4,79,False,False,False,True,False,False,False,False,2023-06-13,2025-01-29,False,True
9,"June 27, 2005 – Andertoons Cartoon Blog",https://blog.andertoons.com/2005/06/27,http://easybakeweblogs.com/2005/06/20/add-toons-to-your-blog/,Easy Bake Weblogs,5,189,False,False,False,True,False,False,False,False,2023-03-24,2025-03-11,False,False
7,friend | Common Craft,https://www.commoncraft.com/blog-categories/friend,http://easybakeweblogs.com/2005/06/15/blogs-and-social-software/,here,5,45,False,False,False,True,False,False,False,False,2024-04-02,2025-05-03,False,False
16,"Wibbels, Andy | Encyclopedia.com",https://www.encyclopedia.com/arts/educational-magazines/wibbels-andy,http://www.easybakeweblogs.com/,http://www.easybakeweblogs.com,7,83,False,False,False,True,False,False,False,False,2024-04-01,2025-04-02,False,False
8,Riley on Easy Bake hookup - The Blog Herald,https://blogherald.com/psychology/riley-on-easy-bake-hookup/,http://easybakeweblogs.com/2005/06/10/exclusive-duncan-riley-from-blog-herald/,Easy Bake Weblogs,9,31,False,False,False,True,False,False,False,False,2025-01-30,2025-05-14,False,False
8,Bill Ward’s Audio Diaries now as a podcast – Black Sabbath Online,https://www.black-sabbath.com/2005/06/bill_wards_audi_1/,http://easybakeweblogs.com/2005/01/24/what-the-hell-is-podcasting/,this link,10,213,False,False,False,True,False,False,False,False,2024-08-08,2025-05-02,False,False
11,Easy Bake Weblogs meets ProBlogger,https://problogger.com/easy-bake-weblogs-meets-problogger/,http://easybakeweblogs.com/,Easy Bake Weblogs,13,52,False,False,False,True,False,False,False,False,2024-08-08,2025-04-27,False,False
6,Bill’s Diaries Available via Podcast in iTunes! - The Official Bill Ward Site,https://www.billward.com/2005/06/bills-diaries-available-via-podcast-in-itunes/,http://easybakeweblogs.com/2005/01/24/what-the-hell-is-podcasting/,this link,17,48,False,False,False,True,False,False,False,False,2024-08-13,2025-05-13,False,False
8,About Weblogs - Intellectual Property Watch,https://www.ip-watch.org/2004/12/01/about-weblogs/,http://easybakeweblogs.com/what_is_a_blog.php,Easy Bake Weblogs,18,74,False,False,False,True,False,False,False,False,2023-02-11,2025-04-29,False,False
11,Buzz Marketing en Blogzine - Frankwatching,https://www.frankwatching.com/archive/2005/03/21/buzz-marketing-en-blogzine/,https://easybakeweblogs.com/,Easy Bake Weblogs,21,104,False,False,False,True,False,False,False,False,2023-06-09,2025-05-03,False,False
8,Best Marketing Blog Awards – TopRank® Marketing,https://www.toprankmarketing.com/blog/best-marketing-blog-awards/,http://easybakeweblogs.com/,Easy Bake Weblogs,21,33,False,False,False,True,False,False,False,False,2024-05-12,2025-05-16,False,False
9,Marketingfacts winnaar MarketingSherpa's Best Blogs 2005 - Marketingfacts,https://www.marketingfacts.nl/berichten/marketingfacts_winnaar_marketingsherpas_best_blogs_2005/,http://easybakeweblogs.com/,Easy Bake Weblogs,22,49,False,False,False,True,False,False,False,False,2024-04-14,2025-05-10,False,False
11,Marco valt in de prijzen - DutchCowboys,https://www.dutchcowboys.nl/media/3519,http://easybakeweblogs.com/,Easy Bake Weblogs,32,42,False,False,False,True,False,False,False,False,2024-04-23,2025-05-17,False,False
9,New Blogger Version Allowing Custom Domains : Business Blog Consulting,http://www.businessblogconsulting.com/2007/01/new-blogger-version-allowing-custom-domains,http://easybakeweblogs.com/,Easy Bake Weblogs,103,113,False,False,False,True,False,False,False,False,2024-11-04,2024-12-16,False,True
