Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
51,List of Publishers in JournalSeek,http://journalseek.net/publishers.htm,http://www.intellectbase.org/,Intellectbase International Consortium,5682,25,False,False,False,True,False,False,False,False,2024-10-16,2025-05-14,False,False
48,sajellc,https://sajellc.blogspot.com/,https://intellectbase.org/,intellectbase,50175,3,True,False,False,True,False,False,False,False,2024-04-07,2025-05-17,False,False
42,sajellc,https://sajellc.blogspot.com/%C2%A0,https://intellectbase.org/,intellectbase,50175,4,True,False,False,True,False,False,False,False,2024-04-17,2025-04-19,False,False
29,Asylum seekers and the right to work - IIUM Repository (IRep),http://irep.iium.edu.my/26116/,http://www.intellectbase.org/,http://www.intellectbase.org,10,26,False,False,False,True,False,False,False,False,2024-02-25,2025-05-15,False,False
24,Domains on ip 185.53.178.50,https://domains.tntcode.com/ip/185.53.178.50,https://intellectbase.org/,,30069,30068,True,False,False,True,False,False,False,False,2025-04-28,2025-04-28,True,False
22,sajellc,https://sajellc.blogspot.com/OPS_Page/index.html,https://intellectbase.org/,intellectbase,50175,4,True,False,False,True,False,False,False,False,2024-05-28,2024-12-09,False,False
21,Code of medical ethics in Islam: a case study of the code of Medical Ethics of the Malaysian Medical Association (MMA) - IIUM Repository (IRep),http://irep.iium.edu.my/26844/,http://intellectbase.org/e_publications.php,http://intellectbase.org/e_publications.php,10,33,False,False,False,True,False,False,False,False,2024-03-06,2025-05-11,False,False
21,"The Ladies' Deposit: The 19th-Century Ponzi Scheme by Women, for Women",https://www.mentalfloss.com/article/542689/ladies-deposit-19th-century-ponzi-scheme-women-women,http://www.intellectbase.org/e_publications/ijaisl/IJAISL_Volume_6_Issue_18_Summer_2013.pdf,PDF,11,47,False,False,False,True,False,False,False,False,2024-02-19,2025-05-16,False,False
21,"Major Journals | Resources | Adult Learning and Leadership | Organization and Leadership | Teachers College, Columbia University",https://www.tc.columbia.edu/organization-and-leadership/adult-learning-and-leadership/resources/major-journals/,http://www.intellectbase.org/journals.php#RHESL,Review of Higher Education and Self Learning,241,73,False,False,False,True,False,False,False,False,2024-02-23,2025-05-11,False,False
19,"Major Journals | Resources | Adult Learning and Leadership | Organization and Leadership | Teachers College, Columbia University",http://www.tc.columbia.edu/organization-and-leadership/adult-learning-and-leadership/resources/major-journals/,http://www.intellectbase.org/journals.php#RHESL,Review of Higher Education and Self Learning,241,73,False,False,False,True,False,False,False,False,2024-04-10,2025-05-16,False,False
18,Publication - 2016 UH CS REU Program,http://project.cs.uh.edu/2016REU/Resource/Publication,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,47,37,False,False,False,True,False,False,False,False,2024-02-27,2025-05-11,False,False
18,Publication - UH CS REU Program,http://project.cs.uh.edu/2017REU/Resource/Publication,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,47,37,False,False,False,True,False,False,False,False,2024-02-28,2025-05-01,False,False
18,Publication - UH CS REU Program,http://project.cs.uh.edu/2018REU/Resource/Publication,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,47,38,False,False,False,True,False,False,False,False,2024-02-22,2025-05-15,False,False
18,Publication - UH CS REU Program,http://project.cs.uh.edu/REU/Information/Publications,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,51,18,False,False,False,True,False,False,False,False,2024-02-23,2025-05-16,False,False
18,Publication - UH CS REU Program,http://project.cs.uh.edu/REU2019/Resource/Publication,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,47,41,False,False,False,True,False,False,False,False,2024-02-23,2025-04-28,False,False
18,Publication - UH CS REU Program,http://project.cs.uh.edu/reu/Information/Publications,http://www.intellectbase.org/articles.php?issue=3&journal=JAGR&volume=1,PDF,51,18,False,False,False,True,False,False,False,False,2024-02-28,2025-05-06,False,False
17,"""Employee Goal Orientation in Relation to Creative Performance"" by Nancy Da Silva, M. D. Borlongan-Conway et al.",https://scholarworks.sjsu.edu/org_mgmt_pub/34/,http://www.intellectbase.org/,Intellectbase International Consortium,16,35,False,False,False,True,False,False,False,False,2024-10-09,2025-05-05,False,False
17,1 free Magazines from INTELLECTBASE.ORG,https://www.yumpu.com/user/intellectbase.org,http://intellectbase.org/,intellectbase.org,11,55,True,False,False,True,False,False,False,False,2024-09-24,2025-05-09,False,False
16,Developing an online learner satisfaction framework in higher education through a systematic review of research | International Journal of Educational Technology in Higher Education | Full Text,http://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-022-00355-5,http://intellectbase.org/RHESL_V6_I21.php,http://intellectbase.org/RHESL_V6_I21.php,222,146,False,False,False,True,False,False,False,False,2024-03-15,2025-04-30,False,False
16,Developing an online learner satisfaction framework in higher education through a systematic review of research | International Journal of Educational Technology in Higher Education | Full Text,https://educationaltechnologyjournal.springeropen.com/articles/10.1186/s41239-022-00355-5,http://intellectbase.org/RHESL_V6_I21.php,http://intellectbase.org/RHESL_V6_I21.php,222,146,False,False,False,True,False,False,False,False,2024-03-15,2025-05-02,False,False
15,Scholarship of Teaching and Learning Works | Faculty Works by Topic | East Tennessee State University,https://dc.etsu.edu/sotl-works/,http://www.intellectbase.org/articles.php?issue=16&journal=RHESL&volume=5,Link,15,117,False,False,False,True,False,False,False,False,2024-03-06,2025-04-28,False,False
15,"""The Relationship of Ethics Education to the Moral Development of Accou"" by E. K. Buell, Frank J. Cavico et al.",https://nsuworks.nova.edu/hcbe_facpres/276/,http://www.intellectbase.org/,Organization Website,13,28,False,False,False,True,False,False,False,False,2024-03-05,2025-05-04,False,False
15,السيرة الذاتية محمد خاور محمود خان - محمد خاور محمود خان - معهد اللغة الانجليزية | جامعة أم القرى,https://uqu.edu.sa/mkkhan/App/CV,http://intellectbase.org/RHESL.php,"مقال في مجلة Intellectbase International Consortium, Review of Higher Education and Self-Learning, 2013",12,77,False,False,False,True,False,False,False,False,2024-03-15,2025-04-11,False,False
15,السيرة الذاتية محمد خاور محمود خان - محمد خاور محمود خان - معهد اللغة الانجليزية | جامعة أم القرى,https://uqu.edu.sa/mkkhan/App/CV/,http://intellectbase.org/RHESL.php,"مقال في مجلة Intellectbase International Consortium, Review of Higher Education and Self-Learning, 2013",12,77,False,False,False,True,False,False,False,False,2024-04-12,2025-04-19,False,False
15,All Publications | SMU Lyle School of Engineering | SMU Lyle School of Engineering,https://www.smu.edu/lyle/centers-and-institutes/ddi/recent-publications/all-publications,http://www.intellectbase.org/e_publications/proceedings/IHART_Volume_15.pdf,A Compliance Framework to Optimize Product Development in a Regulated Industry,98,148,False,False,False,True,False,False,False,False,2024-07-14,2025-05-16,False,False
14,Prof. Dr. GÜLTEN GÜMÜŞTEKİN | AVESİS,https://avesis.comu.edu.tr/ggumustekin/yayinlar,http://www.intellectbase.org/journals.php,,66,400,False,False,False,True,False,False,False,False,2024-02-22,2025-05-09,False,False
14,Prof. Dr. GÜLTEN GÜMÜŞTEKİN | AVESİS,https://avesis.comu.edu.tr/ggumustekin/yayinlar,http://www.intellectbase.org/e_publications/proceedings/IHART_Volume_20.pdf,,66,400,False,False,False,True,False,False,False,False,2024-09-28,2025-05-09,False,False
14,Content Posted in 2017 | Digital Commons @ East Tennessee State University | East Tennessee State University Research,https://dc.etsu.edu/2017.html,http://www.intellectbase.org/articles.php?issue=16&journal=RHESL&volume=5,Link,431,2057,False,False,False,True,False,False,False,False,2024-02-16,2025-05-17,False,False
14,Clemmer College of Education and Human Development Works | Faculty Works by College | East Tennessee State University,https://dc.etsu.edu/clemmer-works/index.5.html,http://www.intellectbase.org/articles.php?issue=16&journal=RHESL&volume=5,Link,54,166,False,False,False,True,False,False,False,False,2024-12-19,2025-04-30,False,False
14,Educational Leadership and Policy Analysis Works | Faculty Works By Department | East Tennessee State University,https://dc.etsu.edu/elpa-works/,http://www.intellectbase.org/articles.php?issue=16&journal=RHESL&volume=5,Link,40,194,False,False,False,True,False,False,False,False,2024-02-22,2025-05-15,False,False
