Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
23,Juegos de Trapdoor - Meristation,https://as.com/meristation/empresas/trapdoor/juegos/,http://trapdoorinc.com/,http://trapdoorinc.com/,1,56,False,False,False,True,False,False,False,False,2023-11-17,2025-01-29,False,False
6,Indie Game: The Movie - A Video Game Documentary - News,http://www.indiegamethemovie.com/news/2010/5/20/more-generosity.html?printerFriendly=true,http://www.trapdoorinc.com/,http://www.trapdoorinc.com/,1,0,False,False,False,True,False,False,False,False,2023-10-09,2025-05-10,False,False
12,Veteranos de Ubisoft y Gameloft crean un estudio independiente,https://www.elotrolado.net/noticia_veteranos-de-ubisoft-y-gameloft-crean-un-estudio-independiente_15205,http://www.trapdoorinc.com/,Trapdoor Inc,3,74,False,False,False,True,False,False,False,False,2024-05-06,2025-02-21,False,False
11,Trapdoor - Company Profile | PocketGamer.biz,https://www.pocketgamer.biz/industry/trapdoor/,http://www.trapdoorinc.com/,www.trapdoorinc.com,3,3,False,False,False,True,False,False,False,False,2024-06-25,2024-11-16,False,False
12,The Coolest Game Ever: Warp at PAX East 2011 | GamersNexus,https://gamersnexus.net/pax-east-2011/530-coolest-game-ever-warp-pax-east-2011,http://trapdoorinc.com/?p=475,Trapdoor's website,5,22,False,False,False,True,False,False,False,False,2024-03-30,2025-05-06,False,False
17,"Warp PC, PS3, X360 | gamepressure.com",https://www.gamepressure.com/games/warp/zd724,http://trapdoorinc.com/playwarp/,Official website,5,59,False,False,False,True,False,False,False,False,2024-01-23,2024-11-27,False,True
5,WARP coming to PSNPS3Blog.net,https://www.ps3blog.net/2011/11/07/warp-coming-to-psn/,http://trapdoorinc.com/playwarp/,official website,5,41,False,False,False,True,False,False,False,False,2024-09-23,2025-05-03,False,False
8,AusGamers Files - WARP Gameplay Trailer,https://www.ausgamers.com/files/download/63237/warp-gameplay-trailer,http://www.trapdoorinc.com/,http://www.trapdoorinc.com,5,78,False,False,False,True,False,False,False,False,2024-12-07,2024-12-07,False,False
10,"Warp: Русификатор,NOCD,Трейнер,Торрент,Прохождение",https://gamezona.ucoz.org/board/warp/41-1-0-400,http://trapdoorinc.com/playwarp/,Открыть,5,133,False,False,False,True,False,False,False,False,2024-03-10,2025-04-02,False,True
7,Warp : la date de sortie PC et PS3 se précise - Game Side Story,https://www.gamesidestory.com/2012/02/01/warp-la-date-de-sortie-pc-et-ps3-se-precise/,http://trapdoorinc.com/,Trapdoor,6,48,False,False,False,True,False,False,False,False,2024-10-21,2025-05-05,False,False
