Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,翻轉設計選物店形式：紐約公寓裡的設計選物店 WITNESS APARTMENT | Dappei 搭配 - 流行穿搭媒體,https://www.dappei.com/articles/1059,http://witnessapt.com/,Witness Apartment,4,104,False,False,False,True,False,False,False,False,2024-08-09,2025-04-27,False,False
6,Espectacular apartamento efímero en Nueva York,https://www.rderoom.es/espectacular-apartamento-efimero-en-nueva-york/,http://witnessapt.com/,Witness Apartment,7,43,False,False,False,True,False,False,False,False,2024-05-02,2025-05-01,False,False
12,"La Esperanza Ranch | Topanga, California, United States - Venue Report",https://ftp.venuereport.com/venue/witness-apt/,http://witnessapt.com/,"That's okay, take me to the website",10,102,False,False,False,True,False,False,False,False,2024-03-30,2025-01-21,False,True
12,The Wonderful World of Fleurtasia | Stoned Fox,https://stonedfox.com/fleurtasia-new-york/,http://witnessapt.com/,Witness Apartment,10,46,False,False,False,True,False,False,False,False,2023-12-02,2025-05-16,False,False
12,You're invited to a Messy Nessy Manhattan Tea Party,https://www.messynessychic.com/2018/10/22/youre-invited-to-a-messy-nessy-manhattan-tea-party/,http://witnessapt.com/,unique and beautiful private setting,10,65,False,False,False,True,False,False,False,False,2024-04-18,2025-05-09,False,False
8,翻轉設計選物店形式：紐約公寓裡的設計選物店 Witness Apartment - POLYSH,https://thepolysh.com/blog/2015/12/15/the-witness-apt-in-new-york/,http://witnessapt.com/,Witness Apartment,10,80,False,False,False,True,False,False,False,False,2024-11-03,2025-05-13,False,False
5,"Witness Apartment, NY - Hege Morris",https://hegemorris.com/witness-apartment-ny/,http://witnessapt.com/,Witness Apartment,13,36,False,False,False,True,False,False,False,False,2024-05-04,2025-05-04,False,False
6,Les tendances cuisine qui seront partout en 2019 | Cuisines Steam,https://www.cuisinesteam.ca/blogue/tendances-cuisine-2019,http://witnessapt.com/,@witnessapt,16,47,False,False,False,True,False,False,False,False,2024-10-13,2024-11-23,False,False
6,Experience Fleurtasia this Weekend in New York,https://trendland.com/experience-fleurtasia-this-weekend-in-new-york/,https://witnessapt.com/,Witness Apartment,17,91,False,False,False,True,False,False,False,False,2023-11-27,2024-12-08,False,False
9,Redecorando el salón | Decoración,https://decoracion.facilisimo.com/d/redecorando-el-salon_1876205.html,http://witnessapt.com/,3,17,69,False,False,False,True,False,False,False,False,2025-03-19,2025-05-13,False,False
12,Picture Perfect Proof That You Should Mix And Match Your Dining Chairs,https://www.hunker.com/13713385/picture-perfect-proof-that-you-should-mix-and-match-your-dining-chairs/,http://witnessapt.com/,Witness Apartment,18,62,False,False,False,True,False,False,False,False,2024-09-13,2025-05-16,False,False
7,Des idées pour la salle à manger - Lili in Wonderland,https://liliinwonderland.fr/des-idees-pour-la-salle-a-manger/,http://witnessapt.com/,1,22,70,False,False,False,True,False,False,False,False,2023-11-18,2025-05-13,False,False
9,Issue 002.選物店｜東西大哉問，那些各國選物店究竟有什麼不一樣？ - EVERYDAY OBJECT,https://www.everydayobject.us/world-select-shop/,http://witnessapt.com/,Witness Apartment,23,84,False,False,False,True,False,False,False,False,2023-12-07,2025-05-12,False,False
18,How to Decorate With Mismatched Dining Chairs | Apartment Therapy,https://www.apartmenttherapy.com/mismatched-dining-chairs-262815,http://witnessapt.com/,Witness Apartment,28,44,False,False,False,True,False,False,False,False,2024-09-22,2025-03-03,False,False
10,"Kitchen of the Week: The Site of Your Next Dinner Party, in New York's Flower District - Remodelista",https://www.remodelista.com/posts/witness-apartment-coquo-kitchen-of-the-week/,http://witnessapt.com/,Witness Apartment,38,171,False,False,False,True,False,False,False,False,2023-11-18,2025-05-17,False,False
15,The Top 25 Event Venues in NYC for 2020,https://meetings.skift.com/2018/11/20/event-venues-nyc/,https://witnessapt.com/,Witness Apt NYC,38,64,False,False,False,True,False,False,False,False,2024-08-25,2025-05-06,False,False
12,Top 50 Pop-Up Retail Stores - Insider Trends,https://www.insider-trends.com/top-50-pop-up-stores/,http://witnessapt.com/,The Witness Apartment,53,75,False,False,False,True,False,False,False,False,2024-04-29,2025-05-07,False,False
