Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
7,Roasted chickpeas peppers goat clearance cheese,https://dsg.duxford.in/?d=30514931,http://www.wizardrecipes.com/wp-content/uploads/2012/12/snap953.jpg,Roasted chickpeas peppers goat clearance cheese,1,107,False,False,False,False,False,False,True,False,2024-10-18,2024-12-16,False,False
11,VISIIR - Dataset Explorer - Chinese-Style Dumplings | WizardRecipes,https://visiir.isir.upmc.fr/explore/recipe-29322,http://www.wizardrecipes.com/wp-content/uploads/2012/11/Chinese-Style-Dumplings.jpg,,2,7,False,False,False,False,False,False,True,False,2025-04-02,2025-05-11,False,False
5,Цуккини - Привет,https://forum.privet.com/viewtopic.php?t=179941,http://www.wizardrecipes.com/baked-zucchini-casserole/,http://www.wizardrecipes.com/baked-zucchini-casserole/,4,94,False,False,False,True,False,False,False,False,2024-06-01,2025-03-07,False,False
10,What are some Traditional Foods/desserts from the Country You/Your Family is From?,https://prince.org/msg/100/370453?pg=3,http://www.wizardrecipes.com/upload/Rice%20pudding.jpg,Rice Pudding,5,105,False,False,False,True,False,False,False,False,2024-06-13,2025-04-13,False,False
6,Neatza's Link Centre,https://www.linkcentre.com/profile/neatza/,http://www.wizardrecipes.com/,Home of WizardRecipes,5,17,False,False,False,True,False,False,False,False,2024-03-14,2025-05-04,False,False
5,Pokvapkávaš si rezeň citrónom? - BIRDZ,https://www.birdz.sk/forum/pokvapkavas-si-rezen-citronom/63809-tema.html,https://www.wizardrecipes.com/upload/Wiener%20Schnitzel.jpg,,5,130,False,False,False,False,False,False,True,False,2024-09-11,2025-04-18,False,False
6,Dumbass newfag animoo questions,https://www.bluegartr.com/threads/109129-Dumbass-newfag-animoo-questions/page5,http://www.wizardrecipes.com/upload/Rice%20Balls.jpg,http://www.wizardrecipes.com/upload/Rice%20Balls.jpg,6,96,False,False,False,True,False,False,False,False,2024-10-04,2025-03-03,False,False
6,Free Cooking Recipes Database - Viesearch,https://viesearch.com/rn78/free-cooking-recipes-database,http://www.wizardrecipes.com/,,7,33,False,False,False,False,False,False,True,False,2024-07-21,2025-03-13,False,False
8,pie_hero's Profile,https://www.teamfortress.tv/user/pie_hero/?page=39,http://www.wizardrecipes.com/wp-content/uploads/recipesoriginal/pumpkin%20pie.jpg,http://www.wizardrecipes.com/wp-content/uploads/recipesoriginal/pumpkin%20pie.jpg,7,133,False,False,False,True,False,False,False,False,2024-05-19,2025-05-14,False,False
15,What can I do with a pound of menthol crystals? | Ask MetaFilter,https://ask.metafilter.com/264434/What-can-I-do-with-a-pound-of-menthol-crystals,http://www.wizardrecipes.com/watermelon-with-menthol-candies/,a recipe,9,87,False,False,False,True,False,False,False,False,2024-07-07,2025-02-12,False,False
11,The Impact Crude Plant Extracts: As Potential Biofertilizers and Treatment against Tomato Plant Infection,https://www.walshmedicalmedia.com/open-access/the-impact-crude-plant-extracts-as-potential-biofertilizers-and-treatment-against-tomato-plant-infection-25937.html,http://www.wizardrecipes.com/blog,www.wizardrecipes.com/blog,11,78,False,False,False,True,False,False,False,False,2024-04-01,2025-04-27,False,False
7,Köögileksikon - Referaat Uurimustöö | Toit - Toiduvalmistamise tehnoloogia i,https://annaabi.ee/koogileksikon-m98020.html,https://www.wizardrecipes.com/baked-alaska/,https://www.wizardrecipes.com/baked-alaska/,12,91,False,False,True,True,False,False,False,False,2024-05-11,2025-05-16,False,False
17,"e-Writers - English School e-Magazine -1st Primary School of Akrata, Greece",https://blogs.sch.gr/e-writers/page/7/,http://www.wizardrecipes.com/blog/wp-content/uploads/2011/04/pancake-day.jpg,,15,106,False,False,False,False,False,False,True,False,2024-12-22,2025-04-19,False,False
8,TikTok Italian Grinder Sandwich Recipe - White Kitchen Red Wine,https://whitekitchenredwine.com/italian-grinder-sandwich/,http://www.wizardrecipes.com/super-packed-family-sized-grilled-chicken-grinder/,Chicken Grinder,16,55,False,False,False,True,False,False,False,False,2024-08-25,2025-05-15,False,False
20,Patatas americanas asadas y rellenas | Delicioso | Univision,https://www.univision.com/delicioso/patatas-americanas-asadas-y-rellenas,http://www.wizardrecipes.com/recipes/grilled+baked+potatoes.html,patata americana asada y rellena,16,53,False,False,False,True,False,False,False,False,2024-09-28,2025-04-30,False,False
8,פרש - ברכותיי למנהל הפורום החדש - shlomz,https://www.fresh.co.il/vBulletin/showthread.php?t=551676,http://www.wizardrecipes.com/upload/Delicious%20Roast%20Beef.jpg,http://www.wizardrecipes.com/upload/Delicious%20Roast%20Beef.jpg,18,189,False,False,False,True,False,False,False,False,2024-03-16,2025-04-21,False,False
19,to wake up in the sun - by divine beastmode,https://gunstreet.substack.com/p/to-wake-up-in-the-sun,http://www.wizardrecipes.com/spicy-mafe-tempeh/,spicy Mafé tempeh,18,14,False,False,False,True,False,False,False,False,2024-08-30,2025-04-25,False,False
9,The Primi Wharf Trail - LitNet,https://www.litnet.co.za/the-primi-wharf-trail/,http://www.wizardrecipes.com/recipes/focaccia.html,[Credit,21,107,False,False,False,True,False,False,False,False,2024-02-15,2025-04-25,False,False
8,Bubbles & Squeak,http://bubbles-squeak.blogspot.com/,http://www.wizardrecipes.com/blog/wp-content/uploads/2011/04/carrots-1.jpg,,23,44,False,False,False,False,False,False,True,False,2024-04-02,2024-11-19,False,False
5,Holiday Gift Guide for Food Lovers: Kitchen Tools,https://asweetandsavorylife.com/holiday-gift-guide-for-food-lovers-kitchen-tools/,http://www.wizardrecipes.com/gaufrettes/,gaufrettes,26,43,False,False,False,True,False,False,False,False,2024-09-01,2025-05-03,False,False
8,la mariée Fontaine Éditer sauteed skate . alouette Accablant,http://efms.ugal.ro/sauteed-skate-k.html,http://www.wizardrecipes.com/wp-content/uploads/2012/10/Sauteed-Skate-with-Mango-Relish.jpg,Sauteed Skate with Mango Relish | WizardRecipes,26,21,False,False,False,False,False,False,True,False,2024-04-07,2024-12-09,False,True
