Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
45,shizudai,https://shizudaiz.blogspot.com/,https://myasmine.com/,myasmine,50171,7,true,false,false,true,false,false,false,false,2024-10-17,2025-05-17,false,false
23,11 Inspiring Stories Of People Who Left Normal Life And Embarked On An Adventure,https://www.buzzfeed.com/laraparker/inspiring-stories-of-people-who-left-normal-life-and-emba,http://www.myasmine.com/,personal blog.,26,77,false,false,false,true,false,false,false,false,2024-11-05,2025-04-27,false,false
23,11 Inspiring Stories Of People Who Left Normal Life And Embarked On An Adventure,https://www.buzzfeed.com/laraparker/inspiring-stories-of-people-who-left-normal-life-and-emba,http://www.myasmine.com/,"Yasmine Mustafa,",26,77,false,false,false,true,false,false,false,false,2024-11-05,2025-04-27,false,false
22,shizudai,https://shizudaiz.blogspot.com/hot/,https://myasmine.com/,myasmine,50171,5,true,false,false,true,false,false,false,false,2024-11-26,2024-11-26,false,false
21,"Yasmine Mustafa, Founder & ceo at 123linkit.com",https://pt.slideshare.net/myasmine,https://www.myasmine.com/,www.myasmine.com,7,9,false,false,false,true,false,false,false,false,2024-04-27,2025-03-27,false,false
20,The Globe - The world's most visited web pages,http://www.adengine.theglobe.net/the_worlds_most_visited_web_pages_865/,http://www.myasmine.com/,865557. myasmine.com,995,7,false,false,false,true,false,false,false,false,2024-10-20,2025-05-02,false,false
17,Articles for App Store Developers | MacRumors Forums,https://forums.macrumors.com/threads/articles-for-app-store-developers.1343399/,http://www.myasmine.com/marketing-101-for-developers/,Marketing 101 for developers,58,202,true,false,true,true,false,false,false,false,2024-06-04,2025-04-01,false,false
17,shizudai,https://shizudaiz.blogspot.com/%C2%A0,https://myasmine.com/,myasmine,50171,5,true,false,false,true,false,false,false,false,2025-01-08,2025-01-17,false,false
17,Meet the Coin-Size Rape-Prevention Device That Beat Its Crowdfunding Goal 5 Times Over,https://www.inc.com/minda-zetlin/meet-the-coin-sized-rape-prevention-device-that-beat-its-crowdfunding-goal-by-5-.html,http://myasmine.com/,Yasmine Mustafa,22,87,false,false,false,true,false,false,false,false,2024-10-30,2025-05-17,false,false
16,Girl Develop It Philly turns one - WHYY,https://whyy.org/articles/girl-develop-it-philly-turns-one/,http://www.myasmine.com/,a “non-techie” tech entreprenuer,14,100,false,false,false,true,false,false,false,false,2025-01-15,2025-05-10,false,false
