Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
15,GFT Publishing - Yi-Fu Tuan,http://www.gftbooks.com/books_Tuan.html,http://paradigmmagazine.com/2014/10/09/paradigm-yi-fu-tuan-interview/,Read an interview with Yi-Fu Tuan in Paradigm Magazine,4,10,False,False,False,True,False,False,False,False,2024-05-25,2025-05-13,False,False
14,Jean-Marie Lacroix - 1335 Frankford,https://blog.lacolombe.com/2013/04/26/lacroix/,http://paradigmmagazine.com/site/,click here,5,41,False,False,False,True,False,False,False,False,2024-05-25,2025-05-07,False,False
6,VIDEO: Watch The Throne Documentary – Direct Music Service,https://blog.directmusicservice.com/2012/08/video-watch-the-throne-documentary/,http://paradigmmagazine.com/site/2012/08/06/paradigm-magazine-robert-lopuski-interview/,HERE,5,33,False,False,False,True,False,False,False,False,2024-05-29,2025-04-07,False,False
19,Incidenti aerei a lieto fine - Il Post,https://www.ilpost.it/2014/12/16/happy-end-dietmar-eckell/,http://paradigmmagazine.com/2013/08/27/paradigm-magazine-dietmar-eckell-interview/,non era interessato a documentare la tragedia,7,76,False,False,False,True,False,False,False,False,2024-06-04,2025-04-03,False,False
14,"‘Watch the Throne’ Documentary Features Jay-Z, Kanye West, Beyonce",https://popcrush.com/watch-the-throne-documentary-jay-z-kanye-west-beyonce/,http://paradigmmagazine.com/site/2012/08/06/paradigm-magazine-robert-lopuski-interview/,Paradigm Magazine,8,41,False,False,False,True,False,False,False,False,2024-05-08,2025-05-16,False,False
11,"Watch a conversation with instrumental duo El Ten Eleven, shot at the North Star (playing Johnny Brenda's on 9/20) - WXPN | Vinyl At Heart",https://xpn.org/2013/06/18/watch-a-conversation-with-instrumental-duo-el-ten-eleven-shot-at-the-north-star-playing-johnny-brendas-on-920/,http://paradigmmagazine.com/,Paradigm Magazine,9,25,False,False,False,True,False,False,False,False,2024-08-31,2025-03-19,False,False
8,Christopher Tin - God of Love,https://www.christophertin.com/albums/godoflove.html,http://paradigmmagazine.com/2012/02/07/paradigm-magazine-stereo-alchemy-interview/,Paradigm Magazine,9,10,False,False,False,True,False,False,False,False,2024-10-24,2025-02-16,False,False
8,10 Inspirational Quotes All Musicians Can Appreciate,https://blog.sonicbids.com/10-inspirational-quotes-all-musicians-can-appreciate,http://paradigmmagazine.com/2012/03/12/paradigm-magazine-henry-rollins-interview-2/,paradigmmagazine.com,10,464,False,False,False,True,False,False,False,False,2024-05-29,2025-05-15,False,False
6,Jay-Z & Kanye West: 'Watch The Throne' Documentary | HipHop-N-More,https://hiphop-n-more.com/2012/08/jay-z-kanye-west-watch-the-throne-documentary/,http://paradigmmagazine.com/site/2012/08/06/paradigm-magazine-robert-lopuski-interview/,here,12,52,False,False,False,True,False,False,False,False,2024-05-15,2025-05-18,False,False
17,Death Gets a Divine Touch in Katsuyo Aoki’s “Dark Globe” | Artsy,https://www.artsy.net/article/artsy-death-gets-a-divine-touch-in-katsuyo-aoki-s-dark-globe,http://paradigmmagazine.com/2011/11/30/paradigm-magazine-katsuyo-aoki-interview/,has said,12,40,False,False,False,True,False,False,False,False,2024-06-25,2025-05-10,False,False
8,Mikael Kennedy ‘The Odyseuss’ | Escape Into Life,https://www.escapeintolife.com/photography/mikael-kennedy-the-odyseuss/,http://paradigmmagazine.com/site/2012/01/30/the-last-showing-of-the-odysseus/,Mikael Kennedy presented by Paradigm Magazine,13,85,False,False,False,True,False,False,False,False,2024-08-23,2025-05-15,False,False
14,Video: Punk/hiphop photog Glen E. Friedman interviewed by Paradigm Magazine - Boing Boing,https://boingboing.net/2012/02/27/video-punkhiphop-photog-glen.html,http://paradigmmagazine.com/site/2012/02/27/paradigm-magazine-glen-e-friedman-interview/,from a wonderful interview by Paradigm Magazine,13,52,False,False,False,True,False,False,False,False,2024-11-01,2025-05-11,False,False
11,Paradigm Vol. 1—Genesis - COOL HUNTING®,https://coolhunting.com/culture/paradigm-vol-1-genesis/,http://paradigmmagazine.com/,Paradigm Magazine,13,121,False,False,False,True,False,False,False,False,2024-03-06,2025-04-21,False,False
17,"Wes Lang, Noam Chomsky, and a Host of Others Contribute t...",https://www.complex.com/style/a/andrew-lasane/wes-lang-noam-chomsky-and-a-host-of-others-contribute-to-paradigm-vol-1-genesis,https://paradigmmagazine.com/,Paradigm Magazine,15,47,False,False,False,True,False,False,False,False,2024-12-08,2025-03-31,False,False
18,Watch The Throne documentary by Robert Lopuski: Watch the making-of video here,https://www.slate.com/blogs/browbeat/2012/08/08/watch_the_throne_documentary_by_robert_lopuski_watch_the_making_of_video_here.html,http://paradigmmagazine.com/site/2012/08/06/paradigm-magazine-robert-lopuski-interview/,he was frustrated that he wasn’t given more access,15,17,False,False,False,True,False,False,False,False,2024-05-18,2025-05-04,False,False
9,You Should Know: Nemo Librizzi,https://guestofaguest.com/new-york/you-should-know/you-should-know-nemo-librizzi,http://paradigmmagazine.com/2014/03/21/paradigm-magazine-nemo-librizzi-interview/,Paradigm Magazine,15,45,False,False,False,True,False,False,False,False,2024-12-25,2024-12-27,False,False
9,"Jay-Z, Beyonce, And Kanye In Never Before Seen ""Watch The Throne"" Documentary (VIDEO)",https://globalgrind.com/1873707/jay-z-beyonce-kanye-watch-the-throne-documentary-video/,http://paradigmmagazine.com/site/2012/08/06/paradigm-magazine-robert-lopuski-interview/,Paradigm Magazine,16,47,False,False,False,True,False,False,False,False,2024-05-24,2025-05-07,False,False
8,The Shrine - Primitive Blast | Music Review | Tiny Mix Tapes,https://www.tinymixtapes.com/music-review/the-shrine-primitive-blast,http://paradigmmagazine.com/site/2012/05/29/paradigm-magazine-jason-adams-interview/,interview,16,40,False,False,False,True,False,False,False,False,2024-10-23,2025-05-15,False,False
14,"Links we love today: New music, new videos, Pete Doherty's blood paintings,learning from sci-fi and more - CultureMap Houston",https://houston.culturemap.com/news/entertainment/02-27-12-14-30-links-we-love-today-february-27,https://paradigmmagazine.com/site/2012/02/27/paradigm-magazine-glen-e-friedman-interview/,interviewed on video,18,12,False,False,False,True,False,False,False,False,2024-11-04,2025-04-14,False,False
8,"Dall'idea al progetto: raccontare la genesi, l'origine, la creazione - Frizzifrizzi",https://www.frizzifrizzi.it/2014/07/30/dallidea-al-progetto-raccontare-la-genesi-lorigine-la-creazione/,http://paradigmmagazine.com/,Paradigm Magazine,18,132,False,False,False,True,False,False,False,False,2024-08-10,2025-05-17,False,False
6,Peggy Oki,https://nzt-eth.ipns.dweb.link/wiki/Peggy_Oki.html,http://paradigmmagazine.com/2014/10/01/peggy-oki-interview/,Paradigm Magazine: Interview with Peggy Oki,18,35,False,False,False,True,False,False,False,False,2024-10-30,2025-02-05,False,False
6,NoseGo Profiled in Awesome Video for Paradigm Magazine – Streets Dept,https://streetsdept.com/2012/06/12/nosego-profiled-in-awesome-video-for-paradigm-magazine/,http://paradigmmagazine.com/site/,Paradigm Magazine,19,37,False,False,False,True,False,False,False,False,2024-08-25,2025-02-22,False,False
10,One Dollar Bill Collages,https://theawesomer.com/one-dollar-bill-collages/226489/,http://paradigmmagazine.com/site/2011/12/12/paradigm-magazine-mark-wagner-interview/,here,20,57,False,False,False,True,False,False,False,False,2024-05-31,2025-05-07,False,False
36,jeremymageandthemagi,http://jeremymage.com/themagi.html,http://paradigmmagazine.com/2014/10/15/paradigm-jeremy-mage-interview/,INTERVIEW,21,6,False,False,False,True,False,False,False,False,2024-10-22,2025-04-09,False,False
