Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
65,8 Best Colombian Dating Sites & Apps For Singles: Find Your Love Here,https://colombiafiancee.com/,https://bogotastic.com/10-things-ive-learned-from-dating-a-colombian-woman-2/,one more family,3,34,False,False,False,True,False,False,False,False,2024-11-03,2025-05-17,False,False
48,nvvegfest,https://nvvegfest.blogspot.com/,https://bogotastic.com/,bogotastic,50174,7,True,False,False,True,False,False,False,False,2024-06-10,2025-05-17,False,False
46,nvvegfest,https://nvvegfest.blogspot.com/%C2%A0,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2025-04-18,2025-04-18,False,False
22,nvvegfest,https://nvvegfest.blogspot.com/OPS_Page/index.html,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2024-12-02,2025-04-19,False,False
22,nvvegfest,https://nvvegfest.blogspot.com/hot/,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2024-11-12,2025-04-19,False,False
22,achirs - Search Images,https://www.bing.com/images/results.aspx?q=achirs,http://bogotastic.com/achiras-de-huila-cheesy-colombian-crackers/achiras/,bogotastic.com,41,273,False,False,False,True,False,False,False,False,2025-03-14,2025-03-14,False,False
21,Colombian Dating: Meet Columbian Women For Dating,https://atomic-bride.org/single-women/latin-singles/colombian-singles/,http://bogotastic.com/10-things-ive-learned-from-dating-a-colombian-woman-2/,dancing,4,140,True,False,False,True,False,False,False,False,2024-11-12,2025-05-04,False,False
21,bogático - Search Images,https://www.bing.com/images/results.aspx?q=bog%C3%A1tico,https://bogotastic.com/,bogotastic.com,38,170,False,False,False,True,False,False,False,False,2025-05-11,2025-05-11,True,False
19,Banana Passionfruit - Gastro Obscura,https://www.atlasobscura.com/foods/banana-passionfruit,http://bogotastic.com/2015/02/19/how-to-juice-the-national-fruit-of-colombia-curuba-banana-passionfruit/,bogotastic.com/2015/02/19/how-to-juice-the-national-fruit-of-colombia-curuba-banana-passionfruit/,22,132,False,False,False,True,False,False,False,False,2024-11-11,2025-05-11,False,False
18,Top 70 Similar Sites Like bankerinthesun.com | Best bankerinthesun Alternatives & Reviews,https://www.sitelike.org/similar/bankerinthesun.com/,https://www.bogotastic.com/,bogotastic.com,41,262,True,False,False,False,False,False,True,False,2025-04-01,2025-04-01,False,False
18,Top 31 Similar Sites Like flowerstocolombia.com | Best flowerstocolombia Alternatives & Reviews,https://www.sitelike.org/similar/flowerstocolombia.com/,https://www.bogotastic.com/,bogotastic.com,18,129,True,False,False,False,False,False,True,False,2025-01-19,2025-05-19,False,False
16,Top 33 similar sites like medellinguru.com and medellinguru alternatives,https://www.sitelike.org/similar/medellinguru.com/,https://www.bogotastic.com/,bogotastic.com,21,134,True,False,False,False,False,False,True,False,2025-01-31,2025-01-31,False,False
16,Top 72 Similar Sites Like medellinliving.com | Best medellinliving Alternatives & Reviews,https://www.sitelike.org/similar/medellinliving.com/,https://www.bogotastic.com/,bogotastic.com,42,269,True,False,False,False,False,False,True,False,2024-11-18,2025-03-19,False,False
16,Top 71 Similar Sites Like mycolombianrecipes.com | Best mycolombianrecipes Alternatives & Reviews,https://www.sitelike.org/similar/mycolombianrecipes.com/,https://www.bogotastic.com/,bogotastic.com,57,251,True,False,False,False,False,False,True,False,2025-04-17,2025-04-17,False,False
15,Top 71 Similar Sites Like colombianspanish.co | Best colombianspanish Alternatives & Reviews,https://www.sitelike.org/similar/colombianspanish.co/,https://www.bogotastic.com/,bogotastic.com,43,264,True,False,False,False,False,False,True,False,2024-12-23,2025-04-23,False,False
15,Top 70 Similar Sites Like mavericktraveler.com | Best mavericktraveler Alternatives & Reviews,https://www.sitelike.org/similar/mavericktraveler.com/,https://www.bogotastic.com/,bogotastic.com,45,259,True,False,False,False,False,False,True,False,2025-04-27,2025-04-27,True,False
15,Top 33 similar sites like wayuutribe.com and wayuutribe alternatives,https://www.sitelike.org/similar/wayuutribe.com/,https://www.bogotastic.com/,bogotastic.com,17,138,True,False,False,False,False,False,True,False,2024-10-15,2025-02-12,False,False
14,30 Food Dishes to Try at a Colombian Restaurant,https://spoonuniversity.com/school/bridgeport/30-food-dishes-to-try-at-a-colombian-restaurant/,http://bogotastic.com/real-colombian-salpicon/,like an exotic chunky smoothie.,60,424,True,False,False,True,False,False,False,False,2024-11-10,2025-05-14,False,False
14,30 Food Dishes to Try at a Colombian Restaurant,https://spoonuniversity.com/school/bridgeport/30-food-dishes-to-try-at-a-colombian-restaurant/,http://bogotastic.com/guanabana-soursop-colombian-smoothie/,Guanabana or Soursop,60,424,True,False,False,True,False,False,False,False,2024-08-22,2025-05-14,False,False
14,Top 33 Similar websites like expat-chronicles.com and alternatives,https://www.sitelike.org/similar/expat-chronicles.com/,https://www.bogotastic.com/,bogotastic.com,18,71,True,False,False,False,False,False,True,False,2024-11-09,2024-11-09,False,False
14,Top 33 Similar websites like expat-chronicles.com and alternatives,https://www.sitelike.org/similar/expat-chronicles.com/,https://www.bogotastic.com/,,34,55,True,False,False,True,False,False,False,False,2024-04-10,2024-11-09,False,True
14,Top 58 Similar Sites Like flavorsofbogota.com | Best flavorsofbogota Alternatives & Reviews,https://www.sitelike.org/similar/flavorsofbogota.com/,https://www.bogotastic.com/,bogotastic.com,30,225,True,False,False,False,False,False,True,False,2025-04-14,2025-04-14,False,False
14,Top 77 Similar Sites Like gobackpacking.com | Best gobackpacking Alternatives & Reviews,https://www.sitelike.org/similar/gobackpacking.com/,https://www.bogotastic.com/,bogotastic.com,40,292,True,False,False,False,False,False,True,False,2025-03-23,2025-03-23,False,False
14,Top 71 Similar Sites Like learnmorethanspanish.com | Best learnmorethanspanish Alternatives & Reviews,https://www.sitelike.org/similar/learnmorethanspanish.com/,https://www.bogotastic.com/,bogotastic.com,53,255,True,False,False,False,False,False,True,False,2025-05-04,2025-05-04,True,False
14,Top 72 Similar Sites Like sarepa.com | Best sarepa Alternatives & Reviews,https://www.sitelike.org/similar/sarepa.com/,https://www.bogotastic.com/,bogotastic.com,43,268,True,False,False,False,False,False,True,False,2024-09-27,2025-03-25,False,False
14,Top 68 Similar Sites Like southamerica.cl | Best southamerica Alternatives & Reviews,https://www.sitelike.org/similar/southamerica.cl/,https://www.bogotastic.com/,bogotastic.com,46,250,True,False,False,False,False,False,True,False,2024-10-07,2025-04-04,False,False
14,Your Ideal Craft's Wayuu Mochila Bags Are Perfect for Summer,https://www.spot.ph/shopping/the-latest-shopping/77716/your-ideal-craft-wayuu-mochila-bags-a3440-20190429,http://bogotastic.com/5-differences-between-single-thread-and-double-thread-wayuu-bags/,single or double thread,11,114,False,False,False,True,False,False,False,False,2024-07-19,2025-05-13,False,False
12,"Cali Lunch Brah | SURFER Magazine Forum | Surf News, Fantasy Surfer, Photos, Video, and Forecasting",https://forum.surfer.com/index.php?threads%2Fcali-lunch-brah.234943%2F,http://bogotastic.com/15-typical-foods-you-need-to-try-in-cali-colombia/,"15 Typical Foods You Need To Try In Cali, Colombia",16,168,True,False,False,True,False,False,False,False,2024-08-28,2025-01-01,False,False
12,nvvegfest,https://nvvegfest.blogspot.com/component/dashboard/?view=manager,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2025-04-11,2025-04-11,False,False
12,nvvegfest,https://nvvegfest.blogspot.com/component/dashboardmm/?view=manager,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2025-03-16,2025-03-16,False,False
12,nvvegfest,https://nvvegfest.blogspot.com/component/newsmgr/?view=intro,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2025-04-11,2025-04-11,False,False
12,nvvegfest,https://nvvegfest.blogspot.com/manage/manage-sidebar.html,https://bogotastic.com/,bogotastic,50174,5,True,False,False,True,False,False,False,False,2025-03-17,2025-03-17,False,False
10,Marty Fielding enhed Ruddy bogota short term rentals strejke forligsmanden ineffektiv,https://beta30.hospedagemdesites.ws/bogota-short-term-rentals-k.html,https://bogotastic.com/wp-content/uploads/2016/07/Bogota-e1468023271315-1280x720.jpg,"Where is the Best Place to Live in Bogota for Expats? Neighborhoods, Rent & More - Bogotastic",25,21,False,False,False,False,False,False,True,False,2024-07-01,2025-03-06,False,True
