Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
31,Home - Medswana,http://www.medswana.co.bw/,https://the-european-times.com/award-winning-pharmaceuticals-wholesaler-and-distributor/#1474883885484-50e2a6d0-43f4,european times grey,8,26,False,False,False,False,False,False,True,False,2025-04-19,2025-04-29,False,False
15,The European Times (International) - последние публикации на русском и обзоры событий - ИноСМИ,https://inosmi.ru/publisher_the-european-times/,https://the-european-times.com/,https://the-european-times.com/,8,44,False,False,False,True,False,False,False,False,2024-08-25,2025-05-15,False,False
15,"If Ukraine's neon exports flag, the chip shortage will get worse",https://qz.com/2134896/if-ukraines-neon-exports-flag-the-chip-shortage-will-get-worse,https://the-european-times.com/iceblick/,that supplies,13,24,False,False,False,True,False,False,False,False,2024-06-18,2025-05-20,False,False
14,5 Zambian Podcasts to Listen to (and Why!),https://www.thepodcasthost.com/business-of-podcasting/zambian-podcasts/,https://the-european-times.com/umoyo/,Kim Otteby,17,37,False,False,False,True,False,False,False,False,2024-11-10,2025-05-18,False,False
10,Hasselt University: The Place to be for Innovation-Focused Professors - Academic Positions,https://academicpositions.com/employer-story/hasselt-university-the-place-to-be-for-innovation-focused-professors,https://the-european-times.com/karolien-mondelaers/,"75,000 people",22,90,False,False,False,True,False,False,False,False,2024-10-30,2025-05-17,False,False
14,The Fight for Women’s Rights in Myanmar - The Borgen Project,https://borgenproject.org/womens-rights-in-myanmar/,https://the-european-times.com/daw-hla-waddy-empowering-entrepreneurial-women-in-myanmar/,Myanmar’s Women Entrepreneurs Association (MWEA),26,52,False,False,False,True,False,False,False,False,2024-09-07,2024-12-07,False,False
10,Distinction Walk around Morning government printers botswana upright Believer Intimate,https://alkotoegyetem.metropolitan.hu/government-printers-botswana-k.html,https://the-european-times.com/wp-content/uploads/gpps_ad_full-620x874.jpg,Government Printing & Publishing Services - The European Times,26,20,False,False,False,False,False,False,True,False,2024-08-28,2025-02-24,False,True
13,Former President of the European Commission Jean-Claude Juncker did not refer to Indian voters as ‘foolish’ - FACTLY,https://factly.in/former-president-of-the-european-commission-jean-claude-juncker-did-not-refer-to-indian-voters-as-foolish/,https://the-european-times.com/,here,33,66,False,False,False,True,False,False,False,False,2024-12-23,2025-05-07,False,False
5,Radio Derb Transcript,https://johnderbyshire.com/Opinions/RadioDerb/2022-02-25.html,https://the-european-times.com/iceblick/,one single chemical plant,34,23,False,False,False,True,False,False,False,False,2024-06-16,2025-05-19,False,False
20,Russiagate распахнул евродепутатам двери на выход :: Политика :: Газета РБК,https://www.rbc.ru/newspaper/2024/04/24/6627cf1c9a7947014b78a0ab,https://the-european-times.com/eu-parliament-ready-for-requests-to-lift-meps-immunity-in-russian-influence-probe-says-metsola/,заявила,39,88,False,False,False,True,False,False,False,False,2024-12-01,2024-12-01,False,False
24,Klina - Search Images,https://akam.bing.com/images/search?FORM=IRFLTR&q=Klina&qft,https://the-european-times.com/municipality-of-klina/,the-european-times.com,40,303,False,False,False,True,False,False,False,False,2024-10-01,2024-12-27,False,True
8,Na dně Baltského moře se skrývá tikající bomba. Vědci varují před obří katastrofou – Poznatsvět.cz,https://www.poznatsvet.cz/veda-a-technika/chemicke-zbrane-baltske-more/,https://the-european-times.com/a-ticking-time-bomb-how-abandoned-war-weapons-are-poisoning-the-baltic-sea/,the-european-times.com,41,33,False,False,False,True,False,False,False,False,2024-08-04,2025-05-13,False,False
7,"Why Did Putin Attack? How Shall We Be Affected? Thirty Years Of Folly, And Biden's First SOTU Coming Up, Etc. | Radio Derb | VDARE.com",https://vdare.com/radio-derb/why-did-putin-attack-how-shall-we-be-affected-thirty-years-of-folly-and-biden-s-first-sotu-coming-up-etc,https://the-european-times.com/iceblick/,one single chemical plant,49,85,False,False,False,True,False,False,False,False,2024-02-20,2025-01-28,False,True
5,Two tigers in one mountain: Europeanising the Western Balkans amid China’s engagement | Asia Europe Journal,https://springerlink.fh-diploma.de/article/10.1007/s10308-024-00695-z,https://the-european-times.com/mile-janakieski/,https://the-european-times.com/mile-janakieski/,152,38,False,False,False,True,False,False,False,False,2024-11-06,2025-04-06,False,False
