Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,The Approved Card: Reader Feedback - The New York Times,https://archive.nytimes.com/bucks.blogs.nytimes.com/2012/01/09/the-approved-card-uses-for-suze-ormans-plastic/,https://theapprovedcard.com/howitworks/,Approved card,4,32,False,False,False,True,False,False,False,False,2024-09-19,2025-05-06,False,False
5,Do Prepaid Debt Cards Raise Your Credit Score?,https://www.askmrcreditcard.com/news/do-prepaid-debt-cards-raise-your-credit-score/,http://theapprovedcard.com/whychoosetac/thecreditproject/,Suze Orman’s Prepaid Card,4,29,False,False,False,True,False,False,False,False,2024-11-06,2025-04-30,False,False
5,Safer Than Cash Money Families.com,https://www.families.com/safer-than-cash,http://theapprovedcard.com/index.php,Approved Prepaid MasterCard,4,89,False,False,False,True,False,False,False,False,2024-01-05,2025-04-26,False,True
5,The Approved Card: Products Suze Orman Should Have Endorsed,https://financialhighway.com/personal-finance-products-suze-orman-shouldve-endorsed-instead-of-approved-card/,http://www.theapprovedcard.com/,Approved Card,7,21,False,False,False,True,False,False,False,False,2023-11-12,2024-11-07,False,True
7,Finance – Page 17 – Mouse Print*,https://www.mouseprint.org/category/finance/page/17/,http://theapprovedcard.com/fees/,fee structure,8,24,False,False,False,True,False,False,False,False,2024-10-21,2025-05-15,False,False
22,Suze Orman Enters the Prepaid Card Market,https://money.usnews.com/money/blogs/my-money/2012/01/13/suze-orman-enters-the-prepaid-card-market,http://theapprovedcard.com/index.php,The Approved Card,8,249,False,False,False,True,False,False,False,False,2024-10-25,2025-05-17,False,False
21,Suze Orman Launches Financial Revolution With Auto-Tuned Theme Song,https://www.buzzfeed.com/mattcherette/suze-orman-launches-financial-revolution-with-auto,http://theapprovedcard.com/howitworks/,Approved Card,10,73,False,False,False,True,False,False,False,False,2024-09-06,2025-05-01,False,False
10,"There are no ""quiet exits"" in the payment game - CUInsight",https://www.cuinsight.com/there-are-no-quiet-exits-in-the-payment-game/,http://www.theapprovedcard.com/,for the card,10,65,False,False,False,True,False,False,False,False,2024-10-18,2025-05-04,False,False
7,LDN - Business,https://archives.lincolndailynews.com/2012/Jan/13/News/business011312_X.shtml,http://theapprovedcard.com/fees/,http://theapprovedcard.com/fees/,10,29,False,False,False,True,False,False,False,False,2024-11-17,2025-04-20,False,False
14,Money Mistakes You Can't Afford to Make,https://www.oprah.com/own-americas-money-class-with-suze-orman/money-mistakes-you-cant-afford-to-make/all,https://www.theapprovedcard.com/,here.,11,52,False,False,False,True,False,False,False,False,2024-12-10,2025-05-16,False,False
15,Check Please! CNBC's Suze Orman Fights Debit Card Naysayers,https://www.adweek.com/tvnewser/check-please-cnbcs-suze-orman-fights-debit-card-naysayers/,http://theapprovedcard.com/howitworks/,The Approved Card,11,60,False,False,False,True,False,False,False,False,2024-09-24,2025-04-21,False,False
20,"Suze Orman Discusses Chicago Childhood, School Challenges With Arianna Huffington (VIDEO) | HuffPost Chicago",https://www.huffpost.com/entry/suze-orman-discusses-chic_n_1200052,http://theapprovedcard.com/,new pre-paid debit card,13,83,False,False,False,True,False,False,False,False,2024-12-30,2025-04-02,False,False
7,"Private Label Banking: How So Many Of Your Favorite Banks Are Actually All The Same Bank, The Bancorp Bank",https://www.biblemoneymatters.com/private-label-banking-how-so-many-of-your-favorite-banks-are-actually-all-the-same-bank-the-bancorp-bank/,http://www.theapprovedcard.com/,Suze Orman Approved Prepaid card,13,106,False,False,False,True,False,False,False,False,2024-09-08,2025-05-19,False,False
14,Suze Orman Prepaid Debit Card Discontinued,https://www.blackenterprise.com/suze-orman-prepaid-debit-card-discontinued/,http://www.theapprovedcard.com/,Approved,13,107,False,False,False,True,False,False,False,False,2024-11-03,2025-05-13,False,False
