Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
42,"Covid-19 Updates: Special Offers, Events and Discounts",https://www.publishersweekly.com/pw/by-topic/industry-news/publisher-news/article/82747-response-to-covid-19-special-offers-and-discounts.html,https://www.backthecomeback.com/,"Comics Retail Support, Distribution Restart.",174,117,False,False,False,True,False,False,False,False,2024-04-26,2025-05-16,False,False
36,Robert Kirkman Surprises With a New Walking Dead Comic - The New York Times,https://www.nytimes.com/2020/06/18/arts/walking-dead-robert-kirkman.html,https://backthecomeback.com/,#backthecomeback campaign,8,96,False,False,False,True,False,False,False,False,2024-04-26,2025-04-22,False,False
21,Diamond's Back the Comeback Logo Highlights Image's June 17 Releases,https://www.cbr.com/diamonds-backs-the-comeback-logo-highlights-images-june-17-releases/,https://backthecomeback.com/,backthecomeback.com,25,92,False,False,False,True,False,False,False,False,2022-09-02,2025-04-03,False,False
21,Marvel's Empyre Backs the Comeback With Diamond Comic Distributors,https://www.cbr.com/marvel-empyre-diamond-back-the-comeback/,https://backthecomeback.com/,backthecomeback.com,25,91,False,False,False,True,False,False,False,False,2022-10-23,2025-05-09,False,False
18,The comic book industry begins to reopen...while continuing to shoot itself in the foot. — Steemit,https://steemit.com/hive-164671/@arseniclullaby/the-comic-book-industry-begins-to-reopen-while-continuing-to-shoot-itself-in-the-foot,https://backthecomeback.com/,https://backthecomeback.com/,19,47,True,False,False,True,False,False,False,False,2024-08-22,2025-02-03,False,False
15,"EMPYRE #1: Marvel Comics ""Backs The Comeback"" With Comeback Logo Appearing On The Cover",https://comicbookmovie.com/comics/marvel-comics/empyre-1-marvel-comics-backs-the-comeback-with-comeback-logo-appearing-on-the-cover-a176093,http://backthecomeback.com/,backthecomeback.com,73,83,True,False,False,True,False,False,False,False,2024-07-21,2025-05-08,False,False
15,,https://u7061146.ct.sendgrid.net/ls/click?upn=4tNED-2FM8iDZJQyQ53jATUQnGAbeA0LiCykttDmNrjS97ZyX95FwiqmBScCSVOVwWUWq__9DNMh4olVyar7J29cLixGbnJBM6c7Yc1Z3-2F0lVBcfUvEYOSBmX34fmQnF-2B3f0GbpC1BJuK5XV38aVkjlx005I6xsL8uVXR10m2VjIthnTmuQlLtE2lqWUnDldYRSmiu6mJH2ApX8rOAF6pTvhlNjsmAbOKq7zgPdpcuhOAfne1-2Bm3C8reExDuZfIZZPsxxm2cITgcHLmQLXFyQbfvixVhGUZxf73G-2B7o-2BGCqCEpqfU1L8S41ONbL6DGU1Vyqjh-2F1YaQtu1gnMo4zs-2Fyk6aRhWiJ6IPUjlenlcz1KuZOLEtkzZPTfO-2BGtojf8koXX6QOYvxk-2B6o9d4d8RESDZRO5ZXyuG4EXWuGJP3JtmjSrT-2Bhw-2FA-2FXvD4YTDw3HpvojJLFo,https://backthecomeback.com/,,0,0,False,False,False,True,False,False,False,False,2024-06-21,2025-03-22,False,False
14,ICv2: ICv2 Interview: We talk to GFE CEO Steve Geppi on the 'Back the Comeback' Campaign,https://icv2.com/articles/news/view/45739/icv2-interview-we-talk-gfe-ceo-steve-geppi-back-comeback-campaign,https://backthecomeback.com/,backthecomeback.com,7,75,False,False,False,True,False,False,False,False,2024-04-16,2025-04-18,False,False
14,"Geppi and Diamond launches huge ""Back the Comeback"""" charity drive",https://www.comicsbeat.com/diamond-and-geppi-back-the-comeback/,https://www.backthecomeback.com/,Back The Comeback™,27,74,False,False,False,True,False,False,False,False,2023-10-09,2025-01-08,False,False
14,Marvel Comics ‘Backs The Comeback’ With Comeback Logo Appearing on Empyre #1 - Previews World,https://www.previewsworld.com/Article/243355-Marvel-Comics-Backs-The-Comeback-With-Comeback-Logo-Appearing-on-Empyre-1,https://www.backthecomeback.com/,backthecomeback.com,45,72,False,False,False,True,False,False,False,False,2024-05-14,2025-05-17,False,False
