Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
15,,https://u7061146.ct.sendgrid.net/ls/click?upn=4tNED-2FM8iDZJQyQ53jATUQnGAbeA0LiCykttDmNrjS97ZyX95FwiqmBScCSVOVwWUWq__9DNMh4olVyar7J29cLixGbnJBM6c7Yc1Z3-2F0lVBcfUvEYOSBmX34fmQnF-2B3f0GbpC1BJuK5XV38aVkjlx005I6xsL8uVXR10m2VjIthnTmuQlLtE2lqWUnDldYRSmiu6mJH2ApX8rOAF6pTvhlNjsmAbOKq7zgPdpcuhOAfne1-2Bm3C8reExDuZfIZZPsxxm2cITgcHLmQLXFyQbfvixVhGUZxf73G-2B7o-2BGCqCEpqfU1L8S41ONbL6DGU1Vyqjh-2F1YaQtu1gnMo4zs-2Fyk6aRhWiJ6IPUjlenlcz1KuZOLEtkzZPTfO-2BGtojf8koXX6QOYvxk-2B6o9d4d8RESDZRO5ZXyuG4EXWuGJP3JtmjSrT-2Bhw-2FA-2FXvD4YTDw3HpvojJLFo,https://backthecomeback.com/,,0,0,False,False,False,True,False,False,False,False,2024-06-21,2025-03-22,False,False
10,ICv2: The Business of Geek Culture,https://icv2.com/print/article/45739,https://backthecomeback.com/,backthecomeback.com,2,40,False,False,False,True,False,False,False,False,2023-12-12,2025-05-14,False,False
6,“Back the Comeback” Campaign Supports Comic and Game Retailers as they Begin to Re-Open - ENSPIRE Magazine,https://enspiremag.com/2020/05/back-the-comeback-campaign-supports-comic-and-game-retailers-as-they-begin-to-re-open/,https://backthecomeback.com/,here,7,52,False,False,False,True,False,False,False,False,2022-03-02,2025-05-07,False,True
36,Robert Kirkman Surprises With a New Walking Dead Comic - The New York Times,https://www.nytimes.com/2020/06/18/arts/walking-dead-robert-kirkman.html,https://backthecomeback.com/,#backthecomeback campaign,8,96,False,False,False,True,False,False,False,False,2024-04-26,2025-04-22,False,False
6,"Comics Disassembled: Ten Things of Note from the Past Week in Comics, Led by a Little Sweet One - SKTCHD",https://sktchd.com/column/comics-disassembled-ten-things-of-note-from-the-past-week-in-comics-led-by-a-little-sweet-one/,https://www.backthecomeback.com/,announced,8,23,False,False,False,True,False,False,False,False,2023-12-08,2025-05-16,False,False
8,"Comic Book Merch: ""Back the Comeback"" T-Shirts | The Pop Insider",https://thepopinsider.com/back-the-comeback-campaign/,https://www.backthecomeback.com/,backthecomeback.com,9,141,False,False,False,True,False,False,False,False,2024-04-28,2025-02-12,False,False
6,Back the Comeback – SMASH PAGES,https://smashpages.net/tag/back-the-comeback/,https://www.backthecomeback.com/,website,10,164,False,False,False,True,False,False,False,False,2024-03-24,2025-05-12,False,False
10,Back The Comeback and Support Comic and Game Retailers - Gentle Giant Ltd,https://www.gentlegiantltd.com/blog/back-the-comeback-and-support-comic-and-game-retailers/,http://backthecomeback.com/,backthecomeback.com,11,149,False,False,False,True,False,False,False,False,2023-11-22,2025-05-07,False,False
10,Daily Illuminator: Back The Comeback!,https://sjgames.com/ill/archive/May_20_2020,http://www.backthecomeback.com/,www.backthecomeback.com,13,57,False,False,False,True,False,False,False,False,2024-03-08,2025-04-17,False,False
11,"Scoop - Where the Magic of Collecting Comes Alive! - Back the Comeback Logo on Image, Marvel Books",https://scoop.previewsworld.com/Home/4/1/73/1012?articleID=243359,https://backthecomeback.com/,backthecomeback.com,13,26,False,False,False,True,False,False,False,False,2023-11-21,2025-05-05,False,True
