Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
14,𝙨𝙤𝙪𝙡𝙗𝙤𝙭 - Persona 5,https://soulbox.neocities.org/shrinep5/p5,https://www.personaproblems.com/,https://www.personaproblems.com/,1,9,False,False,False,True,False,False,False,False,2024-11-04,2024-11-12,False,False
11,Dynasty Reader » Forum › Posts by Blastaar,https://dynasty-scans.com/forum/posts?page=248&user_id=38958,http://www.personaproblems.com/,this,3,70,False,False,False,True,False,False,False,False,2024-12-08,2025-03-10,False,True
12,Are different standards acceptable for different types of translation?,https://www.tomedes.com/business-center/different-standards-different-translations.php,http://www.personaproblems.com/,flaws in Persona 5’s translation,7,17,False,False,False,True,False,False,False,False,2024-08-16,2025-05-15,False,False
11,Autre PLAYSTATION 4 - V2 > Le topic des acronymes - Page 4,https://forum.canardpc.com/threads/119823-PLAYSTATION-4-V2-Le-topic-des-acronymes/page4,https://www.personaproblems.com/,mauvaise qualité de trad de P5,10,263,False,False,False,True,False,False,False,False,2024-11-04,2025-01-29,False,False
5,The latest chapter of Forbidden Scrollery [SPOILERS],https://www.shrinemaiden.org/forum/index.php?topic=20752.90,http://www.personaproblems.com/,http://www.personaproblems.com/,11,79,False,False,False,True,False,False,False,False,2024-08-28,2025-05-07,False,False
10,Профиль пользователя на Cossa.ru,https://www.cossa.ru/profile/?ID=127532,http://www.personaproblems.com/,http://www.personaproblems.com/,13,55,False,False,False,True,False,False,False,False,2024-03-24,2025-04-11,False,False
14,"Persona 5 - I Love Videogames – Notizie sui giochi per PC, Console e Mobile",https://ilovevg.it/recensioni/persona-5/,http://www.personaproblems.com/,web,14,23,False,False,False,True,False,False,False,False,2024-08-18,2025-05-20,False,False
16,SEGA Translator/Editor Katrina Leonoudakis Announces Involvement with “Persona 5 Royal” – Nihonsei Media Blog,https://nihonsei.home.blog/2019/08/17/sega-translator-editor-katrina-leonoudakis-announces-involvement-with-persona-5-royal/,http://www.personaproblems.com/,many glaring errors in the original Persona 5 localized script,15,20,False,False,False,True,False,False,False,False,2024-08-14,2025-05-14,False,False
13,"Похоже, Atlus готовится анонсировать переиздание Persona 5 | StopGame",https://stopgame.ru/newsdata/36510/pohozhe_atlus_gotovitsya_anonsirovat_pereizdanie_persona_5,https://www.personaproblems.com/,www.personaproblems.com,16,160,False,False,False,True,False,False,False,False,2024-03-23,2025-05-17,False,False
20,05: What to Read When You Don't Want To Read - by anna,https://bibliotherapy.substack.com/p/05-what-to-read-when-you-dont-want,https://www.personaproblems.com/,game,30,15,False,False,False,True,False,False,False,False,2024-02-27,2025-05-13,False,False
5,On Persona 5 And Its Localization Controversy: Is It Really Such A Big Deal? | Apartment 507,https://www.apartment507.com/blogs/japan-gaming/on-persona-5-and-its-localization-controversy-is-it-really-such-a-big-deal,http://www.personaproblems.com/,Persona Problems,31,209,False,False,False,True,False,False,False,False,2024-11-04,2025-02-03,False,False
6,"My Week in Manga: April 17-April 23, 2017 — Experiments in Manga",https://experimentsinmanga.mangabookshelf.com/2017/04/my-week-in-manga-april-17-april-23-2017/,http://www.personaproblems.com/,Persona Problems,32,57,False,False,False,True,False,False,False,False,2024-03-27,2025-02-27,False,True
18,Persona 5's translation is a black mark on a brilliant game | Eurogamer.net,https://www.eurogamer.net/persona-5s-translation-is-a-black-mark-on-a-brilliant-game,http://www.personaproblems.com/,"a startling, brilliant and insightful site popped up on the internet",35,91,False,False,False,True,False,False,False,False,2024-05-26,2025-05-15,False,False
14,"""Reading List (May 2017)"" by GameMakersToolkit from Patreon | Kemono",https://kemono.su/patreon/user/563826/post/11478851,http://www.personaproblems.com/,Phantoms of Translation,41,38,False,False,False,True,False,False,False,False,2024-06-02,2025-04-01,False,True
9,Persona 5: Game Director bedankt sich bei den Spielern in westlichen Regionen - Seite 2 - 4P.de Forum,http://forum.4pforen.4players.de/viewtopic.php?start=15&t=427654,http://www.personaproblems.com/,http://www.personaproblems.com,46,151,False,False,False,True,False,False,False,False,2024-02-08,2025-04-15,False,False
7,Idän lumo: Fanikääntämällä saa parempaa - Pelaaja.fi,https://www.pelaaja.fi/blogit/idan-lumo-fanikaantamalla-saa-parempaa/,https://www.personaproblems.com/,Persona 5:n lokalisaation,67,103,False,False,False,True,False,False,False,False,2024-09-21,2025-02-25,False,False
11,8 Games and Franchises with the Biggest Translation Gaffes – GameSkinny,https://www.gameskinny.com/listicle/8-games-and-franchises-with-the-biggest-translation-gaffes/,https://www.personaproblems.com/,site,69,66,False,False,False,True,False,False,False,False,2023-12-16,2025-05-12,False,False
11,Janky or non-fluent?: A small-scale practitioner survey on Chinese-English videogame localisation approaches,https://benjamins.com/catalog/dt.22015.sta,https://www.personaproblems.com/,[URL],105,95,False,False,False,True,False,False,False,False,2025-01-13,2025-05-10,False,False
18,Found in Translation: Evolving Approaches for the Localization of Japanese Video Games,https://www.mdpi.com/2076-0752/10/1/9,https://www.personaproblems.com/,https://www.personaproblems.com/,123,251,False,False,False,True,False,False,False,False,2024-04-11,2025-04-06,False,False
9,Jank or agenda? | John Benjamins,https://www.jbe-platform.com/content/journals/10.1075/dt.22015.sta?TRACK=RSS,https://www.personaproblems.com/,https://www.personaproblems.com,158,105,False,False,False,True,False,False,False,False,2025-02-11,2025-05-09,False,False
