Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
13,"Wesley David, Author at Simple Talk",https://www.red-gate.com/simple-talk/author/wesley-david/,http://www.thenubbyadmin.com/,The Nubby Admin,1,26,False,False,False,True,False,False,False,False,2024-11-06,2025-05-16,False,False
11,Циклический маунт NFS-шар — Admin — Форум,https://www.linux.org.ru/forum/admin/10527748,http://thenubbyadmin.com/2013/04/10/solving-nfs-mounts-at-boot-time/,http://thenubbyadmin.com/2013/04/10/solving-nfs-mounts-at-boot-time/,2,59,False,False,False,True,False,False,False,False,2024-11-17,2025-04-22,False,False
10,problems with mounting external drive - Debian User Forums,https://forums.debian.net/viewtopic.php?t=103033,http://thenubbyadmin.com/2011/03/08/getting-a-stubborn-ntfs-drive-to-mount-in-linux-was-this-trip-really-necessary/,http://thenubbyadmin.com/2011/03/08/get ... necessary/,3,41,False,False,False,True,False,False,False,False,2024-04-28,2025-03-25,False,True
15,Re: [CentOS] F18: Create a USB install of CentOS 6 from iso - Discuss - lists.centos.org,https://lists.centos.org/hyperkitty/list/discuss@lists.centos.org/message/IVE6TF3BH2E5VCUYKMJPPX6B3VJRNAJU/,http://thenubbyadmin.com/2012/05/04/how-to-make-a-bootable-centos-6-usb-drive/,http://thenubbyadmin.com/2012/05/04/how-to-make-a-bootable-centos-6-usb-drive/,3,273,False,False,False,True,False,False,False,False,2024-12-17,2025-04-08,False,False
11,"Wesley David, Author at Petri IT Knowledgebase",https://petri.com/author/wesley-david/,http://www.thenubbyadmin.com/,,4,100,False,False,False,True,False,False,False,False,2024-10-29,2025-05-03,False,False
13,Can't Turn On System Restore! - Windows 7 Forums,https://www.sevenforums.com/backup-restore/290532-cant-turn-system-restore.html,http://thenubbyadmin.com/2011/01/03/solving-the-issue-the-filename-directory-name-or-volume-label-syntax-is-incorrect-0x8007007b/,"Solving the Issue: The Filename, Directory Name, or Volume Label Syntax is Incorrect (0x8007007B) | The Nubby Admin",8,35,False,False,True,True,False,False,False,False,2024-11-13,2025-05-08,False,False
8,"MAC OS - info, how-to, pitanja, novosti, problemi... - Stranica 3 - PC Ekspert Forum",https://forum.pcekspert.com/showthread.php?page=3&t=213098,http://thenubbyadmin.com/wp-content/uploads/2014/01/SAY_CLOUD_AGAIN.png,http://thenubbyadmin.com/wp-content/...LOUD_AGAIN.png,10,147,False,False,False,True,False,False,False,False,2024-11-24,2025-02-10,False,False
5,"Ask Freelock | Security, Insights, and Results for your Drupal or WordPress Website",https://childrensall.freelock.com/ask-freelock?page=2,http://thenubbyadmin.com/,Wesley,11,59,False,False,False,True,False,False,False,False,2024-10-18,2025-04-03,False,False
5,Thenubbyadmin.com [Analysis],https://www.mustat.com/thenubbyadmin.com,https://thenubbyadmin.com/,Thenubbyadmin.com,13,36,False,False,False,True,False,False,False,False,2024-12-11,2024-12-11,False,False
6,Checking SSL / TLS Version Support of a Remote Host from the Command Line | Max Chadwick,https://maxchadwick.xyz/blog/checking-ssl-tls-version-support-of-remote-host-from-command-line,http://thenubbyadmin.com/2014/02/17/how-can-i-determine-what-ssltls-versions-are-available-for-https-communication/,“How Can I Determine What SSL/TLS Versions Are Available for HTTPS Communication?”,15,20,False,False,False,True,False,False,False,False,2024-11-16,2025-03-06,False,False
7,Issues installing Suricata / Snort,"https://forum.zentyal.org/index.php/topic,24204.0.html",http://thenubbyadmin.com/2014/01/29/solving-wget-error-cannot-verify-site-certificate-unable-to-locally-verify-the-issuers-authority/,http://thenubbyadmin.com/2014/01/29/solving-wget-error-cannot-verify-site-certificate-unable-to-locally-verify-the-issuers-authority/,15,36,False,False,False,True,False,False,False,False,2024-11-02,2025-05-19,False,False
6,Western Digital externe HDD niet koppelbaar...?,https://forum.ubuntu-nl.org/index.php?topic=68253.25,http://thenubbyadmin.com/2011/03/08/getting-a-stubborn-ntfs-drive-to-mount-in-linux-was-this-trip-really-necessary/,http://thenubbyadmin.com/2011/03/08/getting-a-stubborn-ntfs-drive-to-mount-in-linux-was-this-trip-really-necessary/,15,85,False,False,False,True,False,False,False,False,2024-11-11,2025-05-09,False,False
6,Kugelschreiber-Systeme? Parker/Lamy? Tinten/Gel-Roller? - Penexchange,https://www.penexchange.de/forum_neu/viewtopic.php?t=9932,http://thenubbyadmin.com/2014/05/07/review-of-the-ti-click-pro-titanium-pen-after-one-week/,solche Reviews lesen,18,85,False,False,False,True,False,False,False,False,2024-10-22,2025-05-06,False,False
7,Shodan and Censys Query My Router - RouterSecurity.org,https://routersecurity.org/shodan.php,http://thenubbyadmin.com/2014/04/28/a-tale-of-centurylink-backdoors-pci-compliance-and-pain-lots-of-pain/,here,19,13,False,False,False,True,False,False,False,False,2024-11-20,2025-02-24,False,True
8,Sneaky Upgrade: Unofficial patch for Thief 3 - Page 36,https://www.ttlg.com/Forums/showthread.php?page=36&t=138607,http://thenubbyadmin.com/2011/05/30/automating-the-modification-of-a-windows-processs-affinity-the-wrong-ways-and-the-powershell-way/,this,22,155,False,False,False,True,False,False,False,False,2024-11-24,2025-05-04,False,False
16,Further exploring the SysRq support in Linux,https://www.pingdom.com/blog/further-exploring-the-sysrq-support-in-linux/,http://www.thenubbyadmin.com/,www.TheNubbyAdmin.com,25,118,False,False,False,True,False,False,False,False,2024-11-07,2025-05-15,False,False
6,Install Kubuntu 19.10 and Apps for Web Development – Michael S. Mikowski – SPA (UI/UX/server) architect and author,https://mmikowski.github.io/k19-10-guide/,http://thenubbyadmin.com/2013/04/10/solving-nfs-mounts-at-boot-time/,NFSv4 at Boot,26,34,False,False,False,True,False,False,False,False,2024-10-30,2025-05-10,False,False
8,blanking file data while keeping folder-file structure - DonationCoder.com,https://www.donationcoder.com/forum/index.php?topic=43218.0,http://thenubbyadmin.com/2012/01/13/if-you-like-robocopy-consider-richcopy-too/,http://thenubbyadmin...nsider-richcopy-too/,27,131,False,False,False,True,False,False,False,False,2024-10-29,2025-05-17,False,False
14,NFS 网络系统配置及自动挂载-阿里云开发者社区,https://developer.aliyun.com/article/482515,http://thenubbyadmin.com/2013/04/10/solving-nfs-mounts-at-boot-time/,http://thenubbyadmin.com/2013/04/10/solving-nfs-mounts-at-boot-time/,29,172,False,False,False,True,False,False,False,False,2024-11-09,2025-04-10,False,False
5,Networking/Security Forums :: View topic - Hard Disk Recovery,http://forums.windowsnetworking.com/viewtopic.php?p=307079,http://www.thenubbyadmin.com/,Visit poster's website,33,140,False,False,False,False,False,False,True,False,2023-07-15,2024-12-02,False,True
11,Best content in NTEN111 | Diigo - Groups,https://groups.diigo.com/group/nten111?view=popular,http://thenubbyadmin.com/2010/09/12/solving-pptp-vpn-error-720-on-windows-7/?title=Solving%2BPPTP%2BVPN%2BError%3A%2B720%2Bon%2BWindows%2B7,Solving PPTP VPN Error: 720 on Windows 7,41,79,False,False,False,True,False,False,False,False,2024-12-25,2025-03-15,False,False
12,[SOLVED] can't install virtualbox in ubuntu 13.04 x64,https://ubuntuforums.org/showthread.php?t=2195045,http://thenubbyadmin.com/wp-content/uploads/2011/02/SecondError.png,http://thenubbyadmin.com/wp-content/...econdError.png,49,282,False,False,False,True,False,False,False,False,2025-03-10,2025-03-10,False,False
18,windows - What exactly does netsh int ip reset reset? - Server Fault,https://serverfault.com/questions/527278/what-exactly-does-netsh-int-ip-reset-reset,http://thenubbyadmin.com/2010/09/12/solving-pptp-vpn-error-720-on-windows-7/,this solution,65,84,False,False,False,True,False,False,False,False,2025-01-13,2025-01-13,False,False
30,RDP connection from Windows 7/8 to Server 2012 is slow - Super User,https://superuser.com/questions/515180/rdp-connection-from-windows-7-8-to-server-2012-is-slow,http://thenubbyadmin.com/2012/02/14/fixing-exceptionally-slow-remote-desktop-performance-to-windows-server-2008/,here,70,112,False,False,False,True,False,False,False,False,2025-01-02,2025-01-02,False,False
10,Instapaper,https://www.instapaper.com/p/1045527/13,http://thenubbyadmin.com/2010/06/16/epic-uptime-bragging-rights-or-epic-fail/,Epic Uptime – Bragging Rights or Epic Fail?,83,54,False,False,False,True,False,False,False,False,2024-11-15,2025-03-09,False,False
55,How can I get octal file permissions from command line? - Ask Ubuntu,https://askubuntu.com/questions/152001/how-can-i-get-octal-file-permissions-from-command-line,http://thenubbyadmin.com/2012/02/16/how-to-list-linux-file-permissions-in-octal-notation/,(Reference),103,142,False,False,False,True,False,False,False,False,2023-11-02,2024-12-29,False,False
