Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,Small Grants for YPLHIV Led Organizations,https://www.advance-africa.com/Small-Grants-for-YPLHIV-Led-Organizations.html,http://www.yplusnetwork.org/news/y-call-for-applications/,Small Grants for YPLHIV Led Organizations,1,89,False,False,False,True,False,False,False,False,2024-11-20,2025-05-16,False,False
16,READY to care - Frontline AIDS : Frontline AIDS,https://frontlineaids.org/resources/ready-to-care/,http://www.yplusnetwork.org/resource/ready-to-care/,Y+ website,6,37,False,False,False,True,False,False,False,False,2024-04-03,2025-02-21,False,False
8,Y+ Global HER Voice Fund Ambassadors Program 2020 for young African Women – Opportunities For Africans,https://www.opportunitiesforafricans.com/tag/y-global-her-voice-fund-ambassadors-program-2020-for-young-african-women/,http://www.yplusnetwork.org/hervoicefund/call-for-application/,Visit the Official Webpage of the Y+ Global HER Voice Fund Ambassadors Program 2020,6,29,False,False,False,True,False,False,False,False,2024-11-04,2024-12-05,False,False
5,Programa de Formación - Fundación ChilePositivo.org,https://www.chilepositivo.org/programa-formacion/,http://www.yplusnetwork.org/,Y+ Network,6,27,False,False,False,True,False,False,False,False,2024-11-09,2025-05-17,False,False
7,Networks of people living with HIV plug the gap in essential services as weak health systems struggle to cope with COVID-19 - ЛЖВ,https://2023.network.org.ua/en/networks-of-people-living-with-hiv-plug-the-gap-in-essential-services-as-weak-health-systems-struggle-to-cope-with-covid-19/,http://www.yplusnetwork.org/,www.yplusnetwork.org,8,32,False,False,False,True,False,False,False,False,2024-11-14,2025-03-01,False,False
5,Youth RISE: Promoting Harm Reduction & Drug Policy Reform,https://youthrise.org/global-fund-training-of-trainers/,http://www.yplusnetwork.org/,Y+ Network,8,21,False,False,False,True,False,False,False,False,2024-03-31,2025-05-14,False,False
6,Networks of people living with HIV plug the gap in essential services as weak health systems struggle to cope with COVID-19 – GNP+,https://gnpplus.net/latest/news/press-release-networks-of-people-living-with-hiv-plug-the-gap-in-essential-services-as-weak-health-systems-struggle-to-cope-with-covid-19/,http://www.yplusnetwork.org/,www.yplusnetwork.org,9,28,False,False,False,True,False,False,False,False,2024-04-02,2025-05-12,False,False
7,Y+ Global | HER Voice Fund Ambassador Angels,https://yplusglobal.org/her-voice-fund-ambassador-angels,http://www.yplusnetwork.org/wp-content/uploads/2020/03/HER-Voice-Fund-Privacy-Notice-1.pdf,HER Voice Fund Data Privacy Notice.,10,35,False,False,False,True,False,False,False,False,2024-08-10,2025-05-11,False,False
17,Mental health and young people living with HIV | Youth Stop AIDS,https://youthstopaids.org/mental-health/,http://www.yplusnetwork.org/,Y+ Global,13,23,False,False,False,True,False,False,False,False,2025-03-11,2025-03-14,False,False
8,Y+ HER Voice Fund Ambassador 2020 for African adolescent girls & young women (AGYW),https://www.afterschoolafrica.com/48476/y-her-voice-fund-ambassador-2020-for-african-adolescent-girls-young-women-agyw/,http://www.yplusnetwork.org/hervoicefund/call-for-application/,Visit Award Webpage for Details,14,51,False,False,False,True,False,False,False,False,2024-11-24,2025-05-06,False,False
11,Salamander Trust Podcasts - Salamander Trust,https://salamandertrust.net/project/podcasts/,http://www.yplusnetwork.org/,here,14,60,False,False,False,True,False,False,False,False,2024-08-18,2025-05-20,False,False
8,Y+ Global is seeking HER Voice Fund Ambassadors 2020 from Africa – Opportunity Desk,https://opportunitydesk.org/2020/05/28/y-global-is-seeking-her-voice-fund-ambassadors-2020-from-africa/,http://www.yplusnetwork.org/hervoicefund/call-for-application/,HER Voice Fund,15,83,False,False,False,True,False,False,False,False,2024-11-15,2025-05-09,False,False
11,Call for Proposals: Y+ Global HER Voice Fund 2020 | My JobMag,https://www.myjobmag.com/blog/call-for-proposals-y-global-her-voice-fund-2020,http://www.yplusnetwork.org/hervoicefund/call-for-application/,http://www.yplusnetwork.org/hervoicefund/call-for-application/,17,66,False,False,False,True,False,False,False,False,2024-11-01,2025-04-08,False,False
6,Differentiated Service Delivery for Africa (DSD4A) - PATA,https://teampata.org/programmes/dsd4a-differentiated-service-delivery-for-africa/,http://www.yplusnetwork.org/,South African Network of young people living with HIV (SAY+),17,73,False,False,False,True,False,False,False,False,2024-12-13,2025-04-04,False,True
10,#POCLiberatedWorld Now: People of Color Liberation Work Organizations – GSA Network,https://gsanetwork.org/resources/pocliberatedworld-now-people-of-color-liberation-work-organizations/,http://www.yplusnetwork.org/,Y+ Global Network of Young People Living with HIV – Global,23,45,False,False,False,True,False,False,False,False,2024-07-28,2025-05-08,False,False
10,Our Partners | IFMSA,https://ifmsa.org/our-partners/,http://www.yplusnetwork.org/,Y+ (Global Network of Young People Living with HIV),85,61,False,False,False,True,False,False,False,False,2024-08-23,2025-05-20,False,False
