Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
8,Test pancake baked bites - Recipes and Cooking Tips,https://recipesandcookingtips.posthaven.com/test-pancake-baked-bites,http://www.biteofhealthnutrition.com/customizable-cinnamon-pancake-bites-peanut-yogurt-sauce/,http://www.biteofhealthnutrition.com/customizable-cinnamon-pancake-bites-peanut-yogurt-sauce/,1,14,False,False,False,True,False,False,False,False,2024-07-05,2025-05-10,False,False
9,Wild Blueberry Lemon Coconut Smoothie - Wild Blueberries,https://www.wildblueberries.com/recipe/wild-blueberry-lemon-coconut-smoothie/,http://www.biteofhealthnutrition.com/wild-blueberry-lemon-coconut-smoothie/,Bite of Health Nutrition.,6,43,False,False,False,True,False,False,False,False,2024-03-18,2025-03-21,False,False
6,Corn and Pea Fritters with Cilantro Lime Dipping Sauce - Libby's Vegetables,https://www.libbysvegetables.com/recipe/corn-and-pea-fritters-with-cilantro-lime-dipping-sauce/,http://www.biteofhealthnutrition.com/corn-and-pea-fritters-with-cilantro/,Bite of Health,6,54,False,False,False,True,False,False,False,False,2024-03-09,2025-04-26,False,False
14,Spiralized Potato Recipes | Spiralized Potato Waffle Nachos,https://potatogoodness.com/recipes/spiralized-potato-waffle-nachos-performance/,http://www.biteofhealthnutrition.com/spiralized-potato-waffle-nachos/,Visit Website,7,53,False,False,False,True,False,False,False,False,2023-01-13,2025-03-24,False,True
7,Berry Stuffed French Toast Pitas | Toufayan Bakeries | Pita Bread Bakery,http://toufayan.com/recipes/berry-stuffed-french-toast-pitas/,http://www.biteofhealthnutrition.com/recipes/,biteofhealthnutrition.com,8,66,False,False,False,True,False,False,False,False,2024-07-24,2025-05-07,False,False
5,Black Beans 5 Ways — CYCLE Kids,https://www.cyclekids.org/familyhub/2017/2/28/black-beans-5-ways,http://www.biteofhealthnutrition.com/no-bake-chocolate-peanut-butter-fudge/,No-Bake Chocolate Peanut Butter (and Black Bean) Fudge,8,37,False,False,False,True,False,False,False,False,2024-03-13,2025-04-25,False,False
13,Persian Pulled Chicken {Slow Cooker or Instant Pot},https://www.theleangreenbean.com/persian-pulled-chicken/,http://www.biteofhealthnutrition.com/,Bite of Health Nutrition,11,71,False,False,False,True,False,False,False,False,2024-08-23,2025-04-22,False,False
8,10 Tips From Nutrition Experts To Encourage Your Kids To Eat Well - FamilyToday,https://www.familytoday.com/family/10-tips-from-nutrition-experts-to-encourage-your-kids-to-eat-well/,http://www.biteofhealthnutrition.com/,Bite of Health Nutrition,15,15,False,False,False,True,False,False,False,False,2024-02-29,2025-05-08,False,False
11,Best And Worst Foods To Consume After Having A Baby,https://aaptiv.com/magazine/foods-to-eat-after-baby/,http://www.biteofhealthnutrition.com/,Lauren Sharifi,16,103,False,False,False,True,False,False,False,False,2024-06-06,2025-05-13,False,False
9,Healthy Peanut Butter Lovers Recipes,https://teaspoonofspice.com/peanut-butter-lovers-recipe-roundup-from-foodie-dietitians/,http://www.biteofhealthnutrition.com/chicken-quinoa-coconut-curry-bowl/,Chicken Quinoa Coconut Curry Bowl,18,53,False,False,False,True,False,False,False,False,2023-09-03,2025-02-01,False,True
6,Slow Cooker or Instant Pot Coconut Milk Curry Recipes - Slow Cooker or Pressure Cooker,https://www.slowcookerfromscratch.com/slow-cooker-basil-chicken-coconut-curry-sauce/,http://www.biteofhealthnutrition.com/instant-pot-chicken-coconut-curry/,Instant Pot Chicken Coconut Curry,20,55,False,False,False,True,False,False,False,False,2024-07-07,2025-05-06,False,False
5,15 Unique Cranberry Recipes for The Holidays,https://www.diys.com/cranberry-recipes-for-the-holidays/,https://www.biteofhealthnutrition.com/blood-orange-cranberry-muffins/,Bite of Health Nutrition,21,31,False,False,False,True,False,False,False,False,2024-03-09,2025-04-27,False,False
9,10 tips from nutrition experts to encourage your kids to eat well - Great Bend Tribune,https://www.gbtribune.com/news/trending-topics/10-tips-from-nutrition-experts-to-encourage-your-kids-to-eat-well/,http://www.biteofhealthnutrition.com/,Bite of Health Nutrition,22,115,False,False,False,True,False,False,False,False,2024-03-21,2025-05-12,False,False
8,"Menu Plan Monday: May 8, 2017",https://jessicalevinson.com/menu-plan-monday-may-8-2107/,http://www.biteofhealthnutrition.com/healthy-one-dish-dinners/,45 Healthy One-Dish Dinners,26,58,False,False,False,True,False,False,False,False,2024-02-20,2025-05-16,False,False
8,15 Delicious & Simple Calcium-Rich Recipes for the Whole Family,https://maryannjacobsen.com/15-delicious-simple-calcium-rich-recipes-for-the-whole-family/,http://www.biteofhealthnutrition.com/customizable-cinnamon-pancake-bites-peanut-yogurt-sauce/,Customizable Cinnamon Pancake Bites with Peanut Yogurt Sauce,27,71,False,False,False,True,False,False,False,False,2024-07-12,2025-05-07,False,False
5,nonalcoholic Archives - Better Is the New Perfect,https://betteristhenewperfect.com/tag/nonalcoholic/,http://www.biteofhealthnutrition.com/basil-lemonade-spritzer/,Basil Lemonade Spritzer,29,47,False,False,False,True,False,False,False,False,2024-11-02,2025-05-07,False,False
9,How to Help (and Not Hurt) Larger Kids,https://thenourishedchild.com/help-the-heavy-kid/,http://www.biteofhealthnutrition.com/about/,Lauren Sharifi,30,40,False,False,False,True,False,False,False,False,2024-03-25,2025-05-21,False,False
