Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
6,"On Street Parking Availability Map for Frisco Fried in San Francisco: Find free, metered and permit parking",https://places.parknav.com/usa/sf/friscofried-8x1vj52e,http://friscofried.biz/,http://friscofried.biz/,2,4,False,False,False,True,False,False,False,False,2024-08-24,2025-05-19,False,False
14,"Frisco Fried Menu in San Francisco, CA | Order Delivery & Reviews",https://www.menupix.com/sf/restaurants/458419/Frisco-Fried-San-Francisco-CA,http://www.friscofried.biz/,Website,3,243,False,False,False,True,False,False,False,False,2025-01-11,2025-04-17,False,False
9,Frisco Fried | Hyperflyer Instant Delivery,https://www.hyperflyer.com/biz/frisco-fried-san-francisco/,https://friscofried.biz/order-now-1,Order Pickup,3,15,False,False,False,True,False,False,False,False,2024-04-29,2025-03-06,False,True
13,"Mapstr - Restaurant Frisco Fried SF - Southern, Cheap, Northern California, San Francisco",https://mapstr.com/place/n8WFOVYGPsg,http://www.friscofried.biz/,http://www.friscofried.biz/ Arrow icon,5,36,False,False,False,False,False,False,True,False,2025-01-11,2025-04-27,False,False
6,Frisco Fried | The Regular | tablehopper,https://www.tablehopper.com/regular/frisco-fried/,http://www.friscofried.biz/?ref=tablehopper.com,friscofried.biz,7,26,False,False,False,True,False,False,False,False,2024-08-30,2025-05-16,False,False
20,"Frisco Fried | Restaurants in San Francisco, San Francisco",https://www.timeout.com/san-francisco/restaurants/frisco-fried,http://www.friscofried.biz/,Website,8,70,False,False,False,True,False,False,False,False,2024-07-28,2025-05-01,False,False
16,Menus for Frisco Fried - San Francisco - SinglePlatform,http://places.singleplatform.com/frisco-fried/menu,https://www.friscofried.biz/,https://www.friscofried.biz,9,0,False,False,False,True,False,False,False,False,2023-06-20,2025-04-16,False,False
9,The ultimate neighborhood guide to Bayview-Hunters Point SF,https://goodmigrations.com/city-guides/san-francisco/bayview-hunters-point/,http://friscofried.biz/,http://friscofried.biz,9,42,False,False,False,True,False,False,False,False,2024-10-26,2025-05-09,False,False
20,"Frisco Fried, 5176 3rd Street, San Francisco, CA - Groupon",https://www.groupon.com/biz/san-francisco/frisco-fried,http://www.friscofried.biz/,Visit website,9,263,False,False,False,True,False,False,False,False,2025-04-02,2025-04-02,False,False
8,"Frisco Fried - Restaurant Reviews - 5176 3rd St , San Francisco, CA 94124 - EatOkra - Black-owned Business",https://www.eatokra.com/businesses/frisco-fried,https://friscofried.biz/,friscofried.biz,10,34,False,False,False,True,False,False,False,False,2024-11-04,2025-05-21,False,False
