Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
lidopalace.com,root_domain,6,231,130,145,173,59,212,9,0,1,0
carson-mccullers.com,root_domain,6,1320,394,346,834,491,1310,11,0,0,0
photofieldschool.com,root_domain,2,274,115,104,136,138,239,33,0,0,0
animalbehaviorcounselors.org,root_domain,5,295,114,140,260,35,284,10,0,0,0
designbezgalstuka.com,root_domain,9,12906,994,907,10992,1929,12821,142,0,0,784
hkhit.org,root_domain,4,1147,163,157,1085,61,1108,37,0,1,0
salemgathering.com,root_domain,2,395,167,162,342,53,387,2,0,0,0
easydestination.net,root_domain,5,3596,419,350,2138,1459,3273,310,0,0,0
glorysmarket.com,root_domain,2,165,101,78,98,67,162,3,0,0,0
zapatag.com,root_domain,4,15261,3064,482,10645,4602,14885,357,0,0,91
localsurgemedia.com,root_domain,4,1628,178,180,1165,463,1610,18,0,0,340
1001freefiles.com,root_domain,2,252,117,114,203,49,247,5,0,0,0
americancombato.com,root_domain,4,838,137,139,768,70,815,25,0,0,0
friscofried.biz,root_domain,13,237,138,148,194,43,218,16,0,0,0
nihongoup.com,root_domain,5,1480,319,302,935,545,1300,173,0,0,0
vredvoice.com,root_domain,2,737,188,181,426,316,675,62,0,0,0
lavagabonddame.com,root_domain,2,913,435,189,366,548,910,5,0,0,0
merinokidsusa.com,root_domain,4,298,117,126,160,141,272,26,0,0,781
mylocalwholesaler.com,root_domain,4,981,453,338,760,221,938,43,0,0,3761
portedwardswi.com,root_domain,5,498,122,127,466,27,384,3,0,0,0
androidopentutorials.com,root_domain,5,231,129,128,107,124,219,13,0,0,0
forestrycenter.org,root_domain,5,524,184,153,484,41,510,15,0,0,0
tourisme-saintpalais.com,root_domain,2,190,101,103,156,34,186,5,0,0,0
biteofhealthnutrition.com,root_domain,5,517,181,193,417,100,467,48,0,1,0
lessmeatlessheat.org,root_domain,5,580,176,172,512,68,570,9,0,0,0
promatchcomplete.com,root_domain,3,171,100,80,155,16,146,11,0,8,0
knuckleheadstobacco.com,root_domain,4,276,144,152,215,61,255,21,0,0,0
elestragonvegetariano.com,root_domain,12,270,122,130,213,57,263,7,0,0,0
onecharmingday.com,root_domain,4,1666,552,339,883,785,1202,466,0,0,0
jkiwi.com,root_domain,4,2230,175,184,2126,104,2225,11,0,0,0
englishfarmsteadcheese.com,root_domain,5,251,139,145,170,81,217,34,0,0,0
huami-usa.com,root_domain,5,691,214,231,487,207,686,7,0,0,0
randybrodnax.com,root_domain,3,142,105,107,117,25,131,9,0,0,0
sachnoionline.com,root_domain,5,2807,165,132,2543,264,2733,4,0,0,0
creationsylvie.net,root_domain,4,6055,322,246,5482,574,4029,2027,0,0,305
glyconutrientsreference.com,root_domain,4,12979,211,218,12447,526,12922,1,0,0,0
nabd.net,root_domain,2,2215,468,257,1169,1047,1982,237,0,0,0
nosemagic.com,root_domain,2,6777,161,133,6554,219,6737,48,0,0,0
ladiesofthelake.com,root_domain,11,2183,260,292,344,1849,2183,10,0,0,0
blackorc.com,root_domain,2,1419,161,179,1224,193,1370,49,0,0,0
seethefraservalley.com,root_domain,3,248,129,124,213,35,244,3,1,0,0
alphabit.net,root_domain,3,279,128,132,240,39,277,2,0,0,0
pathwaystohope.net,root_domain,14,564,151,174,284,280,547,16,0,0,0
