Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
6,Inside the Millennial Mind: Insights Every Marketer Needs to Know,https://www.bcwebwise.com/blog/inside-the-millennial-mind-the-marketers-read/,http://theurgetohelp.com/articles/buy-one-give-one-what-toms-shoes-tells-us-about-the-wests-urge-to-help-africa/,http://theurgetohelp.com/articles/buy-one-give-one-what-toms-shoes-tells-us-about-the-wests-urge-to-help-africa/,8,22,False,False,False,True,False,False,False,False,2024-09-22,2025-05-05,False,False
5,PepsiCo announces $1 Million safe water investment in Sub-Saharan Africa | Business Tech Africa,https://www.businesstechafrica.co.za/energy/2021/08/26/pepsico-announces-1-million-safe-water-investment-in-sub-saharan-africa/,http://theurgetohelp.com/podcasts/clean-water-in-sub-saharan-africa-effectiveness-of-efforts-by-ncm/,theurgetohelp,11,97,False,False,False,True,False,False,False,False,2024-01-24,2025-05-13,False,False
8,Nigerian Hospitals Are Not Paying for Free Formula | 2min snip from Behind the Bastards,https://share.snipd.com/chapter/43d14e1a-06f8-45e0-aed8-4d976317687f,https://theurgetohelp.com/articles/formula-for-death/,https://theurgetohelp.com/articles/formula-for-death/,14,6,False,False,False,True,False,False,False,False,2024-08-02,2025-04-10,False,False
9,7 Sosok Miliarder Filantropis yang Habiskan Nyaris Separuh Kekayaannya untuk Sesama. Salut!,https://www.hipwee.com/sukses/miliarder-filantropis/,https://theurgetohelp.com/articles/oprah-winfreys-leadership-academy-a-philanthrocapitalistic-mission/,theurgetohelp.com,14,76,False,False,False,True,False,False,False,False,2021-06-29,2025-05-20,False,False
5,Is Social Entrepreneurship Just a Buzzword? - SMALL BUSINESS CEO,https://www.smbceo.com/2024/12/20/is-social-entrepreneurship-just-a-buzzword/,https://theurgetohelp.com/articles/coca-colas-water-stewardship-evaluating-the-worlds-largest-beverage-companys-replenish-africa-initiative/,has launched,14,50,False,False,False,True,False,False,False,False,2024-12-22,2025-05-18,False,False
22,Reversing the sub-Saharan Africa Digital Divide - The Borgen Project,https://borgenproject.org/sub-saharan-africa-digital-divide/,https://theurgetohelp.com/articles/computers-4-africa-where-our-technology-is-going-and-how-its-being-used/,Computers 4 Africa,17,51,False,False,False,True,False,False,False,False,2022-06-19,2024-12-07,False,False
21,How Nestle Starved A Bunch of Babies - Behind the Bastards | iHeart,https://www.iheart.com/podcast/105-behind-the-bastards-29236323/episode/how-nestle-starved-a-bunch-of-85687280/,https://theurgetohelp.com/articles/formula-for-death/,https://theurgetohelp.com/articles/formula-for-death/,17,16,False,False,False,True,False,False,False,False,2024-09-03,2025-04-30,False,False
15,The Fight for Free and Fair Trade is Not Anti-Free Enterprise,https://townhall.com/columnists/arthurschaper/2022/07/13/the-fight-for-free-and-fair-trade-is-not-antifree-enterprise-n2610118,https://theurgetohelp.com/articles/buy-one-give-one-what-toms-shoes-tells-us-about-the-wests-urge-to-help-africa/,Tom’s Shoes,18,86,False,False,False,True,False,False,False,False,2024-10-23,2025-04-08,False,False
16,How Nestle Starved A Bunch of Babies - Behind the Bastards - Omny.fm,https://omny.fm/shows/behind-the-bastards/how-nestle-starved-a-bunch-of-babies,https://theurgetohelp.com/articles/formula-for-death/,https://theurgetohelp.com/articles/formula-for-death/,20,10,False,False,False,True,False,False,False,False,2024-08-24,2025-01-06,False,False
9,"The nonprofit sector is not more dysfunctional than any other sector, OK? – Nonprofit AF",https://nonprofitaf.com/2022/03/the-nonprofit-sector-is-not-more-dysfunctional-than-any-other-sector-ok/,https://theurgetohelp.com/articles/buy-one-give-one-what-toms-shoes-tells-us-about-the-wests-urge-to-help-africa/,negative consequences,21,43,False,False,False,True,False,False,False,False,2024-09-20,2025-05-22,False,False
