Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
20,The Wearisome Realities of Artificial Intelligence Energy Use,https://laurayost.substack.com/p/the-wearisome-realities-of-artificial,"https://www.nnlabs.org/power-requirements-of-large-language-models/#:~:text=The%20power%20consumption%20of%20LLMs%20varies%20significantly%20with,billion%20parameters%2C%20consumed%20only%2028%2C000%20kWh%20of%20energy.","284,000 kWh to train GPT-3",7,12,False,False,False,True,False,False,False,False,2024-06-08,2025-05-17,False,False
18,More Brain-like Computers Could Cut IT Energy Costs - - Diamond Light Source,https://www.diamond.ac.uk/Science/Research/Highlights/2023/More-Brain-like-Computers-Could-Cut-IT-Energy-Costs.html,https://www.nnlabs.org/power-requirements-of-large-language-models/,Power Requirements to Train Modern LLMs,7,99,False,False,False,True,False,False,False,False,2024-01-17,2025-05-07,False,False
10,How can developers train AI models without violating copyright? - Tech.eu,https://tech.eu/2023/04/30/how-can-developers-train-ai-models-without-violating-copyright/,https://www.nnlabs.org/power-requirements-of-large-language-models/,"costs 355 years of single-processor computing time and 284,000 kWh of energy",11,66,False,False,False,True,False,False,False,False,2024-02-06,2025-05-20,False,False
18,Ian Goodfellow's Career Highlights,https://www.perplexity.ai/page/ian-goodfellow-s-career-highli-hx23l0GGRBSegoTfi9qHig,https://www.nnlabs.org/ian-goodfellow-a-pillar-of-deep-learning/,nnlabs.org favicon nnlabs Ian Goodfellow: A Pioneer in Deep Learning - nnlabs.org,16,13,False,False,False,False,False,False,True,False,2025-05-08,2025-05-26,True,False
10,"AI influencing decision-making - Jamestown Sun | News, weather, sports from Jamestown North Dakota",https://www.jamestownsun.com/lifestyle/arts-and-entertainment/ai-influencing-decision-making,http://nnlabs.org/,nnlabs.org,19,89,False,False,False,True,False,False,False,False,2024-05-26,2025-05-23,False,False
7,Elections to job automation: Five AI trends to look out for in 2024 - Sight Magazine,https://sightmagazine.com.au/features/elections-to-job-automation-five-ai-trends-to-look-out-for-in-2024/,https://www.nnlabs.org/power-requirements-of-large-language-models/,trained on more specific data,21,85,False,False,False,True,False,False,False,False,2024-08-08,2024-11-17,False,True
5,Bra podcast,https://brapodcast.se/podcast/coding-blocks-2/llama-3-is-here-spending-time-on-environmental-setup-and-more/,https://www.nnlabs.org/power-requirements-of-large-language-models/,https://www.nnlabs.org/power-requirements-of-large-language-models/,21,133,False,False,False,True,False,False,False,False,2024-12-13,2025-03-10,False,False
13,Elections to job automation: AI trends to look out for in 2024 | Context by TRF,https://www.context.news/ai/elections-to-job-automation-ai-trends-to-look-out-for-in-2024,https://www.nnlabs.org/power-requirements-of-large-language-models/,trained on more specific data,26,83,False,False,False,True,False,False,False,False,2024-01-19,2025-05-21,False,False
7,"Mistral AI: A estrela em ascensão representa uma séria ameaça para OpenAIdo trono, superando Antropic e Claude | Metaverse Post",https://mpost.io/pt/mistral-ai-the-rising-star-poses-a-serious-threat-to-openais-throne-surpassing-antropic-and-claude/,https://www.nnlabs.org/power-requirements-of-large-language-models/,LLM requer poder de computação substancial,27,169,False,False,False,True,False,False,False,False,2023-10-13,2025-01-28,False,True
12,Why Language Models Became Large Language Models,https://www.assemblyai.com/blog/why-language-models-became-large-language-models/,https://www.nnlabs.org/power-requirements-of-large-language-models/?ref=assemblyai.com,computational requirements,30,35,False,False,False,True,False,False,False,False,2023-11-26,2025-02-26,False,False
8,"Llama 3 is Here, Spending Time on Environmental Setup and More",https://www.codingblocks.net/podcast/llama-3-is-here-spending-time-on-environmental-setup-and-more/,https://www.nnlabs.org/power-requirements-of-large-language-models/,https://www.nnlabs.org/power-requirements-of-large-language-models/,30,47,False,False,False,True,False,False,False,False,2024-05-01,2025-05-08,False,False
18,[2307.11993] Verifiable Sustainability in Data Centers,https://ar5iv.labs.arxiv.org/html/2307.11993,https://www.nnlabs.org/power-requirements-of-large-language-models/,https://www.nnlabs.org/power-requirements-of-large-language-models/,32,32,False,False,False,True,False,False,False,False,2024-11-29,2025-02-04,False,False
7,Making Computers More Efficient - NeuroLogica Blog,https://theness.com/neurologicablog/making-computers-more-efficient/,https://www.nnlabs.org/power-requirements-of-large-language-models/,AI and large language models,38,267,False,False,False,True,False,False,False,False,2024-01-23,2025-05-21,False,False
13,The Ghost in the Machine (Part I): Emergence and Intelligence in Large Language Models - 3 Quarks Daily,https://3quarksdaily.com/3quarksdaily/2023/05/the-ghost-in-the-machine-part-i-emergence-and-intelligence-in-large-language-models.html,https://www.nnlabs.org/power-requirements-of-large-language-models/,using up a lot of power,48,21,False,False,False,True,False,False,False,False,2024-01-20,2025-05-24,False,False
6,Coding Blocks - TopPodcast.com,https://toppodcast.com/podcast_feeds/coding-blocks/,https://www.nnlabs.org/power-requirements-of-large-language-models/,https://www.nnlabs.org/power-requirements-of-large-language-models/,151,302,False,False,False,True,False,False,False,False,2024-05-13,2025-03-01,False,False
