Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
47,"Salt Lake, Hawaii - Wikipedia","https://en.wikipedia.org/wiki/Salt_Lake,_Hawaii",http://protectingwater.com/salt_lake_watershed.html,Salt Lake Watershed,24,169,True,False,False,True,False,False,False,False,2025-03-12,2025-03-12,False,False
19,How does agriculture pollute water? | Socratic,https://socratic.org/questions/how-does-agriculture-pollute-water,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,4,42,True,False,False,True,False,False,False,False,2024-03-11,2025-04-29,False,True
18,Nonpoint Source Pollution,http://dusk.geo.oregonstate.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,5,1,False,False,False,True,False,False,False,False,2024-08-13,2025-05-23,False,False
18,Nonpoint Source Pollution,http://jollyroger.science.oregonstate.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,5,1,False,False,False,True,False,False,False,False,2024-09-11,2025-05-17,False,False
18,Nonpoint Source Pollution,https://dusk.geo.oregonstate.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,5,1,False,False,False,True,False,False,False,False,2024-10-06,2025-05-13,False,False
18,Nonpoint Source Pollution,https://jollyroger.science.oregonstate.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,5,1,False,False,False,True,False,False,False,False,2024-09-08,2025-05-13,False,False
18,Hawai'i Water Quality Program,https://www2.ctahr.hawaii.edu/wq/resources/resources.htm,http://protectingwater.com/index.html,http://protectingwater.com/index.html,48,32,False,False,False,True,False,False,False,False,2024-07-30,2025-03-31,False,False
17,EconPort - Nonpoint Source Water Pollution*,http://econport.gsu.edu/content/handbook/Environmental/WaterPollution/Nonpoint-Source.html,http://protectingwater.com/,http://protectingwater.com,4,14,False,False,False,True,False,False,False,False,2024-09-12,2025-05-15,False,False
17,NPS Project Types,https://dep.wv.gov/WWE/Programs/nonptsource/Pages/NPSProjectTypes.aspx,http://protectingwater.com/agriculture.html,agricultural sources,15,254,False,False,False,True,False,False,False,False,2024-12-10,2025-05-10,False,False
17,EconPort - Nonpoint Source Water Pollution*,https://econport.gsu.edu/content/handbook/Environmental/WaterPollution/Nonpoint-Source.html,http://protectingwater.com/,http://protectingwater.com,4,14,False,False,False,True,False,False,False,False,2024-09-09,2025-05-13,False,False
17,Use of GIS to Predict Pollution Contents,https://hydrology.usu.edu/giswr/archive02/kashif/,http://protectingwater.com/index.html,http://protectingwater.com/index.html,6,0,False,False,False,True,False,False,False,False,2024-08-14,2025-05-12,False,False
16,Nebraska DEE,http://dee.ne.gov/NDEQProg.nsf/OnWeb/UPD092407,http://protectingwater.com/index.html,http://protectingwater.com/index.html,12,26,False,False,False,True,False,False,False,False,2023-12-15,2024-12-27,False,True
16,Nebraska DEE,http://deq.ne.gov/NDEQProg.nsf/OnWeb/UPD092407,http://protectingwater.com/index.html,http://protectingwater.com/index.html,12,26,False,False,False,True,False,False,False,False,2023-12-06,2024-12-20,False,True
16,Nebraska DEE,http://deq.ne.gov/Press.nsf/pages/UPD092407,https://protectingwater.com/,http://protectingwater.com/,6,30,False,False,False,True,False,False,False,False,2024-02-04,2025-01-22,False,True
16,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/195894,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,13,False,False,False,True,False,False,False,False,2024-09-06,2025-05-17,False,False
16,Nonpoint–Source Pollution | Encyclopedia.com,https://www.encyclopedia.com/environment/energy-government-and-defense-magazines/nonpoint-source-pollution,http://protectingwater.com/index.html,http://protectingwater.com/index.html,6,105,False,False,False,True,False,False,False,False,2024-08-20,2025-05-05,False,False
15,Nonpoint Source Pollution,http://dusk.geo.orst.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,6,0,False,False,False,True,False,False,False,False,2024-09-01,2025-05-13,False,False
15,Nonpoint Source Pollution,https://dusk.geo.orst.edu/gis/student_bibs/hubbard.html,http://www.protectingwater.com/,http://www.protectingwater.com/,6,0,False,False,False,True,False,False,False,False,2024-09-14,2025-05-17,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/historico/guias_2020/node/101293.html,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,14,False,False,False,True,False,False,False,False,2024-12-21,2025-05-24,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/historico/guias_2021/node/117390.html,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,12,False,False,False,True,False,False,False,False,2024-12-17,2025-05-24,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/historico/guias_2022/node/142081.html,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,12,False,False,False,True,False,False,False,False,2024-12-21,2025-05-26,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/101293,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,15,False,False,False,True,False,False,False,False,2024-09-05,2025-05-27,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/117390,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,13,False,False,False,True,False,False,False,False,2024-09-07,2025-05-23,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/142081,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,13,False,False,False,True,False,False,False,False,2024-09-07,2025-05-21,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/168138,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,13,False,False,False,True,False,False,False,False,2024-09-07,2025-05-25,False,False
15,GESTIÓN Y APROVECHAMIENTO DE RESIDUOS | guias.usal.es,https://guias.usal.es/node/224035,http://protectingwater.com/agriculture.html,http://protectingwater.com/agriculture.html,28,13,False,False,False,True,False,False,False,False,2025-05-08,2025-05-25,True,False
15,Top 33 Similar websites like foodsecurity.ac.uk and alternatives,https://www.sitelike.org/similar/foodsecurity.ac.uk/,https://www.protectingwater.com/,protectingwater.com,34,55,True,False,False,False,False,False,True,False,2024-09-22,2025-01-20,False,True
14,Lets talk trash - Page 2 - Food Traditions & Culture - eGullet Forums,https://forums.egullet.org/topic/60020-lets-talk-trash/page/2/,http://protectingwater.com/storm-drains.html,http://protectingwater.com/storm-drains.html,9,82,True,False,False,True,False,False,False,False,2024-08-27,2025-03-26,False,False
13,How to green your garage | Grist,https://grist.org/article/drive-in-groovy/,http://protectingwater.com/automobile.html,oil runoff,52,89,False,False,False,True,False,False,False,False,2024-09-26,2025-05-11,False,False
12,Mitigating Construction Waste Pollution for Environmental Sustainability: An Integrated Approach | Academia Open,https://acopen.umsida.ac.id/index.php/acopen/article/view/7861,https://protectingwater.com/urban.html,https://protectingwater.com/urban.html,15,50,False,False,False,True,False,False,False,False,2024-08-29,2025-05-24,False,False
12,Quia - Class Page - Mr. Geary- Science 8,https://www.quia.com/pages/tgeary.html,http://www.protectingwater.com/,water part 1,13,69,False,False,False,True,False,False,False,False,2024-11-10,2025-04-10,False,False
11,Where's Aloha Stadium? - Page 2 - The Microsoft Flight (2012) Forum - The AVSIM Community,https://www.avsim.com/forums/topic/365339-wheres-aloha-stadium/page/2/,http://protectingwater.com/salt_lake_watershed.html,Salt Lake,6,90,False,False,False,True,False,False,False,False,2024-12-16,2025-03-14,False,False
