Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,Someday Productions Pillow Talking (somedayproducti) - Profile | Pinterest,https://www.pinterest.com/somedayproducti/,http://somedayprods.com/,somedayprods.com ; Opens a new tab,1,16,False,False,False,True,False,False,False,False,2023-06-26,2025-05-19,False,False
5,user/medialawman,https://rdrama.net/archives/user/medialawman.html,http://somedayprods.com/talking/cuckoosnest/,Pillow Talking's review of revival of One Flew Over the Cuckoo's Nest,2,8,False,False,False,True,False,False,False,False,2024-04-29,2025-01-26,False,False
8,Artistic Statement | New Play Exchange,https://newplayexchange.org/user/38975/artistic-statement,https://somedayprods.com/talking/,https://somedayprods.com/talking/,3,11,False,False,False,True,False,False,False,False,2024-08-29,2024-12-27,False,False
5,Green Steel by luicifers wife,https://theotaku.com/mobpapers/view/5536/green_steel,http://somedayprods.com/talking/wp-content/uploads/2015/10/Peter-Steele-Photo.jpg,X,5,35,False,False,False,True,False,False,False,False,2024-05-23,2025-04-13,False,False
7,10 Things You Didn’t Know about Constantine Maroulis - TVovermind,https://tvovermind.com/constantine-maroulis/,http://somedayprods.com/talking/pillow-talkings-interview-with-constantine-maroulis/,an interview,6,88,False,False,False,True,False,False,False,False,2024-02-24,2025-05-12,False,False
8,Read RENT Reviews here! - Ivoryton Playhouse,https://www.ivorytonplayhouse.org/13337-2,http://somedayprods.com/talking/pillow-talkings-review-of-rent/,http://somedayprods.com/talking/pillow-talkings-review-of-rent/,6,210,False,False,False,True,False,False,False,False,2024-04-17,2025-05-03,False,False
20,Patrick Clanton - Home,http://patrickclanton.weebly.com/,http://somedayprods.com/talking/pillow-talkings-review-of-rent/,Full Review,8,9,False,False,False,True,False,False,False,False,2024-08-15,2025-03-16,False,False
21,"Paxton Whitehead, actor who found comedy in stuffy roles, dies at 85 - The Washington Post",https://www.washingtonpost.com/obituaries/2023/06/21/paxton-whitehead-actor-dies/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,interview,8,10,False,False,False,True,False,False,False,False,2024-07-25,2025-04-28,False,False
15,Female Empowerment Meets The Horror Genre Face-To-Face in SEE EVIL,https://www.broadwayworld.com/connecticut/article/Female-Empowerment-Meets-The-Horror-Genre-Face-To-Face-in-SEE-EVIL-20181031,http://www.somedayprods.com/talking,www.somedayprods.com/talking,9,277,False,False,False,True,False,False,False,False,2023-12-30,2025-04-12,False,False
7,‘Friends’ Actor Paxton Whitehead Dies Aged 85,https://vt.co/entertainment/friends-actor-paxton-whitehead-dies-85,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,2017 interview,9,23,False,False,False,True,False,False,False,False,2024-08-19,2024-12-07,False,False
22,Wayne J. Keeley (Author of Mahogany Row),https://www.goodreads.com/author/show/761239.Wayne_J_Keeley,http://www.somedayprods.com/talking,http://www.somedayprods.com/talking,12,215,False,False,False,True,False,False,False,False,2023-12-21,2025-05-16,False,False
14,Why Kate Egan From Power Looks So Familiar,https://www.looper.com/1036930/why-kate-egan-from-power-looks-so-familiar/,https://somedayprods.com/talking/pillow-talkings-interview-with-patricia-kalember/,Someday Productions,13,55,False,False,False,True,False,False,False,False,2024-02-08,2025-05-19,False,False
9,"Carrie Underwood Set for CMT Awards, Nick Fradiani, Trent Harmon",https://www.mjsbigblog.com/carrie-underwood-set-for-cmt-awards-nick-fradiani-trent-harmon.htm,http://somedayprods.com/talking/pillow-talkings-interview-with-american-idols-nick-fradiani/,SomedayProds.com,16,78,False,False,False,True,False,False,False,False,2024-08-10,2025-05-04,False,False
8,Vintage Rock N Roll Band | The Slippery Chickens,https://www.theslipperychickens.com/,http://somedayprods.com/talking/pillow-talkings-review-of-get-your-head-in-the-game-cd/,"Rick Tedesco, Someday Productions LLC and Pillow Talking",23,13,False,False,False,True,False,False,False,False,2024-01-14,2025-04-27,False,False
19,Paxton Whitehead Dies: 'Friends' & 'Mad About You' Actor Was 85,https://www.tvinsider.com/1096679/paxton-whitehead-dead-friends-mad-about-you-frasier/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,Somedayprods.com,25,155,False,False,False,True,False,False,False,False,2024-07-26,2025-05-18,False,False
7,Main Stage Series: Nunsense,https://playhouseonpark.org/web2/Season11_20192020/mainstage_Nunsense.html,https://somedayprods.com/talking/pillow-talkings-review-of-nunsense/,Pillow Talking,29,36,False,False,False,True,False,False,False,False,2024-04-22,2025-05-09,False,False
24,Anastasia at Hartford Stage - Hartford Stage,https://www.hartfordstage.org/anastasia,http://somedayprods.com/talking/pillow-talkings-interview-with-terrence-mcnally/,Pillow Talking: Interview with Terrence McNally,29,87,False,False,False,True,False,False,False,False,2024-05-13,2025-05-11,False,False
15,"Paxton Whitehead, Broadway actor and 'Mad About You' regular, dies at 85, reports say | LiveNOW from FOX",https://www.livenowfox.com/news/paxton-whitehead-broadway-actor-dies-reports,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,an interview published in 2017,30,96,False,False,False,True,False,False,False,False,2024-07-26,2025-05-21,False,False
8,Did You Hear … ? | NewCanaanite.com,https://newcanaanite.com/did-you-hear-65-35983,http://somedayprods.com/talking/pillow-talkings-review-of-other-desert-cities/,Click here to read,32,118,False,False,False,True,False,False,False,False,2024-04-10,2025-05-23,False,False
5,"Cassidy Freeman (Longmire) Wiki Bio, net worth, height, married, siblings",https://affairpost.com/cassidy-freeman-longmire-wiki-bio-net-worth-height-married-siblings/,http://somedayprods.com/talking/wp-content/uploads/2016/02/CF11.jpg,Cassidy Freeman,33,41,False,False,False,True,False,False,False,False,2024-02-05,2024-12-05,False,False
18,"Bethel, CT Local Directory and Listings | Patch",https://abe.patch.com/connecticut/bethel/directory,http://somedayprods.com/talking/category/the-history-of-everything-fka-kissy-cousins/,Film's website,35,111,False,False,False,True,False,False,False,False,2023-12-05,2025-01-17,False,True
30,Actor Paxton Whitehead dead at 85,https://nypost.com/2023/06/20/actor-paxton-whitehead-dead-at-85/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,Whitehead spoke about,35,140,False,False,False,True,False,False,False,False,2024-09-25,2025-04-09,False,False
20,Grand Funk Railroad news,https://www.grandfunkrailroad.com/news.html,http://somedayprods.com/talking/pillow-talkings-interview-with-don-brewer-of-grand-funk-railroad/,Someday Productions,39,20,False,False,False,False,False,False,True,False,2023-09-15,2025-04-23,False,False
7,Anastasia on Broadway - Page 3 · DVDizzy Forum,https://dvdizzy.com/forum/viewtopic.php?start=40&t=29876,http://somedayprods.com/talking/pillow-talkings-interview-with-darko-tresnjak/,http://somedayprods.com/talking/pillow- ... -tresnjak/,41,26,False,False,False,True,False,False,False,False,2023-12-01,2025-02-24,False,False
8,Special Guests Announced! | Legendary Rhythm & Blues Cruise,https://bluescruise.com/special-guests-announced/,http://somedayprods.com/talking/pillow-talkings-interview-with-paul-nelson/,Paul Nelson,49,55,False,False,False,True,False,False,False,False,2024-04-29,2025-04-14,False,False
13,We've Already Lost Too Many Friends Actors,https://www.nickiswift.com/397186/weve-already-lost-too-many-friends-actors/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,Pillow Talking,53,29,False,False,False,True,False,False,False,False,2024-08-07,2025-05-27,False,False
