Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link,Main Domain
22,Harvard Club of San Diego,https://hcsandiego.clubs.harvard.edu/article.html?aid=458,http://www.godblessrareform.com/,http://www.godblessrareform.com/,4,32,False,False,False,True,False,False,False,False,2024-07-05,2025-05-07,False,False,harvard.edu
21,7 reasons to visit San Diego now,https://www.nationalgeographic.com/travel/article/paid-content-top-reasons-to-visit-san-diego,http://www.godblessrareform.com/,Rare Form,88,17,False,False,False,True,False,False,False,False,2024-05-31,2025-05-05,False,False,nationalgeographic.com
21,"Hit the beach, paddle with dolphins, party on rooftops: 48 hours in San Diego – The Sun | The Sun",https://www.thesun.co.uk/living/1198008/hit-the-beach-paddle-with-dolphins-party-on-rooftops-48-hours-in-san-diego/,http://godblessrareform.com/,Rare Form,31,73,False,False,False,True,False,False,False,False,2024-10-29,2025-02-20,False,False,thesun.co.uk
20,8 bebidas de moda para el fin de semana | Delicioso | Univision,https://www.univision.com/estilo-de-vida/cocktails/8-bebidas-de-moda-para-el-fin-de-semana,http://www.godblessrareform.com/,Rare Form,24,64,False,False,False,True,False,False,False,False,2024-09-11,2025-04-21,False,False,univision.com
18,Boilermakers Are Back: Hipsters Want Their Beer-And-Shot Duo,https://www.thedailybeast.com/boilermakers-are-back-hipsters-want-their-beer-and-shot-duo/,http://godblessrareform.com/,Rare Form,16,55,False,False,False,True,False,False,False,False,2025-04-09,2025-04-09,True,False,thedailybeast.com
18,"Hit the beach, paddle with dolphins, party on rooftops: 48 hours in San Diego – The Irish Sun | The Irish Sun",https://www.thesun.ie/fabulous/1220444/hit-the-beach-paddle-with-dolphins-party-on-rooftops-48-hours-in-san-diego/,http://godblessrareform.com/,Rare Form,36,55,False,False,False,True,False,False,False,False,2024-09-27,2025-02-19,False,False,thesun.ie
17,The 10 Best Bars In Downtown San Diego,https://theculturetrip.com/north-america/usa/california/articles/the-10-best-bars-in-downtown-san-diego,http://godblessrareform.com/,Rare Form,23,53,False,False,False,True,False,False,False,False,2024-09-04,2024-12-19,False,False,theculturetrip.com
16,Local Favorites in San Diego's East Village,https://blog.sandiego.org/2016/06/local-favorites-east-village/,http://www.godblessrareform.com/,> Find out more about Rare Form & Fairweather,20,21,False,False,False,True,False,False,False,False,2024-10-13,2025-05-07,False,False,sandiego.org
16,Dining Hot News Fall 2014,https://www.sandiego.org/press/press-releases/2014/dining-hot-news-fall-2014.aspx,http://www.godblessrareform.com/,Rare Form,38,189,False,False,False,True,False,False,False,False,2024-10-21,2025-05-05,False,False,sandiego.org
16,"The Dish: vegan donuts, wine awards – San Diego Union-Tribune",https://www.sandiegouniontribune.com/2015/04/06/the-dish-vegan-donuts-wine-awards/,https://godblessrareform.com/,godblessrareform.com,52,171,False,False,False,True,False,False,False,False,2024-08-03,2025-03-19,False,False,sandiegouniontribune.com
