Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,First seen,Last seen,New link,Lost link,Referring Domain
25,Dr. Brandon M. Welch | Telehealth Success | Forbes Books,https://books.forbes.com/authors/dr-brandon-m-welch/,https://itrunsinmyfamily.com/,,16,74,False,False,False,True,False,False,False,2024-10-31,2025-04-12,False,False,books.forbes.com
20,Relative Risk for Alzheimer Disease Is Multigenerational,https://www.medscape.com/viewarticle/910441,https://itrunsinmyfamily.com/,Itrunsinmyfamily.com,15,81,False,False,False,True,False,False,False,2024-10-05,2025-03-25,False,False,medscape.com
19,"Your Genome Guardian, Elephants and Outwitting Childhood Cancer - Algorithms for Innovation",https://algorithms.utah.edu/blog/2015/schiffmanelephants.1215.php,http://www.itrunsinmyfamily.com/,ItRunsInMyFamily.com,3,15,False,False,False,True,False,False,False,2024-06-25,2025-04-25,False,False,algorithms.utah.edu
19,Evaluation and comparison of hereditary Cancer guidelines in the population | Hereditary Cancer in Clinical Practice | Full Text,https://hccpjournal.biomedcentral.com/articles/10.1186/s13053-021-00188-9,http://itrunsinmyfamily.com/,ItRunsInMyFamily.com,102,84,False,False,False,True,False,False,False,2024-09-19,2025-04-26,False,False,hccpjournal.biomedcentral.com
19,Obtaining An Accurate Family Health History is Crucial | University of Utah Health,https://healthcare.utah.edu/the-scope/all/2015/11/obtaining-accurate-family-health-history-crucial,http://www.itrunsinmyfamily.com/,tools,8,56,False,False,False,True,False,False,False,2024-09-08,2025-04-14,False,False,healthcare.utah.edu
19,BMI Student Wins Prize in Utah Entrepreneur Challenge | Biomedical Informatics | U of U School of Medicine,https://medicine.utah.edu/dbmi/news/2014/03/bmi-student-wins-prize-utah-entrepreneur-challenge,http://itrunsinmyfamily.com/,ItRunsInmyFamily.com,8,75,False,False,False,True,False,False,False,2024-07-17,2025-04-29,False,False,medicine.utah.edu
19,"Your Genome Guardian, Elephants and Outwitting Childhood Cancer | University of Utah Health | University of Utah Health",https://uofuhealth.utah.edu/innovation/news/2015/12/your-genome-guardian-elephants-and-outwitting-childhood-cancer,http://www.itrunsinmyfamily.com/,ItRunsInMyFamily.com,1,44,False,False,False,True,False,False,False,2024-10-03,2025-04-27,False,False,uofuhealth.utah.edu
19,Information and Resources for the General Public - MN Dept. of Health,https://www.health.state.mn.us/people/childrenyouth/cyshn/public.html,http://www.itrunsinmyfamily.com/,It Runs In My Family Toolkit,16,32,False,False,False,True,False,False,False,2024-01-07,2024-11-29,False,True,health.state.mn.us
19,How to Do a Family Medical History,https://www.vice.com/en/article/how-to-do-a-family-medical-history/,http://itrunsinmyfamily.com/,ItRunsInMyFamily.com,14,81,False,False,False,True,False,False,False,2024-09-20,2025-03-31,False,False,vice.com
18,Family History - Lynch Syndrome International,https://lynchcancers.com/lynch-syndrome/family-history/,http://www.itrunsinmyfamily.com/,Family History tool,10,61,False,False,False,True,False,False,False,2024-09-25,2025-04-21,False,False,lynchcancers.com
16,"AI tool studied as way to provide cancer risk assessment in low-resource communities | MUSC | Charleston, SC",https://web.musc.edu/about/news-center/2020/02/04/artificial-intelligence-for-cancer-risks,https://itrunsinmyfamily.com/,ItRunsInMyFamily.com,50,534,False,False,False,True,False,False,False,2024-06-25,2025-05-01,False,False,web.musc.edu
16,"AI tool studied as way to provide cancer risk assessment in low-resource communities | MUSC | Charleston, SC",https://web.musc.edu/about/news-center/2020/02/04/artificial-intelligence-for-cancer-risks,https://itrunsinmyfamily.com/,ItRunsInMyFamily,50,534,False,False,False,True,False,False,False,2024-06-25,2025-05-01,False,False,web.musc.edu
15,$50K DNA Innovation Contest ’18 | Grow Utah,http://www.growutah.com/centrum/dna,https://www.itrunsinmyfamily.com/,www.itrunsinmyfamily.com,14,33,False,False,False,True,False,False,False,2024-06-07,2024-12-13,False,False,growutah.com
15,$50K DNA Innovation Contest ’18 | Grow Utah,http://www.growutah.com/centrum/dna,http://www.itrunsinmyfamily.com/,RUNNER-UP: ItRunsInMyFamily,14,33,False,False,False,True,False,False,False,2024-06-07,2024-12-13,False,False,growutah.com
15,Discussing and managing hematologic germ line variants | Blood | American Society of Hematology,https://ashpublications.org/blood/article/128/21/2497/35710/Discussing-and-managing-hematologic-germ-line,http://itrunsinmyfamily.com/,ItRunsInMyFamily.com,179,102,False,False,False,True,False,False,False,2025-02-02,2025-04-28,False,False,ashpublications.org
15,"Researcher uses social networking, AI to fight cancer | MUSC Research",https://research.musc.edu/stories/news/2017/02/17/social-networking-to-fight-cancer,https://itrunsinmyfamily.com/,ItRunsInMyFamily.com,40,304,False,False,False,True,False,False,False,2024-05-23,2025-05-02,False,False,research.musc.edu
15,"Our Start Ups | MUSC | Charleston, SC",https://web.musc.edu/innovation/start-ups/our-start-ups,https://itrunsinmyfamily.com/,ItRunsInMyFamily Website,67,542,False,False,False,True,False,False,False,2024-07-18,2025-04-26,False,False,web.musc.edu
14,21 Genealogy and Family Tree Apps for Research On-the-Go,https://familytreemagazine.com/resources/apps/family-tree-apps/,https://itrunsinmyfamily.com/,14. ItRunsInMyFamily,39,145,False,False,False,True,False,False,False,2022-07-08,2025-02-03,False,True,familytreemagazine.com
14,Obtaining An Accurate Family Health History is Crucial - HSC MediaSpace,https://hsc.mediaspace.kaltura.com/media/t/0_k2tth2vm,http://www.itrunsinmyfamily.com/,tools,3,272,False,False,False,True,False,False,False,2024-05-24,2025-04-29,False,False,hsc.mediaspace.kaltura.com
12,Comparing models of delivery for cancer genetics services among patients receiving primary care who meet criteria for genetic evaluation in two healthcare systems: BRIDGE randomized controlled trial | BMC Health Services Research | Full Text,https://0-bmchealthservres-biomedcentral-com.brum.beds.ac.uk/articles/10.1186/s12913-021-06489-y,http://itrunsinmyfamily.com/,ItRunsInMyFamily.com,66,771,False,False,False,True,False,False,False,2023-11-06,2025-04-04,False,False,0-bmchealthservres-biomedcentral-com.brum.beds.ac.uk
