Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,First seen,Last seen,New link,Lost link,Referring Domain
48,sg-itc,https://sg-itc.blogspot.com/,https://letzdesign.com/,letzdesign,50165,3,True,False,False,True,False,False,False,2024-08-20,2025-05-03,False,False,sg-itc.blogspot.com
38,Letz Design Landscape (letzdesignlandscape) - Profile | Pinterest,https://www.pinterest.com/letzdesignlandscape/,http://www.letzdesign.com/,letzdesign.com,1,9,True,False,False,True,False,False,False,2024-06-10,2024-12-06,False,True,pinterest.com
34,sg-itc,https://sg-itc.blogspot.com/files/textes/droits_usage.html,https://letzdesign.com/,letzdesign,50165,5,True,False,False,True,False,False,False,2024-12-18,2024-12-18,False,False,sg-itc.blogspot.com
31,sg-itc,https://sg-itc.blogspot.com/%C2%A0,https://letzdesign.com/,letzdesign,50165,4,True,False,False,True,False,False,False,2024-11-26,2025-04-14,False,False,sg-itc.blogspot.com
26,Letz Design Landscape (letzdesignlandscape) - Profile | Pinterest,https://www.pinterest.com/letzdesignlandscape/,http://www.letzdesign.com/,letzdesign.com ; Opens a new tab,1,6,False,False,False,True,False,False,False,2023-10-02,2025-03-27,False,False,pinterest.com
24,Purple+Tree - Search Images,https://akam.bing.com/images/search?q=Purple%2BTree&qft,https://letzdesign.com/2014/03/12/purple-tree-san-diego/,letzdesign.com,35,328,False,False,False,True,False,False,False,2024-03-20,2025-01-31,False,True,akam.bing.com
23,Purple+Trees - Search Images,https://akam.bing.com/images/search?FORM=FRSIRP&q=Purple%2BTrees,https://letzdesign.com/2014/03/12/purple-tree-san-diego/,letzdesign.com,42,410,False,False,False,True,False,False,False,2024-08-31,2024-11-26,False,False,akam.bing.com
23,Purple+Tree - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRFLTR&q=Purple%2BTree&qft,https://letzdesign.com/2014/03/12/purple-tree-san-diego/,letzdesign.com,37,169,False,False,False,True,False,False,False,2024-11-09,2024-11-09,False,False,akam.bing.com
23,Purple+Trees - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRFLTR&q=Purple%2BTrees&qft,https://letzdesign.com/2014/03/12/purple-tree-san-diego/,letzdesign.com,38,164,False,False,False,True,False,False,False,2024-09-12,2024-12-08,False,False,akam.bing.com
23,gogero - Search Images,https://www.bing.com/images/results.aspx?q=gogero,https://letzdesign.com/2014/07/22/gopher-issues-san-diego-landscapes/,letzdesign.com,40,172,False,False,False,True,False,False,False,2024-12-01,2025-03-28,False,True,bing.com
22,sg-itc,https://sg-itc.blogspot.com/hot/,https://letzdesign.com/,letzdesign,50165,4,True,False,False,True,False,False,False,2024-07-09,2025-03-27,False,False,sg-itc.blogspot.com
22,g0lear - Search Images,https://www.bing.com/images/results.aspx?q=g0lear,https://letzdesign.com/2014/07/22/gopher-issues-san-diego-landscapes/,letzdesign.com,42,171,False,False,False,True,False,False,False,2025-01-15,2025-02-27,False,True,bing.com
