Back to Summary,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link,Domain Backlinks,Referring Domain,Age
61,George Monbiot - Wikipedia,https://en.wikipedia.org/wiki/George_Monbiot,https://profilecritics.com/content/review/Regenesis,Review of Regenesis,146,518,True,False,False,True,False,False,False,False,2024-01-30,2025-04-24,False,False,1,en.wikipedia.org,455
23,"Author John Gorman | Instagram, Facebook | Linktree",https://linktr.ee/johngorman12,https://profilecritics.com/book/QMwTNMDTTOxTN/interview,Interview with John Gorman on Profile Critics,17,0,False,False,False,False,False,False,True,False,2024-04-06,2025-03-19,False,False,1,linktr.ee,388
17,Blood Brothers – Page 5 – Samantha Evans–Author,https://samanthaevansauthor.home.blog/category/blood-brothers/page/5/,https://profilecritics.com/book/DEDQDNwcwMDIN/interview,https://profilecritics.com/book/DEDQDNwcwMDIN/interview,29,58,True,False,False,True,False,False,False,False,2024-12-26,2025-03-18,False,False,1,samanthaevansauthor.home.blog,124
16,Irish author wrote a note explaining why he can't use 'American English' - Scoop Upworthy,https://scoop.upworthy.com/irish-author-wrote-a-note-explaining-why-he-cant-use-american-english,https://profilecritics.com/book/DDNNjjMUUNMMI/interview,Profile Critics,22,24,True,False,False,True,False,False,False,False,2024-01-06,2025-04-28,False,False,1,scoop.upworthy.com,479
13,Путеводитель по книгам Тесс Герритсен | Все детективы автора,https://azbooka.ru/articles/putevoditel-po-knigam-tess-gerritsen,https://profilecritics.com/content/interview/tess-gerritsen-queen-of-romantic-suspense,признается,23,120,False,False,False,True,False,False,False,False,2024-01-27,2025-04-27,False,False,1,azbooka.ru,458
13,profilecritics.com SEO Report | SEO Site Checkup,https://seositecheckup.com/seo-audit/profilecritics.com,https://www.profilecritics.com/,https://www.profilecritics.com,11,22,False,False,False,True,False,False,False,False,2024-01-31,2025-04-15,False,False,1,seositecheckup.com,454
11,[Promotion] Profile | Absolute Write Water Cooler,https://absolutewrite.com/forums/index.php?threads%2Fpromotion-profile.342887%2F,https://profilecritics.com/register,https://profilecritics.com/register,5,48,True,False,True,True,False,False,False,False,2024-01-29,2025-03-15,False,False,1,absolutewrite.com,456
11,jimiflan writes – homepage for jimiflan's writing,https://jimiflanwrites.wordpress.com/,https://profilecritics.com/book/gwQ11zDzMwIMO/interview?ref=browse,Profile about GENEFIRE,79,3,False,False,False,True,False,False,False,False,2024-06-14,2025-01-05,False,False,1,jimiflanwrites.wordpress.com,319
11,Home Page - Words With My Father,https://wordswithmyfather.com/,https://profilecritics.com/book/wIzMzzwTNTIMM/interview,Profile Critics,45,23,False,False,False,True,False,False,False,False,2025-01-11,2025-04-09,False,True,1,wordswithmyfather.com,108
10,Interview with Profile Critics | Bernard Cornwell,https://www.bernardcornwell.net/interview-with-profile-critics/,https://profilecritics.com/content/interview/Bernard_Cornwell,https://profilecritics.com/content/interview/Bernard_Cornwell,1,28,False,False,False,True,False,False,False,False,2023-12-29,2025-04-23,False,False,1,bernardcornwell.net,487
9,Cal Flyn - Wikipedia,https://wiki.alquds.edu/?query=Cal_Flyn,https://profilecritics.com/content/review/Islands_of_Abandonment,"""Surrendering Control, Review by: Profile Editorial Team""",75,141,True,False,False,True,False,False,False,False,2023-10-07,2024-10-04,False,True,1,wiki.alquds.edu,570
8,Biography:George Monbiot - HandWiki,https://handwiki.org/wiki/Biography:George_Monbiot,https://profilecritics.com/content/review/Regenesis,Review of Regenesis,141,270,True,False,False,True,False,False,False,False,2024-01-05,2025-04-25,False,False,1,handwiki.org,480
8,Ovçunun intiqamı | Obastan / Viki,https://obastan.com/wiki/Ov%C3%A7unun_intiqam%C4%B1,https://profilecritics.com/content/interview/Kevin_Wignall_Profile,Interview with author Kevin Wignall,18,46,True,False,False,True,False,False,False,False,2025-01-16,2025-03-16,False,False,1,obastan.com,103
8,Features,https://www.newsbiscuit.com/all-news/categories/features,https://profilecritics.com/,Profile Critics,22,31,False,False,False,True,False,False,False,False,2025-02-08,2025-02-18,False,True,1,newsbiscuit.com,80
7,Experimental Page -George Monbiot - Wikipedia,https://en.wiki.x.io/wiki/George_Monbiot,https://profilecritics.com/content/review/Regenesis,Review of Regenesis,144,506,True,False,False,True,False,False,False,False,2024-04-06,2025-01-03,False,False,1,en.wiki.x.io,388
7,"Slow Horses Reviews, Discussion Questions and Links",https://www.bookcompanion.com/slow_horses_links.html,https://profilecritics.com/book/DUNyDyIUyyONM/interview,Author Interview,8,15,False,False,False,True,False,False,False,False,2024-08-08,2025-03-30,False,False,1,bookcompanion.com,264
7,Business Idea? | Kindle Forum,https://www.kboards.com/threads/business-idea.318791/,https://profilecritics.com/book/50Ez0MNwjzDIM,https://profilecritics.com/book/50Ez0MNwjzDIM,23,118,True,False,True,True,False,False,False,False,2024-01-18,2025-03-24,False,True,1,kboards.com,467
6,koosverkaik.com,https://koosverkaik.com/,https://profilecritics.com/book/NxxMTDTMIjTNM/interview?ref=browse,Koos Verkaik about his new novel Nicolaes Nimbus,190,16,False,False,False,True,False,False,False,False,2023-11-04,2025-02-02,False,True,1,koosverkaik.com,542
