BACKLINK ANALYSIS SUMMARY,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DOMAIN ANALYSIS,,,,,,,,,
Domain,Everything backlinks,Quality backlinks,Everything backlinks/Quality backlinks ratio,Everything domains,Quality domains,Everything domains/Quality domains ratio,,,
,0,0,0,0,0,0,,,
,0,0,0,0,0,0,,,
,0,0,0,0,0,0,,,
,0,0,0,0,0,0,,,
,0,0,0,0,0,0,,,
,0,0,0,0,0,0,,,
,,,,,,,,,
,,,,,,,,,
CONTENT ANALYSIS,,,,,,,,,
Domains,Suspicious backlinks,Suspicious domains,Suspicious backlinks/Suspicious domains ratio,,,,,,
buzzdayz.com,6,6,100,,,,,,
converticulture.com,4,4,100,,,,,,
janofficial.com,1,1,100,,,,,,
socialwod.com,6,5,120,,,,,,
text2page.com,2,2,100,,,,,,
visualizeyourlearning.com,1,1,100,,,,,,
,,,,,,,,,
,,,,,,,,,
BACKLINK FRESHNESS SUMMARY,,,,,,,,,
Domain,Within Day,Within Week,Within Month,Over Month,Total,Within Day %,Within Week %,Within Month %,Over Month %
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0
,,,,,,,,,
,,,,,,,,,
NAVIGATION,,,,,,,,,
Domain,Everything,Quality,Suspicious,,,,,,
buzzdayz.com,1_buzzdayz.com_Everything,1_buzzdayz.com_Quality,1_buzzdayz.com_dodgy,,,,,,
converticulture.com,2_converticulture.com_Everything,2_converticulture.com_Quality,2_converticulture.com_dodgy,,,,,,
janofficial.com,3_janofficial.com_Everything,3_janofficial.com_Quality,3_janofficial.com_dodgy,,,,,,
socialwod.com,4_socialwod.com_Everything,4_socialwod.com_Quality,4_socialwod.com_dodgy,,,,,,
text2page.com,5_text2page.com_Everything,5_text2page.com_Quality,5_text2page.com_dodgy,,,,,,
visualizeyourlearning.com,6_visualizeyourlearning.com_Everything,6_visualizeyourlearning.com_Quality,6_visualizeyourlearning.com_dodgy,,,,,,
,,,,,,,,,
,,,,,,,,,
View Suspicious Content Analysis,,,,,,,,,
