Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
28,Guide to the 2016 Hamptons Party Social Circuit - The New York Times,https://www.nytimes.com/interactive/2016/05/25/fashion/Guide-to-the-2016-Hamptons-Party-Social-Circuit.html,https://blueskycollaborative.com/,hamptonspaddleforpink.org,26,20,false,false,false,true,false,false,false,false,2024-02-14,2025-01-27,false,true
24,Blue Sky Collaborative (peertopeerfundraising) - Profile | Pinterest,https://www.pinterest.com/peertopeerfundraising/,http://www.blueskycollaborative.com/,blueskycollaborative.com ; Opens a new tab,1,11,false,false,false,true,false,false,false,false,2023-10-28,2025-04-30,false,false
22,jogato - Search Images,https://www.bing.com/images/results.aspx?q=jogato,https://blueskycollaborative.com/virtual-school-jogathon/,blueskycollaborative.com,42,169,false,false,false,true,false,false,false,false,2024-09-13,2025-03-31,false,true
21,Bethenny Frankel breaks toe jumping out of bed | Page Six,https://pagesix.com/2015/08/05/bethenny-frankel-breaks-toe-jumping-out-of-bed/,https://blueskycollaborative.com/,benefiting the Breast Cancer Research Foundation,23,59,false,false,false,true,false,false,false,false,2023-12-27,2024-11-22,false,true
20,Lena Dunham 'Saved' By Pro Surfer During A Paddleboard Race | HuffPost Entertainment,https://www.huffpost.com/entry/lena-dunham-saved-by-laird-hamilton_n_55bfcd5ce4b0b23e3ce3a49b,https://blueskycollaborative.com/,Breast Cancer Research Foundation,18,93,false,false,false,true,false,false,false,false,2024-04-13,2024-12-01,false,true
20,Lena Dunham Stole Someone’s Underwear and Ran It Up a Flagpole,https://www.vulture.com/2015/08/lena-dunham-flagpoled-somebodys-underwear.html,https://blueskycollaborative.com/,Hamptons Paddle & Party for Pink,38,65,false,false,false,true,false,false,false,false,2024-02-27,2024-12-24,false,true
19,"Finding a Cure One Paddle at a Time, Finding a Cure One Paddle at a Time",https://magazine.wharton.upenn.edu/digital/finding-a-cure-one-paddle-at-a-time/,https://blueskycollaborative.com/,2013 Hamptons Paddle & Party for Pink,9,68,false,false,false,true,false,false,false,false,2021-08-08,2024-11-06,false,true
19,"Finding a Cure One Paddle at a Time, Finding a Cure One Paddle at a Time",https://magazine.wharton.upenn.edu/digital/finding-a-cure-one-paddle-at-a-time/,https://blueskycollaborative.com/,Hamptons Paddle & Party for Pink,9,68,false,false,false,true,false,false,false,false,2021-08-08,2024-11-06,false,true
19,"Finding a Cure One Paddle at a Time, Finding a Cure One Paddle at a Time",https://magazine.wharton.upenn.edu/digital/finding-a-cure-one-paddle-at-a-time/,https://blueskycollaborative.com/,here,9,68,false,false,false,true,false,false,false,false,2021-08-08,2024-11-06,false,true
19,Blue Sky Collaborative - Crunchbase Company Profile & Funding,https://www.crunchbase.com/organization/blue-sky-collaborative,http://www.blueskycollaborative.com/,www.blueskycollaborative.com,8,66,true,false,false,true,false,false,false,false,2024-11-06,2025-03-01,false,false
19,Hamptons Paddle and Party for Pink - Gwyneth Paltrow At The Hamptons Paddle and Party for Pink 2016,https://www.townandcountrymag.com/the-scene/parties/news/a7371/gwyneth-paltrow-paddle-for-pink/,https://blueskycollaborative.com/,Hamptons Paddle & Party for,18,41,false,false,false,true,false,false,false,false,2023-11-05,2024-12-30,false,true
18,,https://rocketreach.co/blue-sky-collaborative-llc-profile_b4595e36fc5d57bd,https://blueskycollaborative.com/,https://blueskycollaborative.com,9,76,true,false,false,true,false,false,false,false,2024-07-21,2025-03-16,false,false
