Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
15,🍎 Happy September!,https://myemail-api.constantcontact.com/---Happy-September-.html?aid=WrwQIF655TE&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,"Jet Blue Flight #1 To LAX"" and ""The Trigger",36,6,false,false,false,true,false,false,false,false,2024-05-22,2025-04-28,false,false
15,🍎 Happy September!,https://myemail-api.constantcontact.com/---Happy-September-.html?aid=WrwQIF655TE&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,"""",36,6,false,false,false,true,false,false,false,false,2024-05-22,2025-04-28,false,false
15,🍎 Happy September!,https://myemail.constantcontact.com/---Happy-September-.html?aid=WrwQIF655TE&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,"Jet Blue Flight #1 To LAX"" and ""The Trigger",36,6,false,false,false,true,false,false,false,false,2024-12-07,2025-03-20,false,false
15,🍎 Happy September!,https://myemail.constantcontact.com/---Happy-September-.html?aid=WrwQIF655TE&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,"""",36,6,false,false,false,true,false,false,false,false,2024-12-07,2025-03-20,false,false
15,Happy December!,https://myemail.constantcontact.com/Happy-December-.html?aid=VKRNRH9Eo-8&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,”,32,7,false,false,false,true,false,false,false,false,2025-01-26,2025-04-07,false,false
15,Happy December!,https://myemail.constantcontact.com/Happy-December-.html?aid=VKRNRH9Eo-8&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,Blue Flight #1 to LAX” and “The Trigger”,32,7,false,false,false,true,false,false,false,false,2025-01-26,2025-04-07,false,false
15,Happy December!,https://myemail.constantcontact.com/Happy-December-.html?aid=VKRNRH9Eo-8&soid=1116015425155,https://madnessmusepress.com/2020/08/10/two-poems-by-diana-raab/,,32,7,false,false,false,true,false,false,false,false,2025-01-26,2025-04-07,false,false
12,Paul – Page 2 – The Real Paul Jones,http://www.ibiblio.org/pjones/blog/author/paul/page/2/,https://madnessmusepress.com/weekly-poetry-page/,Madness Muse Press,259,91,false,false,false,true,false,false,false,false,2024-08-13,2025-02-05,false,false
12,The Real Paul Jones – Page 2 – Accept no substitutes,http://www.ibiblio.org/pjones/blog/page/2/,https://madnessmusepress.com/weekly-poetry-page/,Madness Muse Press,259,91,false,false,false,true,false,false,false,false,2024-06-02,2025-02-13,false,false
12,Paul – Page 2 – The Real Paul Jones,https://www.ibiblio.org/pjones/blog/author/paul/page/2/,https://madnessmusepress.com/weekly-poetry-page/,Madness Muse Press,259,91,false,false,false,true,false,false,false,false,2024-06-18,2025-04-01,false,false
12,General – Page 2 – The Real Paul Jones,https://www.ibiblio.org/pjones/blog/category/general/page/2/,https://madnessmusepress.com/weekly-poetry-page/,Madness Muse Press,285,93,false,false,false,true,false,false,false,false,2024-07-19,2025-04-01,false,false
