Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
17,Preventing Startup Suicide. Literally. | Entrepreneur,https://www.entrepreneur.com/leadership/preventing-startup-suicide-literally/271435,http://www.workingminds.org/,www.WorkingMinds.org,18,84,true,false,false,true,false,false,false,false,2024-04-23,2025-03-25,false,false
16,Improving the Mental Health of Your Employees,https://www.procore.com/jobsite/improving-the-mental-health-of-your-employees,https://www.workingminds.org/constructionguide.pdf,And more…,15,40,false,false,false,true,false,false,false,false,2024-07-07,2025-02-20,false,false
15,Depression and Suicide Prevention Resources | Stony Brook Medicine,https://www.stonybrookmedicine.edu/suicideprevention,http://www.workingminds.org/,WorkingMinds,43,40,false,false,false,true,false,false,false,false,2024-04-23,2025-05-07,false,false
14,A data science approach to identify previously unknown indicators that could lead to the prevention of suicide in USA - MedCrave online,https://medcraveonline.com/ICPJL/a-data-science-approach-to-identify-previously-unknown-indicators-that-could-lead-to-the-prevention-of-suicide-in-usa.html,http://www.workingminds.org/bottomline.html,The double bottom line impact . Working Minds; 2009.,20,91,false,false,false,true,false,false,false,false,2024-10-14,2025-04-27,false,false
12,Fire Fighter Suicide Prevention,https://cop.spcollege.edu/FFSP/resources.html,http://workingminds.org/ManagersGuidebook.pdf,A Manager’s Guide to Suicide Postvention in the Workplace 10 Action Steps for Dealing with the Aftermath of Suicide,31,11,false,false,false,true,false,false,false,false,2024-06-20,2025-02-21,false,true
12,AUSTRALIA: How to build a mentally healthy workplace – Suicide Prevention Resource Center,https://sprc.org/news/australia-how-to-build-a-mentally-healthy-workplace/,http://www.workingminds.org/,Working Minds,9,72,false,false,false,true,false,false,false,false,2023-09-02,2025-02-07,false,true
12,Suicide Prevention: A Health and Safety Priority for the Construction Industry – Suicide Prevention Resource Center,https://sprc.org/news/suicide-prevention-a-health-and-safety-priority-for-the-construction-industry%EF%BF%BC/,http://www.workingminds.org/constructionguide.pdf,Construction Industry Blueprint for Suicide Prevention,8,72,false,false,false,true,false,false,false,false,2023-10-11,2025-01-14,false,false
12,Employee Assistance Program | CHI St. Alexius Health,https://www.chistalexiushealth.org/services/employee-assistance-program,http://workingminds.org/,Working Minds - Suicide Prevention in the Workplace,102,95,false,false,false,true,false,false,false,false,2024-04-24,2025-05-13,false,false
11,Middle-Age Suicide - The Good Men Project,https://goodmenproject.com/featured-content/middle-age-suicide/,http://workingminds.org/,Working Minds,40,146,false,false,false,true,false,false,false,false,2024-06-28,2024-11-10,false,false
11,A hidden epidemic: How suicide prevention efforts can transform construction industry culture | Construction Dive,https://www.constructiondive.com/news/construction-industry-suicide-prevention/424738/,http://workingminds.org/,Working Minds,28,66,false,false,false,true,false,false,false,false,2024-06-14,2025-05-08,false,false
11,Suicide prevention - Spencer Foundation breaks through - KUVO,https://www.kuvo.org/suicide-prevention-spencer-foundation-breaks-through/,http://workingminds.org/,www.WorkingMinds.org,20,54,false,false,false,true,false,false,false,false,2024-07-13,2024-11-28,false,false
10,"A single question: Suicide preventable, mental health experts say | The Journal Record",https://journalrecord.com/2014/09/a-single-question-suicide-preventable-mental-health-experts-say-health-care/,http://www.workingminds.org/,Working Minds: Suicide Prevention in the Workplace,50,102,false,false,false,true,false,false,false,false,2024-11-01,2024-11-01,false,false
10,What Workplaces Can Do to Prevent Suicide | IndustryWeek,https://www.industryweek.com/talent/article/21947806/what-workplaces-can-do-to-prevent-suicide,http://www.workingminds.org/,Working Minds,31,26,false,false,false,true,false,false,false,false,2024-03-19,2025-05-13,false,false
10,Man Therapy™: Using Humor to Engage 'Double-Jeopardy' Men to Think About Mental Health in a Different Way - Page 2 of 3 - Psychiatry Advisor,https://www.psychiatryadvisor.com/features/man-therapy-using-humor-to-engage-double-jeopardy-men-to-think-about-mental-health-in-a-different-way/2/,http://www.workingminds.org/,www.WorkingMinds.org,40,36,false,false,false,true,false,false,false,false,2024-05-25,2025-05-12,false,false
10,"International Survivors of Suicide Day; Saturday, November 17th, 2012 - WellPower Mental and Behavioral Health Counseling Services",https://www.wellpower.org/blog/international-survivors-suicide-day-saturday-november-17th-2012/,http://www.workingminds.org/,www.WorkingMinds.org,18,100,false,false,false,true,false,false,false,false,2024-11-07,2025-05-11,false,false
9,2014 Impact Honors Award – Sally Spencer-Carson PsyD - Invisible Disabilities® Association,https://invisibledisabilities.org/award-recipients/2014-ida-honor-awards-recipients/2014-impact-honors-award-sally-spencer-carson-psyd-carson-j-spencer-foundation-suicide-prevention-and-education/,http://www.workingminds.org/,Working Minds,22,59,false,false,false,true,false,false,false,false,2023-08-03,2025-04-15,false,false
9,How To Establish a Mentally Healthy Corporate Culture,https://workology.com/incorporating-a-mentally-healthy-corporate-culture-in-your-workplace/,http://www.workingminds.org/,WorkingMinds.org,13,67,false,false,false,true,false,false,false,false,2024-04-24,2025-05-02,false,false
9,Reach Out and Save Lives During Suicide Prevention Week,https://workology.com/reach-out-and-save-lives-during-suicide-prevention-week/,http://workingminds.org/,WorkingMinds.org,16,68,false,false,false,true,false,false,false,false,2024-06-29,2025-04-26,false,false
8,A Blueprint for Suicide Prevention in the Construction Industry - LHSFNA,https://lhsfna.org/a-blueprint-for-suicide-prevention-in-the-construction-industry/,http://www.workingminds.org/constructionguide.pdf,A Construction Industry Blueprint: Suicide Prevention in the Workplace,16,29,false,false,false,true,false,false,false,false,2024-06-13,2025-05-09,false,false
8,Workplace Mental Health - How to Effectively Invest In Suicide Prevention,https://workplacementalhealth.org/mental-health-topics/suicide-prevention/how-to-effectively-invest-in-suicide-prevention,http://www.workingminds.org/,Working Minds website,15,92,false,false,false,true,false,false,false,false,2024-03-18,2025-04-03,false,true
8,Workplace Mental Health - How to Effectively Invest In Suicide Prevention,https://workplacementalhealth.org/mental-health-topics/suicide-prevention/how-to-effectively-invest-in-suicide-prevention,http://workingminds.org/index_hick.html,Working Minds,15,92,false,false,false,true,false,false,false,false,2024-03-18,2025-04-03,false,true
8,CBO at CFMA 2016: Insights on Construction Finance Trends,https://www.constructionbusinessowner.com/latest-blog-posts/cbo-road-cfma-2016,http://www.workingminds.org/,workingminds.org.,33,69,false,false,false,true,false,false,false,false,2024-03-15,2025-05-12,false,false
8,6 Things to Do to Prevent Suicides | Insurance Thought Leadership,https://www.insurancethoughtleadership.com/leadership/6-things-do-prevent-suicides,http://www.workingminds.org/images/Workplace_checklist.pdf,"""How Mentally Healthy is Your Workplace?""",25,102,false,false,false,true,false,false,false,false,2024-06-05,2025-04-26,false,false
8,6 Things to Do to Prevent Suicides | Insurance Thought Leadership,https://www.insurancethoughtleadership.com/leadership/6-things-do-prevent-suicides,http://www.workingminds.org/,WorkingMinds.org,25,102,false,false,false,true,false,false,false,false,2024-10-15,2025-04-26,false,false
8,Five Things Employers Need to Know About Mental Health | Insurance Thought Leadership,https://www.insurancethoughtleadership.com/life-health/five-things-employers-need-know-about-mental-health,https://www.workingminds.org/,WorkingMinds.org,18,84,false,false,false,true,false,false,false,false,2024-03-28,2025-04-27,false,false
8,Preventing Suicide in Working-Age Men | Insurance Thought Leadership,https://www.insurancethoughtleadership.com/life-health/preventing-suicide-working-age-men,http://workingminds.org/images/Workplace_checklist.pdf,here,13,86,false,false,false,true,false,false,false,false,2024-06-23,2025-05-05,false,false
