Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
18,Monkey Media House: How We Do It - Punch Newspapers,https://punchng.com/monkey-media-house-how-we-do-it/,http://www.akaycentric.com/,Akaycentric,26,82,false,false,false,true,false,false,false,false,2024-06-16,2025-04-16,false,false
16,Local artist looks to expand platform for Afrobeat & African music | KRON4,https://www.kron4.com/live-in-the-bay/local-artist-looks-to-expand-platform-for-afrobeat-african-music/,https://akaycentric.com/,Akaycentric,23,232,false,false,false,true,false,false,false,false,2024-04-19,2025-02-12,false,false
16,"MMH Records Frontliner, Akaycentric Premieres New Visuals Feat Patoranking - Music/Radio - Nigeria",https://www.nairaland.com/5154860/mmh-records-frontliner-akaycentric-premieres,https://www.akaycentric.com/,www.akaycentric.com,4,62,false,false,true,true,false,false,false,false,2024-07-04,2025-03-05,false,false
16,Aywire's Posts,https://www.nairaland.com/aywire/posts,https://www.akaycentric.com/,www.akaycentric.com,10,103,false,false,true,true,false,false,false,false,2024-10-05,2025-03-19,false,false
15,SXSW 2020 Schedule | Akaycentric,https://schedule.sxsw.com/2020/artists/2024450,https://akaycentric.com/,Official Website,13,23,false,false,false,true,false,false,false,false,2024-05-14,2025-05-03,false,false
15,SXSW 2020 Schedule | Akaycentric,https://schedule.sxsw.com/2020/events/MS51268,https://akaycentric.com/,Official Website,13,23,false,false,false,true,false,false,false,false,2024-12-10,2025-05-08,false,false
12,AKAYCENTRIC - EverybodyWiki Bios & Wiki,https://en.everybodywiki.com/AKAYCENTRIC,http://akaycentric.com/,akaycentric .com,32,126,true,false,false,true,false,false,false,false,2024-08-24,2025-01-13,false,false
12,AKAYCENTRIC - EverybodyWiki Bios & Wiki,https://en.everybodywiki.com/AKAYCENTRIC,http://akaycentric.com/gallery/myhot-party/,"""Lagos countdown 2014""",32,126,true,false,false,true,false,false,false,false,2024-09-21,2025-01-13,false,false
11,AKAYCENTRIC | Songtradr Profile,https://www.songtradr.com/akaycentric,http://www.akaycentric.com/,Other (Website),1,9,false,false,false,true,false,false,false,false,2024-06-08,2025-05-10,false,false
10,Meet Akinola Oshodi stage name AkayCentric’ – CanvasRebel Magazine,https://canvasrebel.com/meet-akinola-oshodi-stage-name-akaycentric/,http://www.akaycentric.com/,www.AkayCentric.com,6,27,false,false,false,true,false,false,false,false,2024-05-30,2025-03-26,false,false
