Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
45,"40 BEST Plant-Based Cranberry Recipes - Sharon Palmer, The Plant Powered Dietitian",https://sharonpalmer.com/40-plant-powered-cranberry-recipes/,https://www.biteofhealthnutrition.com/naturally-sweet-cranberry-apple-compote/,Orange Cranberry Apple Compote,47,48,true,false,false,true,false,false,false,false,2022-09-10,2025-05-08,false,false
23,"Flourless Chocolate Peanut Butter Muffins - Chef Julie Lopez, RD",https://chefjulierd.com/flourless-chocolate-peanut-butter-muffins/,http://biteofhealthnutrition.com/,Lauren,28,83,true,false,true,true,false,false,false,false,2023-04-23,2025-05-02,false,true
20,Slow Cooker Creamy Pumpkin Chicken,https://www.theleangreenbean.com/slow-cooker-creamy-pumpkin-chicken/,http://biteofhealthnutrition.com/,Lauren Sharifi,11,82,true,false,false,true,false,false,false,false,2024-04-04,2025-05-21,false,false
17,10 tips from nutrition experts to help kids eat healthy | KSL.com,https://www.ksl.com/article/45627492/10-tips-from-nutrition-experts-to-help-kids-eat-healthy,http://www.biteofhealthnutrition.com/,Bite of Health Nutrition,38,129,true,false,false,true,false,false,false,false,2024-04-26,2025-04-18,false,false
17,Learn to love vegetables by redefining 'healthy' and 'recipes' | KSL.com,https://www.ksl.com/article/45888759/learn-to-love-vegetables-by-redefining-healthy-and-recipes,http://www.biteofhealthnutrition.com/,Bite of Health Nutrition,43,121,true,false,false,true,false,false,false,false,2024-08-05,2025-04-17,false,false
17,Learn to love vegetables by redefining 'healthy' and 'recipes' | KSL.com,https://www.ksl.com/article/45888759/learn-to-love-vegetables-by-redefining-healthy-and-recipes,http://www.biteofhealthnutrition.com/slow-cooker-pesto-minestrone-soup/,Slow Cooker Pesto Minestrone Soup,43,121,true,false,false,true,false,false,false,false,2024-09-25,2025-04-17,false,false
16,"Mediterranean Bowl with Edamame and Quinoa - Sharon Palmer, The Plant Powered Dietitian",https://sharonpalmer.com/mediterranean-edamame-quinoa-bowl-vegan-gluten-free/,https://www.biteofhealthnutrition.com/healthy-one-dish-dinners/,45 Healthy One-Dish Dinners - Bite of Health Nutrition,30,68,true,false,true,true,false,false,false,false,2023-11-26,2025-03-08,false,true
16,Top 33 Similar websites like raisingrealmen.com and alternatives,https://www.sitelike.org/similar/raisingrealmen.com/,https://www.biteofhealthnutrition.com/,biteofhealthnutrition.com,34,55,true,false,false,false,false,false,true,false,2024-10-09,2025-02-06,false,true
15,7 Tailgating Foods That Are Touchdown Worthy,https://www.hercampus.com/school/utah/7-tailgating-foods-are-touchdown-worthy/,http://www.biteofhealthnutrition.com/twice-baked-cheesy-hummus-potato-bites/,Bite of Health Nutrition,53,592,true,false,false,true,false,false,false,false,2024-05-08,2025-03-23,false,false
14,Spiralized Potato Recipes | Spiralized Potato Waffle Nachos,https://potatogoodness.com/recipes/spiralized-potato-waffle-nachos-performance/,http://www.biteofhealthnutrition.com/spiralized-potato-waffle-nachos/,Visit Website,7,53,false,false,false,true,false,false,false,false,2023-01-13,2025-03-24,false,true
14,"Easy Soy Yogurt Berry Parfait - Sharon Palmer, The Plant Powered Dietitian",https://sharonpalmer.com/easy-berry-soy-yogurt-parfait-vegan-gluten-free/,https://www.biteofhealthnutrition.com/20-july-4th-recipes-to-make-with-your-kids/,20 July 4th Recipes to Make with Your Kids - Bite of Health Nutrition,16,61,true,false,true,true,false,false,false,false,2023-05-18,2025-05-23,false,false
14,Top 33 Similar websites like biteo.pl and alternatives,https://www.sitelike.org/similar/biteo.pl/,https://www.biteofhealthnutrition.com/,biteofhealthnutrition.com,34,55,true,false,false,false,false,false,true,false,2024-09-28,2025-01-26,false,true
14,Top 18 Similar websites like theprudentgarden.com and alternatives,https://www.sitelike.org/similar/theprudentgarden.com/,https://www.biteofhealthnutrition.com/,biteofhealthnutrition.com,19,40,true,false,false,false,false,false,true,false,2024-08-29,2024-12-28,false,true
13,Persian Pulled Chicken {Slow Cooker or Instant Pot},https://www.theleangreenbean.com/persian-pulled-chicken/,http://www.biteofhealthnutrition.com/vegetable-cheese-sheet-pan-eggs/,Vegetable and Cheese Sheet Pan Eggs,11,71,false,false,false,true,false,false,false,false,2024-07-22,2025-04-22,false,false
13,Persian Pulled Chicken {Slow Cooker or Instant Pot},https://www.theleangreenbean.com/persian-pulled-chicken/,http://www.biteofhealthnutrition.com/blender-peanut-butter-banana-oatmeal-bars/,Blender Peanut Butter Banana Oat Bars,11,71,false,false,false,true,false,false,false,false,2024-03-22,2025-04-22,false,false
