Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
29,Top 32 Similar websites like asm.gov.tr and alternatives,https://www.sitelike.org/similar/asm.gov.tr/,https://www.friscofried.biz/,friscofried.biz,6,80,true,false,false,false,false,false,true,false,2024-12-14,2025-04-09,false,true
22,"Salesforce Provides $10,000 Grants to San Francisco Small Businesses Still In Need of Support - Salesforce",https://www.salesforce.com/news/stories/salesforce-provides-10000-grants-to-san-francisco-small-businesses-still-in-need-of-support/,http://friscofried.biz/,Frisco Fried,186,71,false,false,false,true,false,false,false,false,2024-10-09,2025-05-06,false,false
22,"Salesforce Provides $10,000 Grants to San Francisco Small Businesses Still In Need of Support - Salesforce",https://www.salesforce.com/news/stories/salesforce-provides-10000-grants-to-san-francisco-small-businesses-still-in-need-of-support/,http://www.friscofried.biz/,Frisco Fried,186,71,false,false,false,true,false,false,false,false,2024-10-09,2025-05-06,false,false
20,"Frisco Fried, 5176 3rd Street, San Francisco, CA - Groupon",https://www.groupon.com/biz/san-francisco/frisco-fried,http://www.friscofried.biz/,www.friscofried.biz,8,264,true,false,false,true,false,false,false,false,2024-04-25,2025-04-02,false,true
20,"Frisco Fried, 5176 3rd Street, San Francisco, CA - Groupon",https://www.groupon.com/biz/san-francisco/frisco-fried,http://www.friscofried.biz/,http://www.friscofried.biz,9,263,false,false,false,true,false,false,false,false,2025-04-02,2025-04-02,false,false
20,"Frisco Fried, 5176 3rd Street, San Francisco, CA - Groupon",https://www.groupon.com/biz/san-francisco/frisco-fried,http://www.friscofried.biz/,Visit website,9,263,false,false,false,true,false,false,false,false,2025-04-02,2025-04-02,false,false
20,"Frisco Fried | Restaurants in San Francisco, San Francisco",https://www.timeout.com/san-francisco/restaurants/frisco-fried,http://www.friscofried.biz/,Website,8,70,false,false,false,true,false,false,false,false,2024-07-28,2025-05-01,false,false
19,Eat Drink Bayview | Eat.Think.Design.,https://innovate.studentorg.berkeley.edu/index.php/eat-drink-bayview/,http://www.friscofried.biz/,Frisco Fried,16,14,false,false,false,true,false,false,false,false,2024-03-12,2025-05-22,false,false
18,"Frisco Fried, S.F.: Crisp chicken from the fryer",https://www.sfgate.com/restaurants/bargainbites/article/Frisco-Fried-S-F-Crisp-chicken-from-the-fryer-2311847.php,http://www.friscofried.biz/,www.friscofried.biz,27,94,false,false,false,true,false,false,false,false,2024-02-11,2025-04-06,false,false
18,Top 66 Similar Sites Like friendsofhearstcastle.org | Best friendsofhearstcastle Alternatives & Reviews,https://www.sitelike.org/similar/friendsofhearstcastle.org/,https://www.friscofried.biz/,friscofried.biz,21,265,true,false,false,false,false,false,true,false,2024-12-16,2025-04-16,false,false
18,Top 30 similar sites like norcal.destinationhighways.com and norcal.destinationhighways alternatives,https://www.sitelike.org/similar/norcal.destinationhighways.com/,https://www.friscofried.biz/,friscofried.biz,7,136,true,false,false,false,false,false,true,false,2025-01-30,2025-01-30,false,false
18,Top 63 Similar Sites Like plutosfreshfood.com | Best plutosfreshfood Alternatives & Reviews,https://www.sitelike.org/similar/plutosfreshfood.com/,https://www.friscofried.biz/,friscofried.biz,23,251,true,false,false,false,false,false,true,false,2025-03-30,2025-03-30,false,false
18,Top 32 similar sites like thehse.com and thehse alternatives,https://www.sitelike.org/similar/thehse.com/,https://www.friscofried.biz/,friscofried.biz,20,131,true,false,false,false,false,false,true,false,2025-01-24,2025-01-24,false,false
18,The Best Cheap Eats In San Francisco 2014 | Tasting Table SF,https://www.tastingtable.com/689521/the-best-cheap-eats-in-san-francisco-2014/,http://www.friscofried.biz/,Frisco Fried,15,71,false,false,false,true,false,false,false,false,2024-01-31,2025-05-16,false,false
