Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
37,c# - Test parameterization in xUnit.net similar to NUnit - Stack Overflow,https://stackoverflow.com/questions/9110419/test-parameterization-in-xunit-net-similar-to-nunit,http://ikeptwalking.com/writing-data-driven-tests-using-xunit/,here,71,131,false,false,false,true,false,false,false,false,2025-01-13,2025-01-13,false,false
32,Design Patterns · GitHub,https://gist.github.com/danilobatistaqueiroz/861a03b63c10ce43af5af4d9f9fa1808,http://ikeptwalking.com/bridge-design-pattern-explained/,http://ikeptwalking.com/bridge-design-pattern-explained/,6,27,true,false,false,true,false,false,false,false,2024-12-07,2025-05-22,false,false
28,User NotAgain - Super User,https://superuser.com/users/236659/notagain,http://ikeptwalking.com/,ikeptwalking.com,51,42,true,false,false,true,false,false,false,false,2025-01-02,2025-01-02,false,false
25,EVS Analytics Dashboard Project Documents - EVS - LexEVS - NCI Wiki,https://wiki.nci.nih.gov/display/LexEVS/EVS+Analytics+Dashboard+Project+Documents,https://ikeptwalking.com/using-filebeat-to-ingest-apache-logs/,https://ikeptwalking.com/using-filebeat-to-ingest-apache-logs/,15,52,true,false,false,true,false,false,false,false,2024-09-06,2025-01-17,false,false
22,Just+Stop+Meme - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRIBIP&q=Just%2BStop%2BMeme,https://ikeptwalking.com/taking-elasticsearch-snapshots-using-curator/stop/,ikeptwalking.com,34,173,false,false,false,true,false,false,false,false,2024-09-14,2025-01-30,false,false
22,User NotAgain - Gardening & Landscaping Stack Exchange,https://gardening.stackexchange.com/users/14147/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,60,true,false,false,true,false,false,false,false,2024-12-19,2025-02-24,false,true
22,User NotAgain - Mathematics Educators Stack Exchange,https://matheducators.stackexchange.com/users/10619/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,55,true,false,false,true,false,false,false,false,2024-12-11,2025-03-04,false,true
22,User NotAgain - Parenting Stack Exchange,https://parenting.stackexchange.com/users/21277/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,53,true,false,false,true,false,false,false,false,2024-12-11,2025-02-20,false,true
22,User NotAgain - Photography Stack Exchange,https://photo.stackexchange.com/users/48833/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,54,true,false,false,true,false,false,false,false,2024-12-19,2025-05-13,false,true
21,User NotAgain - Gardening & Landscaping Meta Stack Exchange,https://gardening.meta.stackexchange.com/users/14147/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,51,true,false,false,true,false,false,false,false,2024-12-13,2025-04-10,false,true
21,User NotAgain - Travel Meta Stack Exchange,https://travel.meta.stackexchange.com/users/22506/notagain,http://ikeptwalking.com/,ikeptwalking.com,29,50,true,false,false,true,false,false,false,false,2024-12-15,2025-04-08,false,true
18,Top 71 Similar Sites Like elasticsearch-dsl.readthedocs.io | Best elasticsearch-dsl.readthedocs Alternatives & Reviews,https://www.sitelike.org/similar/elasticsearch-dsl.readthedocs.io/,https://www.ikeptwalking.com/,ikeptwalking.com,24,283,true,false,false,false,false,false,true,false,2025-04-30,2025-04-30,true,false
18,Top 73 Similar Sites Like elasticsearchtutorial.com | Best elasticsearchtutorial Alternatives & Reviews,https://www.sitelike.org/similar/elasticsearchtutorial.com/,https://www.ikeptwalking.com/,ikeptwalking.com,38,277,true,false,false,false,false,false,true,false,2025-04-12,2025-04-12,false,false
18,Top 47 Similar Sites Like fakeiteasy.github.io | Best fakeiteasy.github Alternatives & Reviews,https://www.sitelike.org/similar/fakeiteasy.github.io/,https://www.ikeptwalking.com/,ikeptwalking.com,9,202,true,false,false,false,false,false,true,false,2024-12-23,2025-04-22,false,false
18,Top 31 Similar Sites Like nivas.hr | Best nivas Alternatives & Reviews,https://www.sitelike.org/similar/nivas.hr/,https://www.ikeptwalking.com/,ikeptwalking.com,5,142,true,false,false,false,false,false,true,false,2025-03-11,2025-03-11,false,false
18,Top 49 Similar Sites Like z0z0.me | Best z0z0 Alternatives & Reviews,https://www.sitelike.org/similar/z0z0.me/,https://www.ikeptwalking.com/,ikeptwalking.com,11,208,true,false,false,false,false,false,true,false,2024-11-09,2025-03-09,false,false
