Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
53,Cassidy Freeman - Wikipedia,https://en.wikipedia.org/wiki/Cassidy_Freeman,http://somedayprods.com/talking/pillow-talkings-interview-with-actress-singer-musician-producer-cassidy-freeman/,"""Pillow Talking's Interview with Actress, Singer, Musician, Producer Cassidy Freeman""",49,212,true,false,false,true,false,false,false,false,2025-02-04,2025-03-30,false,true
53,Cassidy Freeman - Wikipedia,https://en.wikipedia.org/wiki/Cassidy_Freeman,http://somedayprods.com/talking/pillow-talkings-interview-with-actress-singer-musician-producer-cassidy-freeman/,"""Pillow Talking's Interview with Actress, Singer, Musician, Producer CASSIDY FREEMAN""",50,195,true,false,false,true,false,false,false,false,2024-02-24,2025-02-04,false,true
52,Cassidy Freeman - Wikipedia,https://en.wikipedia.org/wiki/Cassidy_Freeman,http://somedayprods.com/talking/pillow-talkings-interview-with-actress-singer-musician-producer-cassidy-freeman/,the original,54,198,true,false,false,true,false,false,false,false,2025-03-30,2025-03-30,false,false
48,"Paxton Whitehead Dead: Theater Veteran, 'Back to School' Actor Was 85",https://www.hollywoodreporter.com/tv/tv-news/paxton-whitehead-dead-theater-veteran-back-to-school-1235518889/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,2017 interview,63,129,true,false,false,true,false,false,false,false,2024-08-18,2025-04-03,false,false
46,Robert Patrick (playwright) - Wikipedia,https://en.wikipedia.org/wiki/Robert_Patrick_(playwright),http://somedayprods.com/talking/interview-with-playwright-robert-patrick-part-1/,"""Pillow Talking's interview with playwright Robert Patrick""",68,226,true,false,false,true,false,false,false,false,2023-12-26,2025-01-12,false,false
44,"Фримен, Кэссиди — Википедия","https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B8%D0%BC%D0%B5%D0%BD,_%D0%9A%D1%8D%D1%81%D1%81%D0%B8%D0%B4%D0%B8",http://somedayprods.com/talking/pillow-talkings-interview-with-actress-singer-musician-producer-cassidy-freeman/,"Pillow Talking's Interview with Actress, Singer, Musician, Producer CASSIDY FREEMAN",48,232,true,false,false,true,false,false,false,false,2024-04-24,2025-02-20,false,false
43,"Cassidy Freeman - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Cassidy_Freeman,http://somedayprods.com/talking/pillow-talkings-interview-with-actress-singer-musician-producer-cassidy-freeman/,el original,68,200,true,false,false,true,false,false,false,false,2025-04-13,2025-04-13,false,false
42,Patricia Kalember - Wikipedia,https://en.wikipedia.org/wiki/Patricia_Kalember,https://www.somedayprods.com/talking/pillow-talkings-interview-with-patricia-kalember,"""Pillow Talking's interview with Patricia Kalember""",25,164,true,false,false,true,false,false,false,false,2024-03-16,2025-04-09,false,false
36,Paul Nelson (musician) - Wikipedia,https://en.wikipedia.org/wiki/Paul_Nelson_(musician),http://somedayprods.com/talking/pillow-talkings-interview-with-paul-nelson/,Pillow Talking's Interview with Paul Nelson,49,359,true,false,false,true,false,false,false,false,2024-09-08,2025-02-13,false,false
30,Actor Paxton Whitehead dead at 85,https://nypost.com/2023/06/20/actor-paxton-whitehead-dead-at-85/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,Whitehead spoke about,35,140,false,false,false,true,false,false,false,false,2024-09-25,2025-04-09,false,false
24,Anastasia at Hartford Stage - Hartford Stage,https://www.hartfordstage.org/anastasia,http://somedayprods.com/talking/pillow-talkings-interview-with-terrence-mcnally/,Pillow Talking: Interview with Terrence McNally,29,87,false,false,false,true,false,false,false,false,2024-05-13,2025-05-11,false,false
24,Someday Productions Pillow Talking (somedayproducti) - Profile | Pinterest,https://www.pinterest.com/somedayproducti/,http://somedayprods.com/,somedayprods.com ; Opens a new tab,1,16,false,false,false,true,false,false,false,false,2023-06-26,2025-05-19,false,false
22,Wayne J. Keeley (Author of Mahogany Row),https://www.goodreads.com/author/show/761239.Wayne_J_Keeley,http://www.somedayprods.com/talking,http://www.somedayprods.com/talking,12,215,false,false,false,true,false,false,false,false,2023-12-21,2025-05-16,false,false
21,"Paxton Whitehead, actor who found comedy in stuffy roles, dies at 85 - The Washington Post",https://www.washingtonpost.com/obituaries/2023/06/21/paxton-whitehead-actor-dies/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,interview,8,10,false,false,false,true,false,false,false,false,2024-07-25,2025-04-28,false,false
20,Patrick Clanton - Home,http://patrickclanton.weebly.com/,http://somedayprods.com/talking/pillow-talkings-review-of-rent/,Full Review,8,9,false,false,false,true,false,false,false,false,2024-08-15,2025-03-16,false,false
20,Grand Funk Railroad news,https://www.grandfunkrailroad.com/news.html,http://somedayprods.com/talking/pillow-talkings-interview-with-don-brewer-of-grand-funk-railroad/,Someday Productions,39,20,false,false,false,false,false,false,true,false,2023-09-15,2025-04-23,false,false
19,Paxton Whitehead Dies: 'Friends' & 'Mad About You' Actor Was 85,https://www.tvinsider.com/1096679/paxton-whitehead-dead-friends-mad-about-you-frasier/,http://somedayprods.com/talking/pillow-talkings-interview-with-distinguished-actor-paxton-whitehead/,Somedayprods.com,25,155,false,false,false,true,false,false,false,false,2024-07-26,2025-05-18,false,false
18,"Bethel, CT Local Directory and Listings | Patch",https://abe.patch.com/connecticut/bethel/directory,http://somedayprods.com/talking/category/the-history-of-everything-fka-kissy-cousins/,Film's website,35,111,false,false,false,true,false,false,false,false,2023-12-05,2025-01-17,false,true
18,"Catch Brookfield Theatre's CAT ON A HOT TIN ROOF Before it Closes! | Brookfield, CT Patch",https://abe.patch.com/connecticut/brookfield/catch-brookfield-theatres-cat-hot-tin-roof-it-closes,http://somedayprods.com/talking/pillow-talkings-review-of-cat-on-a-hot-tin-roof/,Pillow Talking's Review of Cat On a Hot Tin Roof,7,97,true,false,false,true,false,false,false,false,2024-03-14,2025-03-08,false,true
18,"Town Players of Newtown's Production of The Foreigner is Side-Splittingly Funny! | Newtown, CT Patch",https://abe.patch.com/connecticut/newtown/town-players-newtowns-production-foreigner-side-splittingly-funny-0,http://somedayprods.com/talking/pillow-talkings-review-of-the-foreigner/,http://somedayprods.com/talking/pillow-talkings-review-of-the-foreigner/,7,97,true,false,false,true,false,false,false,false,2024-03-14,2025-03-09,false,true
18,"Dirty Rotten Scoundrels at the Ridgefield Theater Barn is Dirty Rotten Fun | Ridgefield, CT Patch",https://abe.patch.com/connecticut/ridgefield/dirty-rotten-scoundrels-ridgefield-theater-barn-dirty-rotten-fun-0,http://somedayprods.com/talking/pillow-talkings-review-of-dirty-rotten-scoundrels/,http://somedayprods.com/talking/pillow-talkings-review-of-dirty-rotten-scoundrels/,7,96,true,false,false,true,false,false,false,false,2024-03-14,2025-03-06,false,true
18,"Michael Urie, Star of Stage & Screen, to Perform in Buyer & Cellar | Westport, CT Patch",https://abe.patch.com/connecticut/westport/michael-urie-star-stage-screen-perform-buyer-cellar,http://somedayprods.com/talking/pillow-talkings-interview-with-michael-urie/,http://somedayprods.com/talking/pillow-talkings-interview-with-michael-urie/,7,92,true,false,false,true,false,false,false,false,2024-03-14,2025-03-08,false,true
18,"Fort Lauderdale Film Festival to Screen Indie Fave SARAH Q | Miami, FL Patch",https://abe.patch.com/florida/miami/fort-lauderdale-film-festival-screen-indie-fave-sarah-q,http://somedayprods.com/talking/interview-with-john-gallagher/,http://somedayprods.com/talking/interview-with-john-gallagher/,8,79,true,false,false,true,false,false,false,false,2024-02-06,2025-03-26,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://abe.patch.com/users/wkeeley294,http://somedayprods.com/talking,Website,6,82,true,false,false,true,false,false,false,false,2023-11-16,2025-03-04,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://abe.patch.com/users/wkeeley294/articles,http://somedayprods.com/talking,Website,6,130,true,false,false,true,false,false,false,false,2024-01-09,2025-03-01,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://abe.patch.com/users/wkeeley294/calendar_events,http://somedayprods.com/talking,Website,6,82,true,false,false,true,false,false,false,false,2023-11-04,2025-03-04,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://abe.patch.com/users/wkeeley294/classifieds,http://somedayprods.com/talking,Website,6,82,true,false,false,true,false,false,false,false,2023-11-11,2025-03-12,false,true
18,"Bethel, CT Local Directory and Listings | Patch",https://adtech.patch.com/connecticut/bethel/directory,http://somedayprods.com/talking/category/the-history-of-everything-fka-kissy-cousins/,Film's website,36,93,false,false,false,true,false,false,false,false,2023-11-16,2024-12-28,false,true
18,"Bethel, CT Local Directory and Listings | Patch",https://dev-tycho.patch.com/connecticut/bethel/directory,http://somedayprods.com/talking/category/the-history-of-everything-fka-kissy-cousins/,Film's website,35,111,false,false,false,true,false,false,false,false,2023-11-01,2025-01-19,false,true
18,"Fort Lauderdale Film Festival to Screen Indie Fave SARAH Q | Miami, FL Patch",https://dev-tycho.patch.com/florida/miami/fort-lauderdale-film-festival-screen-indie-fave-sarah-q,http://somedayprods.com/talking/interview-with-john-gallagher/,http://somedayprods.com/talking/interview-with-john-gallagher/,8,99,true,false,false,true,false,false,false,false,2024-03-20,2025-04-27,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://dev-tycho.patch.com/users/wkeeley294,http://somedayprods.com/talking,Website,6,82,true,false,false,true,false,false,false,false,2023-11-06,2025-04-23,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://dev-tycho.patch.com/users/wkeeley294/articles,http://somedayprods.com/talking,Website,6,130,true,false,false,true,false,false,false,false,2023-12-16,2025-05-07,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://dev-tycho.patch.com/users/wkeeley294/calendar_events,http://somedayprods.com/talking,Website,6,90,true,false,false,true,false,false,false,false,2023-11-01,2025-03-30,false,true
18,Patch User Profile for Someday Prods/Pillow Talking,https://dev-tycho.patch.com/users/wkeeley294/classifieds,http://somedayprods.com/talking,Website,6,82,true,false,false,true,false,false,false,false,2023-11-09,2025-04-08,false,true
