Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
50,Blogger: Προφίλ Χρήστη: Melissa B,https://draft.blogger.com/profile/00957681571000107552,http://twentysomethingliving.com/,Twenty Something Living - Life Undressed,30,11,false,false,false,true,false,false,false,false,2025-01-11,2025-01-11,false,false
47,rtpteam,https://rtpteamx.blogspot.com/,https://twentysomethingliving.com/,twentysomethingliving,50176,3,true,false,false,true,false,false,false,false,2024-09-07,2025-05-25,false,false
42,rtpteam,https://rtpteamx.blogspot.com/%C2%A0,https://twentysomethingliving.com/,twentysomethingliving,50176,4,true,false,false,true,false,false,false,false,2024-02-03,2025-04-08,false,false
34,rtpteam,https://rtpteamx.blogspot.com/files/textes/droits_usage.html,https://twentysomethingliving.com/,twentysomethingliving,50176,5,true,false,false,true,false,false,false,false,2025-03-13,2025-03-13,false,false
27,"Study: Fewer young women infected with HPV, thanks to vaccines",https://www.usatoday.com/story/news/2016/02/22/hpv-vaccine-cancer-women/80609372/,http://twentysomethingliving.com/doctor-drops-c-word-cancer/,Twenty Something Living,24,76,false,false,false,true,false,false,false,false,2024-06-08,2025-01-02,false,false
23,rtpteam,https://rtpteamx.blogspot.com/hot/,https://twentysomethingliving.com/,twentysomethingliving,50176,5,true,false,false,true,false,false,false,false,2024-02-09,2024-12-18,false,false
22,The Impossible List™ | IMPOSSIBLE ®,https://impossiblehq.com/impossible-list/,http://twentysomethingliving.com/quarter-life-crisis-2/,Having a Quarter-Life Crisis | Twenty Something Living,360,1272,true,false,true,true,false,false,false,false,2024-07-16,2025-05-23,false,false
21,23 Ways You Could Be Using Rubber Bands You Never Thought Of,https://www.buzzfeed.com/bibibarud/rubber-band-fan,http://twentysomethingliving.com/diy-life-painting-kitchen-living-room/,twentysomethingliving.com,28,78,false,false,false,true,false,false,false,false,2024-10-08,2025-04-02,false,false
21,22 Ideas para solucionar tu vida usando ligas de hule,https://www.buzzfeed.com/mx/bibibarud/ideas-para-solucionar-tu-vida-con-una-liga-de-hule,http://twentysomethingliving.com/diy-life-painting-kitchen-living-room/,twentysomethingliving.com,28,29,false,false,false,true,false,false,false,false,2024-10-09,2025-04-19,false,false
20,These 49 Women Are Bona Fide Fitness Queens,https://www.womenshealthmag.com/fitness/a19906700/wh-action-heroes-2015/,http://twentysomethingliving.com/,Twenty Something Living,94,56,false,false,false,true,false,false,false,false,2024-05-01,2025-05-14,false,false
19,Christmas Spirit | North Carolina Tar Heels fan forums - TarHeelIllustrated,https://northcarolina.forums.rivals.com/threads/christmas-spirit.49365/,http://twentysomethingliving.com/being-with-family-during-the-holidays-gifs/,,12,448,true,false,true,false,false,false,true,false,2024-04-15,2025-04-10,false,false
18,Blogger: Προφίλ Χρήστη: Melissa B,https://www.blogger.com/profile/00957681571000107552,http://twentysomethingliving.com/,Twenty Something Living - Life Undressed,30,11,false,false,false,true,false,false,false,false,2024-11-23,2025-05-16,false,false
