Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
56,507 Creative,http://creative507.com/,http://typetodesign.com/,Type To Design,75,9,false,false,false,true,false,false,false,false,2024-03-09,2025-05-11,false,false
56,507 Creative,http://creative507.com/,http://typetodesign.com/,typetodesign.com,75,9,false,false,false,true,false,false,false,false,2024-03-09,2025-05-11,false,false
56,507 Creative,http://creative507.com/,http://typetodesign.com/,blog,75,9,false,false,false,false,false,false,true,false,2024-03-09,2025-05-11,false,false
56,507 Creative,http://creative507.com/,http://typetodesign.com/,View Link,75,9,false,false,false,true,false,false,false,false,2024-03-09,2025-05-11,false,false
56,507 Creative,http://creative507.com/,http://typetodesign.com/,,75,9,false,false,false,true,false,false,false,false,2023-12-10,2025-05-11,false,false
42,Me-Tube,https://me-tubec.blogspot.com/,https://typetodesign.com/,typetodesign,50167,7,true,false,false,true,false,false,false,false,2024-07-24,2025-05-26,false,false
33,Me-Tube,https://me-tubec.blogspot.com/files/textes/droits_usage.html,https://typetodesign.com/,typetodesign,50167,5,true,false,false,true,false,false,false,false,2024-01-20,2025-04-15,false,false
22,Me-Tube,https://me-tubec.blogspot.com/OPS_Page/index.html,https://typetodesign.com/,typetodesign,50167,5,true,false,false,true,false,false,false,false,2024-01-20,2025-03-31,false,false
21,Addictive App Turns Boring Instagram Pics Into Fun Type | WIRED,https://www.wired.com/2015/06/addictive-app-turns-boring-instagram-pics-fun-type/,http://typetodesign.com/,Type to Design,19,63,true,false,false,true,false,false,false,false,2024-07-08,2025-04-08,false,false
20,Type to design превращает слова в образцы современного искусства — Лайфхакер,https://lifehacker.ru/type-to-design/,http://typetodesign.com/,Type to design,10,85,false,false,false,true,false,false,false,false,2024-01-19,2024-12-06,false,false
19,(We're back! Hey!) - by Caitlin Dewey,https://linksiwouldgchatyou.substack.com/p/we-re-back-hey,http://typetodesign.com/,cool tool,19,10,false,false,false,true,false,false,false,false,2024-09-15,2025-05-02,false,false
19,Site escreve palavras usando como fonte as fotos do Instagram; entenda,https://www.techtudo.com.br/noticias/2015/05/site-escreve-palavras-usando-como-fonte-fotos-do-instagram-entenda.ghtml,http://typetodesign.com/,Type To Design,45,177,false,false,false,true,false,false,false,false,2024-08-08,2025-05-20,false,false
18,"Tech: Szép feliratot csinálna? Ezzel az lesz, csak kattintson és írja | hvg.hu",https://hvg.hu/tudomany/20160203_szep_uzenet_irasa_betuk_typetodesign,http://typetodesign.com/,Type to Design,18,110,false,false,false,true,false,false,false,false,2024-12-09,2025-05-15,false,false
18,Instagram-generated font from Type to Design from SuperHeroes and #36daysoftype.,https://slate.com/human-interest/2016/01/instagram-generated-font-from-type-to-design-from-superheroes-and-36daysoftype.html,http://typetodesign.com/,Type to Design,16,39,false,false,false,true,false,false,false,false,2024-08-18,2025-04-27,false,false
18,TecMundo estiloso: site mostra como deixar seu nome bem artístico - TecMundo,https://www.tecmundo.com.br/instagram/80921-tecmundo-estiloso-site-mostra-deixar-nome-artistico.htm,http://typetodesign.com/,Type to Design,25,155,true,false,false,true,false,false,false,false,2024-12-10,2025-03-13,false,false
17,Me-Tube,https://me-tubec.blogspot.com/%C2%A0,https://typetodesign.com/,typetodesign,50167,5,true,false,false,true,false,false,false,false,2024-04-30,2025-05-16,false,false
16,Type to Design App Turns Instagram Photography Into Typography | Hypebeast,https://hypebeast.com/2015/6/type-to-design-app-turns-instagram-posts-into-typography,http://typetodesign.com/,here,22,108,false,false,false,true,false,false,false,false,2024-05-13,2025-02-23,false,true
16,Awwwards,https://www.awwwards.com/_superheroes/submissions,http://typetodesign.com/,,16,76,true,false,false,true,false,false,false,false,2024-06-06,2025-04-23,false,false
16,404 Page not found - Awwwards,https://www.awwwards.com/inspiration/404-page-not-found-louis-design,http://typetodesign.com/,,25,86,true,false,false,true,false,false,false,false,2024-09-21,2025-04-21,false,false
16,5 Star Luxury Resort in Skiathos | Elivi Hotels Skiathos - Awwwards,https://www.awwwards.com/inspiration/5-star-luxury-resort-in-skiathos-elivi-hotels-skiathos-1,http://typetodesign.com/,,23,82,true,false,false,true,false,false,false,false,2024-11-20,2025-01-13,false,true
16,"6'56"" - Awwwards",https://www.awwwards.com/inspiration/656-1,http://typetodesign.com/,,22,81,true,false,false,true,false,false,false,false,2025-04-02,2025-04-02,false,false
16,About page - Awwwards,https://www.awwwards.com/inspiration/about-page-manon-jouet-portfolio,http://typetodesign.com/,,25,87,true,false,false,true,false,false,false,false,2023-04-28,2025-04-16,false,false
16,Mascot Header - Awwwards,https://www.awwwards.com/inspiration/about-us-page-orangeyouglad-2,http://typetodesign.com/,,25,88,true,false,false,true,false,false,false,false,2025-03-17,2025-05-08,false,false
16,Academic fora - Awwwards,https://www.awwwards.com/inspiration/academic-fora,http://typetodesign.com/,,23,82,true,false,false,true,false,false,false,false,2023-11-22,2025-01-23,false,true
16,Adrian Z. · Interface Designer - Awwwards,https://www.awwwards.com/inspiration/adrian-z-interface-designer-2,http://typetodesign.com/,,22,82,true,false,false,true,false,false,false,false,2024-02-29,2025-02-14,false,true
16,All-Inclusive Luxury Student Accommodation in Leeds & Liverpool | IconInc - Awwwards,https://www.awwwards.com/inspiration/all-inclusive-luxury-student-accommodation-in-leeds-liverpool-iconinc-1,http://typetodesign.com/,,23,81,true,false,false,true,false,false,false,false,2025-01-16,2025-03-10,false,true
16,Alts Digital - Awwwards,https://www.awwwards.com/inspiration/alts-digital,http://typetodesign.com/,,23,82,true,false,false,true,false,false,false,false,2024-10-08,2025-01-09,false,true
16,Animate Favicon - Awwwards,https://www.awwwards.com/inspiration/animate-favicon-c-14-design,http://typetodesign.com/,,24,87,true,false,false,true,false,false,false,false,2025-01-17,2025-03-11,false,true
16,Animated cloud - Awwwards,https://www.awwwards.com/inspiration/animated-cloud-enigma-exhibitions,http://typetodesign.com/,,26,89,true,false,false,true,false,false,false,false,2023-02-14,2025-04-29,false,true
16,Aristide Benoist — Freelance Developer - Awwwards,https://www.awwwards.com/inspiration/aristide-benoist-freelance-developer-3,http://typetodesign.com/,,23,81,true,false,false,true,false,false,false,false,2024-11-25,2025-01-17,false,true
