Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
al-cruise.com,root_domain,2,2007,124,117,1935,72,1939,81,0,0,0
napaneebeaver.com,root_domain,2,200,112,106,106,94,163,37,0,0,0
thinkdifferentstore.com,root_domain,5,995,205,215,547,448,983,12,0,0,0
mekongexpress.com,root_domain,4,1782,254,261,496,1283,1772,9,0,0,81
fsmods.com,root_domain,3,380,175,167,281,99,230,151,0,0,943
hotelgiamaica.com,root_domain,2,126218,351,316,126074,165,125964,66,0,1,0
windtrips.com,root_domain,7,230,89,101,103,127,191,40,0,0,0
absolutelyneedlepoint.com,root_domain,6,221,96,105,193,30,193,31,0,0,0
ethnicpaintings.com,root_domain,3,3101,269,231,2923,179,2990,116,0,0,0
trailrunspain.com,root_domain,5,177,132,131,141,36,157,21,0,0,0
aparasw.com,root_domain,5,1452,465,523,1225,231,1348,105,0,0,0
imidro.org,root_domain,3,1321,257,233,1129,193,1211,99,0,0,0
brailleplus.net,root_domain,6,675,209,232,331,344,669,6,0,0,0
affiliatemission.com,root_domain,4,299,131,133,156,143,293,6,0,0,0
youngvoter.org,root_domain,5,716,213,208,333,383,671,42,0,0,0
diktionary.org,root_domain,4,1583,159,152,1210,374,1512,71,0,0,0
webstar.biz,root_domain,4,2552,190,168,1136,1422,2370,186,0,1,0
thehorsemag.com,root_domain,4,25631,1278,1277,17096,8653,25007,92,4,1,0
elgtv.com,root_domain,2,271,98,84,140,132,270,2,0,0,0
anticocottofravili.com,root_domain,2,9173,1075,1469,7907,1321,9321,61,0,0,0
baseballcensus.com,root_domain,11,313,119,133,254,59,310,2,0,1,0
psychogenealogie.net,root_domain,2,494,108,120,212,282,480,14,0,0,0
mattgreer.org,root_domain,6,2473,518,530,1130,1347,2423,25,0,0,0
ncedr.org,root_domain,4,231,99,101,186,45,229,2,0,0,0
jeffreydaugherty.com,root_domain,8,602,241,200,273,331,568,37,0,0,0
community-of-joy.org,root_domain,6,167,98,97,100,66,147,19,0,0,0
assoreveil.org,root_domain,3,1371,124,125,433,939,1370,1,0,0,0
fiostar.com,root_domain,3,450,101,100,390,60,415,33,0,0,0
sfaproductions.com,root_domain,2,688,120,123,120,574,589,105,0,0,0
imaf-rtp.com,root_domain,4,241,124,119,159,82,239,0,0,0,0
horizonsysinc.com,root_domain,6,177,87,88,80,96,142,34,0,0,0
lakecountycdc.org,root_domain,5,614,172,163,545,69,584,29,0,0,0
dragonflystudios.net,root_domain,2,134,101,93,84,50,107,27,0,0,0
colonialmusic.com,root_domain,2,8775,298,300,8307,476,8764,8,0,0,0
websetnet.net,root_domain,5,51568,5507,3269,47217,4467,14469,37663,0,1,2319
williamcarlsonglass.com,root_domain,4,440,211,218,298,142,373,68,0,0,0
smodv.com,root_domain,2,4899,90,95,4871,29,4898,4,0,0,0
microcash.org,root_domain,1,238117,3712,1138,234046,3899,234816,12,3,6,0
webmasterwoman.com,root_domain,3,172,98,101,105,67,172,0,0,0,0
deutschlandflagge.org,root_domain,4,347,306,296,332,15,344,3,0,0,0
huschurch.org,root_domain,2,279,129,119,167,112,192,87,0,0,0
cbd-kana.com,root_domain,4,30633,170,161,30555,83,30583,13,0,0,0
langlangparfums.com,root_domain,2,277,97,93,162,115,209,68,0,0,0
bowenislandtours.com,root_domain,2,447,98,120,187,260,449,0,0,0,0
neopolitanclothing.com,root_domain,6,22001,1773,1748,18313,3662,21280,100,2,9,13
pvilleparts.com,root_domain,2,20608,612,692,11229,9376,20560,33,0,0,0
molisemeteo.com,root_domain,2,176,125,110,108,67,138,33,0,1,0
backstageguitars.com,root_domain,12,172,113,102,109,63,143,25,0,0,0
umdrsop.org,root_domain,5,1592,175,180,318,1271,1580,9,0,0,0
alfrescocasualliving.com,root_domain,3,237,142,137,129,108,195,42,0,0,0
quinnspubfranklin.com,root_domain,15,415,114,110,210,205,337,77,0,0,0
ltfab.com,root_domain,2,525,179,147,298,226,299,226,0,0,108
arab-coupon.com,root_domain,2,2573,125,136,2298,275,2559,16,0,1,0
spanishschoolhouseblog.com,root_domain,9,785,214,199,761,24,253,147,0,0,167
center-for-the-arts.com,root_domain,2,449,121,113,166,284,449,1,0,2,0
alamocurbside.com,root_domain,3,115,97,96,87,28,114,1,0,0,0
necessetics.com,root_domain,4,644,165,139,349,295,640,3,0,0,0
philiplederer.org,root_domain,5,389,127,137,148,243,304,87,0,0,0
wtdsupply.com,root_domain,2,278,138,117,223,55,247,31,0,0,0
brainloadtech.com,root_domain,2,374,92,104,102,272,354,20,0,0,0
poemsandnumbers.com,root_domain,3,280,96,103,93,187,280,0,0,0,0
