Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
bodybyali.com,root_domain,2,240,106,97,81,159,125,115,0,0,0
christiescritters.org,root_domain,2,368,110,114,124,244,317,51,0,0,0
bizplansoko.com,root_domain,2,188,113,100,164,24,187,1,0,0,0
lagutube.com,root_domain,4,9194,1923,1934,8744,443,7535,329,47,132,0
pizzeria1926.com,root_domain,5,5411,144,148,5010,398,5405,5,0,0,0
avbleek.com,root_domain,2,354,91,105,276,79,351,3,0,0,0
kdmarketinsightsblog.com,root_domain,3,980,438,174,665,312,975,4,0,0,0
europeanstudentstartups.com,root_domain,2,485,123,137,129,356,420,65,0,0,0
stjohnstmark.org,root_domain,2,167,125,120,145,22,166,1,0,0,0
sedicegamal.com,root_domain,3,385,151,112,174,211,265,113,0,0,0
babieslounge.com,root_domain,2,200,124,123,136,64,166,34,0,0,0
lesliekingery.com,root_domain,2,110,98,89,90,20,108,0,0,0,0
heavengift.net,root_domain,2,98,76,53,44,54,97,0,0,0,0
iraise.biz,root_domain,2,536,121,114,436,100,415,118,0,0,0
nylonhistory.com,root_domain,2,223,106,103,112,111,192,29,0,2,0
commsketch.com,root_domain,2,3224,365,358,1269,1971,2840,404,0,0,0
jomhouriat.com,root_domain,2,5615,803,1102,4989,633,5475,147,0,0,0
sendtral.com,root_domain,2,88,80,79,75,13,88,0,0,0,0
topsail-island-nc.com,root_domain,2,1406,198,215,1087,319,1409,0,0,0,0
floridamuraltrail.com,root_domain,2,117,94,95,99,20,114,3,0,0,0
themoneyflow.net,root_domain,5,1712,393,440,786,931,1696,21,0,0,116
cvillain.com,root_domain,4,1436,537,413,579,857,1422,16,0,0,78
akunprobig855.com,root_domain,2,986,314,332,72,918,983,10,0,0,0
bollywoodsmile.com,root_domain,2,473,127,145,192,282,474,0,0,0,0
edivorceintexas.com,root_domain,2,491,83,101,177,314,405,85,0,0,0
usuaia.com,root_domain,2,1349,158,159,161,1188,1349,0,0,0,0
basicfoodprepper.com,root_domain,3,207,132,122,168,39,165,43,0,0,0
kadasgarden.com,root_domain,3,1278,137,163,571,707,1139,138,0,0,0
