Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
0xc0000005.com,root_domain,5,482,179,199,229,252,471,11,0,0,49
100supertoto.com,root_domain,2,1448,560,540,86,1362,1412,34,0,0,0
24kadra.com,root_domain,5,4202,416,324,3715,491,4053,155,0,1,0
24onlinereview.com,root_domain,2,361,200,134,322,39,190,171,0,0,0
24sugar-defender.com,root_domain,2,1028,298,357,563,465,940,85,0,0,0
365room.net,root_domain,3,221,105,86,116,105,156,65,0,0,0
3oyooon.com,root_domain,2,314,109,86,187,127,243,71,0,0,0
9jwhmhpt.com,root_domain,4,1086,376,365,169,921,1026,65,0,0,0
aars-acrs.org,root_domain,2,455,171,170,327,128,424,31,0,0,0
accmarequipment.com,root_domain,2,4977,330,436,4810,166,4966,31,0,0,0
accreditedfirms.com,root_domain,5,88,76,77,74,14,88,0,0,0,0
activelocks24-7.com,root_domain,2,112,89,98,104,9,106,6,0,0,0
africanglobe.net,root_domain,5,10095,1401,1136,8015,2066,9552,535,0,12,0
agentesnerds.com,root_domain,2,633,82,101,615,18,128,505,0,0,0
agriecol.org,root_domain,10,3375,144,136,3252,123,3296,79,0,0,0
ahphelp.com,root_domain,4,481,127,120,450,31,477,4,0,0,0
aintiawomanblog.net,root_domain,2,327,112,114,274,53,291,11,0,0,0
akaminecraft.com,root_domain,4,295,123,121,163,132,231,64,0,0,0
akaycentric.com,root_domain,5,135,110,110,101,32,135,0,0,0,0
akhlesh.com,root_domain,5,2113,420,427,1762,353,1786,52,0,0,92
akunprobig855.com,root_domain,2,988,314,332,72,918,983,10,0,0,0
alienazionegenitoriale.org,root_domain,8,12978,131,130,12882,99,12650,336,0,0,0
alliance-21.org,root_domain,2,145,84,88,133,12,145,0,0,0,0
alltrials.org,root_domain,4,478,101,130,389,91,477,0,0,0,0
alphabankserbia.com,root_domain,6,1008,366,289,825,183,913,93,0,1,0
americanburgerbar.com,root_domain,11,917,228,279,811,106,912,2,0,1,0
amightylove.com,root_domain,5,109253,316,476,108959,319,109340,74,0,1,0
amsmotoresllc.com,root_domain,4,211,82,93,95,124,156,63,0,0,52
anakbrunei.net,root_domain,2,465,148,148,119,344,416,44,0,0,0
angelahallstrom.com,root_domain,5,7057,579,776,5090,1962,6930,108,0,1,60
apahouse.com,root_domain,5,53122,2581,2510,36929,16241,53225,60,0,0,0
apeoplesmap.org,root_domain,10,164,112,131,141,23,162,2,0,0,0
apexcryptonews.com,root_domain,2,4091,171,171,239,3884,4091,32,0,0,0
apotik-farmasi.com,root_domain,2,28773,175,587,9348,19413,19928,46,0,8817,0
arctarim.com,root_domain,3,10812,1079,1085,9270,1267,10800,5,0,0,0
arizonagamefair.com,root_domain,5,721,137,179,417,305,672,47,0,4,0
arrowmtn.com,root_domain,2,4402,890,883,4357,45,4407,1,0,0,0
artisticbouquets.com,root_domain,4,1610,651,765,875,755,1408,176,0,0,0
artsyagnes.com,root_domain,4,674,134,160,354,319,638,36,0,0,0
aseanlip.com,root_domain,5,327,174,185,250,78,317,11,0,0,0
asiatigersclub.com,root_domain,2,443,134,107,389,55,416,19,0,0,0
asparagusgardener.com,root_domain,2,237,141,147,176,61,229,8,0,0,0
astrohindu.com,root_domain,2,2362,161,169,2129,233,2023,340,0,0,0
atomiklighting.com,root_domain,2,1444,121,120,1343,101,779,665,0,0,0
atreebutes.com,root_domain,3,252,88,92,198,56,210,42,0,0,0
autismweb2.com,root_domain,2,426,134,122,128,299,389,39,0,0,0
automotivepower.com,root_domain,4,215,117,128,158,58,194,17,0,0,0
autumn-electric.com,root_domain,3,3074,181,206,3045,29,3297,3,0,0,0
aximata.com,root_domain,2,181,109,107,98,83,121,60,0,0,0
ayuntamientodeelpaso.org,root_domain,2,1896,140,140,1721,175,1795,94,0,0,0
azularcdev.com,root_domain,2,815,196,195,745,70,815,2,0,0,41
baccaratufa191.com,root_domain,2,357,195,156,210,148,266,84,0,5,0
bachvespersnyc.org,root_domain,5,1573490,668,701,1572460,1093,1594488,493,0,0,9
barnettforaz.com,root_domain,4,370,165,174,230,140,294,76,0,0,0
barrerasfamilyfarm.com,root_domain,16,961,158,169,769,192,905,57,0,0,179
bcgame-brazil.com,root_domain,2,1693,234,247,1467,229,1699,0,0,0,0
bdwf.net,root_domain,9,695,193,188,456,190,604,93,0,0,0
beautypointofview.com,root_domain,11,13816,2687,2451,13047,757,1736,12178,0,0,0
bellameribbonco.com,root_domain,13,1145,203,220,922,223,945,165,0,1,0
beluga59.org,root_domain,2,1941,164,146,429,1513,1923,30,0,0,0
bendjs.com,root_domain,5,110,90,88,91,19,108,0,0,0,0
bible-map.com,root_domain,2,2136,329,257,1547,589,2092,27,0,1,0
bicicletascanarias.com,root_domain,2,1643,199,252,1608,35,1593,50,0,0,0
bigdatawf.com,root_domain,6,471,111,95,438,33,470,0,0,0,0
bikervietnam.com,root_domain,5,21106,420,372,18694,2420,17449,3702,0,0,69
bishonenhouse.com,root_domain,2,222,108,96,102,120,145,76,0,0,0
bisikanbusuk.com,root_domain,5,638,206,155,299,339,549,84,0,0,0
blackreads.org,root_domain,2,3803,260,124,3794,9,3803,0,0,0,0
bloggerbeware.com,root_domain,4,1022,192,207,672,350,990,28,0,0,0
blowinsmokesavannah.com,root_domain,4,297,141,139,257,40,263,23,0,0,0
bluewavefunding.com,root_domain,2,228,119,127,139,89,166,62,0,0,0
blutsbrueder-design.com,root_domain,4,353,170,155,312,42,327,28,0,0,0
boerwarnurses.com,root_domain,3,358,124,118,205,153,277,74,0,0,0
bonedrywp.com,root_domain,8,3738,295,259,3398,340,3685,102,0,0,0
boredmommyblog.com,root_domain,4,1103,321,280,453,653,1063,35,0,9,0
boutiqueoffbroadway.com,root_domain,4,787,183,178,743,43,786,14,0,0,0
brac-aarong.com,root_domain,3,405,188,159,294,112,336,70,0,0,0
brasserieladelicatesse.com,root_domain,3,280,103,101,154,126,196,72,0,0,0
brindlesfurniture.com,root_domain,4,662,266,334,528,136,625,31,0,0,24
britishrail.com,root_domain,4,438,160,187,381,55,435,3,0,0,0
brochuremonster.com,root_domain,3,1135,328,210,974,162,911,218,0,0,0
brucewisedesigns.com,root_domain,2,113,91,98,90,23,113,0,0,0,0
bstocorp.com,root_domain,4,175,133,138,136,39,173,3,0,0,0
buyprosolutiongel.com,root_domain,4,937,178,181,539,397,827,109,0,0,0
campingalarms.com,root_domain,2,115,85,83,92,23,110,0,0,0,0
cancerrd.com,root_domain,5,2649,538,446,1966,689,2468,182,0,0,0
carefirstanswers.com,root_domain,6,2924,151,180,2619,306,2913,11,0,0,0
cartgenieapp.com,root_domain,2,123,82,80,91,32,123,0,0,0,0
cavearmor.com,root_domain,4,898,232,190,420,477,737,160,0,0,0
cdeine.com,root_domain,4,7272,494,450,2950,4339,7273,13,0,0,0
chefmyrons.com,root_domain,2,533,112,119,227,306,531,2,0,0,0
chelseashag.com,root_domain,5,232,132,129,215,17,221,2,2,0,0
chennai-madras.com,root_domain,3,2133,559,545,383,1753,2064,72,0,0,0
chuantu.biz,root_domain,5,24438,555,650,23082,1345,4155,20293,0,19,467
circulatingcurrency.com,root_domain,2,85,75,79,73,12,85,0,0,0,0
clubonca2.com,root_domain,4,6021,287,322,5433,587,6020,2,0,0,0
cmspiker.com,root_domain,4,677,376,163,196,481,641,35,0,1,0
coalitionforyouthlmn.org,root_domain,3,155,101,107,108,47,155,0,0,0,0
codigobonus.net,root_domain,3,393,168,180,375,18,389,4,0,0,0
cognitiojuris.com,root_domain,25,1507,220,227,1433,74,1425,37,0,36,0
coheedandcambria-game.com,root_domain,4,221,111,83,150,71,209,12,0,0,0
collinsindustrial.com,root_domain,5,34295,1386,1369,26869,7529,33886,94,5,1,0
commonthejournal.com,root_domain,10,960,116,127,936,24,634,327,0,0,0
confidentwriting.com,root_domain,5,3430,405,309,2469,962,3420,15,0,0,0
contactlensheaven.com,root_domain,2,2230,167,176,882,1349,1531,41,659,0,0
contraflash.com,root_domain,2,144,96,94,123,21,135,9,0,0,0
copperone.com,root_domain,8,292,93,106,248,44,267,24,0,0,0
coremagazine.net,root_domain,2,271,130,123,233,39,263,8,0,0,0
crackfury.com,root_domain,2,1306,547,415,413,893,1276,30,0,0,121
crafts2do.com,root_domain,2,152,86,79,123,29,149,3,0,0,0
craigupload.com,root_domain,3,987,361,194,789,198,702,286,0,0,0
crcfoodandhealth.com,root_domain,4,123,92,91,105,18,122,1,0,0,0
crystalcheta.com,root_domain,2,201,113,139,95,106,123,41,0,0,0
cscrunbythebay.com,root_domain,4,1585,105,103,1562,23,128,1466,0,0,0
cst2024.org,root_domain,11,2786,80,111,2351,436,2826,24,0,0,69
cuckoldlist.com,root_domain,2,1247,107,78,107,1140,1214,5,0,1,761
culturalfab.com,root_domain,4,208,121,123,154,52,167,35,0,0,0
cupkateslv.com,root_domain,4,197,107,115,112,85,191,6,0,0,0
customnfljerseyu.com,root_domain,2,15561,200,182,15505,62,15494,36,0,0,0
d5websoft.com,root_domain,2,6283,160,160,4756,1532,6243,50,0,0,0
dcsmithpllc.com,root_domain,2,595,228,226,271,322,492,106,0,0,0
deberrysrocksolidauction.com,root_domain,6,152,88,57,140,12,152,0,0,0,0
decoimagination.net,root_domain,3,427,252,239,350,80,430,0,0,0,0
delyuks-vulkan.com,root_domain,2,183,110,101,173,10,172,11,0,0,0
