Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
diznix.com,root_domain,3,820,167,147,640,180,756,63,0,0,0
seotuf.com,root_domain,4,1653,311,345,1354,299,1612,41,0,0,0
orgnot.com,root_domain,2,270,113,120,211,59,267,1,0,0,0
koyczan.com,root_domain,3,356,154,130,289,67,357,0,0,0,0
gscfp.org,root_domain,6,436,146,217,395,42,390,47,0,0,414
ortfo.org,root_domain,5,237,145,104,135,102,207,29,0,0,14
lyricpls.com,root_domain,2,105293,837,982,83389,22083,104125,1614,0,0,0
unitogel3.com,root_domain,2,797,122,177,787,10,803,0,0,0,0
myshagun.com,root_domain,2,691,92,93,208,486,679,15,0,0,0
svgtvt.net,root_domain,5,1429,364,378,961,469,1335,94,0,0,0
sztarcafe.com,root_domain,3,1420,382,257,1327,93,864,566,0,0,0
shiho-net.org,root_domain,4,307,151,163,190,117,241,61,0,0,0
aupairjobs.org,root_domain,3,1271,130,131,1219,52,1266,8,0,0,0
dbsentences.com,root_domain,3,2818,890,446,2711,107,2674,3,0,0,0
barbarjitu.com,root_domain,2,12305,92,177,12261,45,12590,33,0,0,0
pucanguilla.org,root_domain,3,656,288,301,494,162,648,7,0,0,0
donaldsonvn.com,root_domain,2,291382,102,132,291365,21,292330,3,0,0,0
mallumovies.org,root_domain,5,7438,606,750,6298,1156,6058,31,0,0,0
micahprose.com,root_domain,2,170,106,82,71,99,166,4,0,0,0
weehiphop.com,root_domain,1,1623,495,222,1346,277,665,958,0,0,0
venusgrip.com,root_domain,1,60405,726,214,60082,334,60323,43,0,0,0
techeries.com,root_domain,4,1132,292,240,271,839,1106,25,0,1,0
girlswirl.net,root_domain,2,267,110,100,210,57,236,31,0,0,0
teachingpr.org,root_domain,3,1129,208,153,951,178,1119,10,0,0,0
kigalireport.com,root_domain,2,7335,308,246,3786,3599,7155,35,0,0,0
fuzoku-ice.com,root_domain,2,292,118,105,211,81,92,200,0,0,0
historyandwar.org,root_domain,3,580,149,153,170,413,540,42,0,0,0
homanandzentz.com,root_domain,5,157,97,100,84,74,126,32,0,0,0
newyorkclubsa.com,root_domain,5,19535,416,405,18954,587,19655,7,0,0,0
7e77.net,root_domain,2,210,116,93,101,109,157,53,0,0,80
kramersergot.com,root_domain,4,634,133,134,614,20,634,0,0,0,0
natchez-history.com,root_domain,2,36703,999,1075,23960,12816,36790,75,0,1,0
brandtadalafil.com,root_domain,7,8818,658,651,5291,3518,7865,966,0,2,544
albionhighland.com,root_domain,2,528,132,132,251,278,488,3,0,0,0
xperia-index.com,root_domain,2,820,143,155,366,455,448,371,0,0,5
delphinelucielle.com,root_domain,3,8993,180,183,8912,79,8953,32,0,0,0
nicheexperiments.com,root_domain,2,626,132,120,143,483,531,95,0,0,0
thenubbyadmin.com,root_domain,5,2397,249,246,2043,352,779,1619,0,0,0
