Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
fiorentinos.com,root_domain,4,508,114,138,457,52,511,1,0,0,0
alaskawhalewatchingtours.com,root_domain,2,135,105,104,108,27,130,5,0,0,0
sacanimal.org,root_domain,20,703,236,231,557,146,654,47,0,0,298
iflyamerica.org,root_domain,5,3514,869,828,1748,1767,2761,727,0,0,0
jewishveg.com,root_domain,5,8936,956,883,6466,2475,8727,256,0,0,0
toby-churchill.com,root_domain,5,1116,160,157,971,145,1086,26,0,0,75
petersongarden.org,root_domain,5,15754,333,309,15342,412,15689,49,0,0,0
exquisitetweets.com,root_domain,6,8151,638,625,7267,891,8161,22,1,0,0
grandtavern.net,root_domain,4,310,165,163,274,36,306,5,0,0,0
attentiveholiday.com,root_domain,2,3192,175,188,2137,1068,3189,19,0,1,0
flash-extensions.net,root_domain,4,7627,227,216,6813,811,7086,368,0,0,0
naldzgraphics.com,root_domain,5,14958,760,793,12191,2769,14900,149,0,0,0
danceboxoffice.com,root_domain,5,1114,135,159,787,327,1082,30,0,0,0
metromaniladirections.com,root_domain,21,2997,384,339,2255,746,2978,19,0,0,1012
club-peugeot.com,root_domain,2,83223,116,134,83168,56,83312,7,0,0,0
yiyunli.com,root_domain,5,2460,416,394,2038,423,2449,12,0,0,0
rockymtncuts.com,root_domain,5,1085,167,181,713,380,1025,71,0,1,0
waterobservatory.org,root_domain,4,822,203,212,347,476,823,0,0,0,0
matadordesign.com,root_domain,4,510,133,130,484,26,509,0,0,0,0
gustopizzaco.com,root_domain,15,1746,283,483,1513,234,675,39,0,0,0
standrewsmodesto.org,root_domain,2,214,141,137,169,45,211,3,0,0,0
historiaoralargentina.org,root_domain,5,447,161,173,392,55,446,1,0,0,0
skydoor.org,root_domain,3,239,102,105,211,29,137,103,0,0,0
grapplingcontests.com,root_domain,3,3963,2925,2745,3666,298,2092,109,4,43,0
milagon.com,root_domain,3,675,171,179,513,162,632,35,0,0,0
merinokidsusa.com,root_domain,4,298,117,126,160,141,272,26,0,0,781
myperpignan.com,root_domain,2,1851,282,306,1215,641,1259,600,0,0,0
cal-neva.org,root_domain,4,234,123,96,216,18,231,3,0,0,0
barefootprovisions.com,root_domain,5,3081,281,299,1918,1247,2241,897,0,0,0
prepandpantry.com,root_domain,4,216,133,131,180,36,181,30,0,1,0
vermicompost.net,root_domain,4,271,153,150,201,70,263,7,0,0,0
brockandco.com,root_domain,13,329,171,103,294,35,312,17,0,0,0
leblancfloors.com,root_domain,3,401,136,164,230,171,347,47,0,0,243
squamlakeschamber.com,root_domain,4,545,146,148,253,292,541,2,0,0,0
perkinsfairmont.com,root_domain,14,187,98,91,138,49,160,26,0,0,0
justincredibledesign.com,root_domain,4,1106,358,328,601,506,707,396,0,0,97
rocowines.net,root_domain,2,779,195,167,582,192,723,47,1,0,0
purthread.com,root_domain,5,335,176,186,256,79,321,14,0,0,0
acglaconference.com,root_domain,6,252,118,134,207,45,221,31,0,0,0
animal411.net,root_domain,4,192,92,101,134,58,194,0,0,0,0
molokinikayak.com,root_domain,7,277,85,79,266,11,272,5,0,0,0
crathcoparts.net,root_domain,2,429,95,94,415,14,109,320,0,0,0
inecomachines.com,root_domain,2,3349,107,98,3321,27,3351,0,0,0,0
scarky.com,root_domain,5,1048,236,230,662,386,1026,15,0,7,0
webmasterworkshop.com,root_domain,3,344,120,117,312,32,341,2,0,0,0
rumoodler.com,root_domain,4,1768,189,197,1396,372,1681,74,0,0,0
royaltrendia.com,root_domain,7,2175,220,221,1402,771,2033,141,0,0,0
lambdaladies.com,root_domain,5,544,175,180,258,286,502,42,0,0,0
hgsf-global.org,root_domain,5,2678,218,275,1319,1362,2538,144,0,0,0
vocomp.org,root_domain,5,227,96,106,201,26,227,0,0,0,0
articlesofincorporation.org,root_domain,12,6365,720,557,4897,1464,1036,5342,0,0,1898
nycaudiovideopost.net,root_domain,2,141,101,101,120,23,141,2,0,0,0
soundjig.com,root_domain,4,872,126,135,822,50,869,6,0,0,0
thecooperagelafayette.com,root_domain,4,577,143,165,340,237,568,9,0,0,0
beautiful-chiangmai.com,root_domain,4,576,139,137,279,297,574,2,0,0,0
lapinkalatalouskeskus.net,root_domain,3,217,158,150,122,95,181,34,0,2,0
smcshimoga.com,root_domain,2,730,197,223,360,370,724,7,2,0,0
cedricjacquet.com,root_domain,4,11404,107,105,11349,57,7761,3655,0,0,0
kidpoweryoga.com,root_domain,5,621,185,183,290,331,583,37,0,0,0
janegodmanauthor.com,root_domain,3,411,155,142,322,88,395,11,0,0,0
futebolplanet.com,root_domain,8,457,194,208,403,54,168,294,0,0,90
cd-create.org,root_domain,8,169,106,112,134,35,165,4,0,0,0
kelehers.org,root_domain,5,1831,423,378,1774,57,1802,26,0,0,0
lakumcollection.com,root_domain,5,470,155,173,428,44,468,3,0,0,0
pollyiyer.com,root_domain,2,1154,147,129,214,940,1142,13,0,0,0
longhairbabes.com,root_domain,1,17370,678,358,15451,1924,16979,215,0,0,0
taquierotaco.com,root_domain,10,192,128,140,150,42,183,7,0,0,0
cal4ever.com,root_domain,4,169,119,115,124,45,157,12,0,0,0
colledegliulivi.net,root_domain,2,397,189,182,346,49,196,200,0,0,0
