Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
andofa.net,root_domain,2,13711560,1338,2428,13711560,84,13742330,35,0,0,0
cowsdna.com,root_domain,4,656,125,124,473,183,581,75,0,0,0
webhostingpol.com,root_domain,2,525,166,138,257,268,494,29,0,0,12
kastamonuajans.net,root_domain,2,886504,749,774,884470,2165,613243,4,0,0,0
metal-live.com,root_domain,2,3170,153,148,3096,74,2902,266,0,1,0
sl-news.net,root_domain,2,6576,170,140,6508,67,654,38,0,0,23
xrelay.net,root_domain,2,279,115,115,151,128,262,3,0,0,3047
bookofra-777.com,root_domain,2,1271,548,557,895,376,1252,11,0,0,0
dakshintimes.com,root_domain,2,1416,190,214,225,1191,1352,64,0,0,0
prohometogel.com,root_domain,4,2764,2008,1875,2227,540,2323,299,4,66,20
10-fo.net,root_domain,2,4562,526,522,4456,108,4604,1,0,1,0
elektrischekuehlbox.net,root_domain,2,1117,342,347,897,220,459,663,0,0,0
luxurybrides.net,root_domain,3,5910,535,226,5848,62,660,5255,0,0,0
miriamskafferep.com,root_domain,2,1351,172,155,1050,302,1273,75,0,0,0
wireless-nrepeater.com,root_domain,2,660,182,161,516,144,658,2,0,0,0
ifocus-agence.com,root_domain,3,3975,215,209,328,3660,3933,70,0,0,0
