Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
alodias.com,root_domain,4,1297,348,209,926,371,1282,15,0,1,0
theglobalsummit.org,root_domain,5,779,232,257,615,165,748,31,0,0,66
oda-alc.org,root_domain,24,862,266,312,813,49,803,56,0,2,1031
creatingitfutures.org,root_domain,13,4472,445,524,3822,663,4363,112,0,0,0
highlands-nyc.com,root_domain,5,774,255,272,501,273,760,14,0,0,0
unlimitedforum.com,root_domain,3,10293,205,171,6795,3516,7099,3220,0,2,0
smobilesystems.com,root_domain,5,1782,378,369,1123,659,1740,38,0,0,0
copshopmovie.com,root_domain,4,460,265,274,375,87,453,9,0,0,0
roofrepairinsider.com,root_domain,5,1987,376,393,1572,415,1640,42,0,0,0
dramacollector.com,root_domain,6,5583,1848,1251,592,4988,2687,2891,0,0,0
rocketenviro.com,root_domain,2,94,89,85,79,15,94,0,0,0,0
yorkdesignweek.com,root_domain,5,274,141,137,222,52,212,62,0,0,0
graybridgevenue.com,root_domain,12,470,162,157,430,41,466,4,0,0,0
88pianists.com,root_domain,5,551,135,169,263,288,540,8,0,0,0
clevelandesdc.com,root_domain,18,175,131,117,158,17,160,15,0,0,0
voropro.com,root_domain,4,2093,231,223,817,1277,1623,46,0,0,0
camelotfantasyresort.com,root_domain,11,161,109,101,122,40,127,17,0,0,90
milkbajar.com,root_domain,4,35904,176,187,35884,19,36190,1,0,0,0
badhtechalo.com,root_domain,2,674,355,170,531,144,293,382,0,0,0
context-first.com,root_domain,4,349,118,128,141,208,349,0,0,0,0
citychristianschool.com,root_domain,3,374,190,184,252,124,348,10,0,0,0
freesbmsites.com,root_domain,5,21074,1126,1085,16063,5192,21195,19,0,0,3720
martytdx.com,root_domain,2,1152,148,138,130,1022,1135,14,0,1,0
mp3ukr.com,root_domain,8,840,317,115,389,451,829,9,0,2,2136
metrometaldetectors.com,root_domain,11,564,228,232,521,43,298,268,0,0,0
stopthetowersealing.org,root_domain,3,405,139,95,375,30,395,10,0,0,0
finefoodsoftheworld.net,root_domain,4,127148,2167,1583,120515,6631,127161,57,2,2,0
designzway.com,root_domain,4,14644,605,579,13093,1579,14575,81,0,71,0
furtherinteraction.com,root_domain,2,2807,440,463,1563,1249,2777,34,0,2,0
fastboyfenders.com,root_domain,5,394,141,149,323,73,375,21,0,0,0
rockabillyjam.com,root_domain,4,286,114,135,228,58,277,8,0,0,0
genesisdaw.org,root_domain,5,188,125,129,147,41,188,0,0,0,0
cameraprism.com,root_domain,3,1343,609,466,967,376,603,748,0,0,233
genxguys.com,root_domain,2,7346,181,163,7091,255,7362,18,0,0,0
phoenixsolar-group.com,root_domain,5,2351,336,342,1676,670,2267,74,0,0,0
rapidprototypingwithjs.com,root_domain,5,102980,442,490,97181,5928,102828,95,0,2,0
steemmakers.com,root_domain,2,897,174,172,825,72,784,113,0,0,0
psubuntu.com,root_domain,5,9713,898,1013,6456,3253,9634,16,0,0,122
longbuckby.net,root_domain,2,218,141,129,117,103,215,3,0,0,0
newmicros.com,root_domain,6,1084,361,335,860,225,1045,31,0,0,0
mariyoga.com,root_domain,2,478,141,152,159,319,464,14,0,0,0
thefoundingfamily.com,root_domain,3,1259,358,315,703,562,1177,111,0,0,0
asrwwa.org,root_domain,6,244,163,170,201,44,229,14,0,0,0
adsreality.com,root_domain,6,2028,172,178,243,1780,2014,7,0,0,85
bjpchandigarh.org,root_domain,2,172,125,129,116,56,161,11,0,0,0
chaplainfortoday.com,root_domain,2,1752,601,642,1111,642,1591,156,4,7,0
123ecommerce.com,root_domain,5,129,86,98,100,29,126,3,0,0,0
airedaledc.com,root_domain,12,242,141,164,196,46,240,1,0,0,0
premgkumar.com,root_domain,2,327329,336,128,327273,28,329333,26,0,0,33
