Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
julietaarango.com,root_domain,2,572,139,148,118,454,516,56,0,0,0
samboiptogel.com,root_domain,4,179,113,96,135,44,142,33,0,0,0
oyo4da.com,root_domain,2,147,95,95,89,58,147,0,0,0,0
spjmadison.com,root_domain,5,181,125,139,156,25,176,3,0,0,0
gembirasini.com,root_domain,2,169,85,86,68,101,93,60,0,0,0
vpowerapk.com,root_domain,6,315,90,87,181,134,292,26,0,0,0
persuasionkey.com,root_domain,5,23679,1366,1350,20836,2845,22782,859,0,0,0
blackberrystocks.com,root_domain,3,5654,170,146,5551,102,5661,22,0,0,0
dongusanogames.com,root_domain,4,205,113,135,187,18,205,0,0,0,0
zbrehoncf.com,root_domain,2,13242,2007,2106,13129,114,13232,60,0,0,0
clarissatossin.net,root_domain,5,1318,137,149,988,330,889,91,0,0,0
sywsnet.com,root_domain,2,5992,165,169,5937,55,2818,3389,0,0,0
ejectdelay.com,root_domain,2,436,84,116,83,354,437,0,0,0,0
scoopbradio.com,root_domain,5,3830,271,345,3455,375,3368,28,0,434,0
sonbahisgirisli.com,root_domain,9,113404,776,759,106841,6704,113947,29,0,0,0
progressivegardening.com,root_domain,4,1261,438,430,884,377,998,266,0,0,0
baiviet.com,root_domain,5,92792,3062,1358,84306,8341,71267,2009,1069,1,118
panduanbarbar.com,root_domain,2,373,95,65,327,46,324,26,0,0,0
loquegustes.com,root_domain,2,4141,221,220,3767,389,4054,87,0,0,0
sudantelegraph.com,root_domain,5,256,160,145,182,74,153,103,0,0,0
cintaiptgl.com,root_domain,2,207,104,94,107,100,146,61,0,0,0
honeyroutexp.com,root_domain,2,347,109,120,94,253,342,5,0,0,0
miconcenet.com,root_domain,5,515,212,231,352,163,382,117,0,0,0
fcfreeman.com,root_domain,2,256,84,90,210,46,248,10,0,0,0
wholesalenearme.com,root_domain,5,28662,3200,4227,23199,5540,23559,577,34,292,0
francemediasnumerique.com,root_domain,4,3681,263,317,2580,1101,3535,150,0,4,0
cmpol.com,root_domain,2,14210,285,300,13687,511,10508,157,0,0,0
hzcyhzzl.com,root_domain,5,375,118,122,352,23,372,1,0,0,0
ssis816.org,root_domain,7,347,146,136,165,182,277,70,0,0,10
percayadw.com,root_domain,2,416,167,194,260,156,302,73,0,0,0
timesfortech.com,root_domain,5,1777,761,840,1529,247,1680,74,4,13,893
financialadroit.com,root_domain,5,1370,170,222,815,555,960,298,0,0,0
tapetky.com,root_domain,2,316,99,103,289,26,271,41,0,0,0
bolanormal.com,root_domain,5,137503,300,327,137340,162,136756,91,0,0,9
presidioassetmgmt.com,root_domain,3,22211,1143,1102,19140,3062,21897,41,1,1,0
boardroommobile.com,root_domain,2,1621,379,384,1460,161,1539,89,0,0,0
imagiacanexiahealth.com,root_domain,5,172,112,85,101,71,162,10,0,0,0
marslanov.com,root_domain,2,1026,334,327,701,327,935,93,0,0,0
