Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
banslot88.com,root_domain,2,23136,317,320,21724,1447,23185,30,0,0,0
gypseababe.com,root_domain,2,257,78,90,77,180,256,1,0,0,0
jaidrama.com,root_domain,2,1341,587,594,259,1083,1308,33,0,0,0
indomita.net,root_domain,7,1863,230,73,1572,291,1785,78,0,0,29
decolightco.biz,root_domain,2,3854,118,116,3619,235,3835,25,0,0,98
flobay.com,root_domain,2,86426,114,96,85876,580,86433,201,0,0,0
museumoftime.com,root_domain,2,98,88,88,87,11,98,0,0,0,0
nigha24.com,root_domain,2,10526,564,520,6715,3841,10351,15,0,0,0
oclient.me,root_domain,2,933,144,181,497,435,658,2,0,0,0
autoinsuranceciv.info,root_domain,2,27166,87,93,23837,3351,27176,4,0,0,0
1000testov.com,root_domain,2,2489,182,174,1838,655,2383,98,0,0,0
kioscom.com,root_domain,2,194,63,35,73,121,110,84,0,0,0
coreyz.com,root_domain,2,358,136,126,225,133,319,39,0,0,0
thepizzalads.com,root_domain,3,1277,620,492,1128,150,204,1078,0,0,0
reducinggamblingharms.org,root_domain,6,1325,280,291,603,722,1279,46,0,0,0
himpactus.com,root_domain,2,189,88,94,88,101,122,67,0,0,0
fitnezbuzz.com,root_domain,2,920,380,300,540,381,495,424,0,1,75
farmhandus.com,root_domain,2,1476,94,105,58,1421,1479,0,0,0,0
tensunithub.com,root_domain,3,772,138,142,420,351,733,37,0,0,0
kodydothesims.com,root_domain,4,566,231,216,277,289,491,74,0,0,0
vitashrimp.com,root_domain,2,605,195,203,112,497,577,32,0,0,0
teahacker.com,root_domain,2,121,91,93,89,32,120,2,0,0,0
giuelith.com,root_domain,5,16322,374,377,14187,2138,15523,865,0,0,0
themescloud.org,root_domain,5,553,187,175,428,125,479,66,0,0,0
beaute-pure-boutique.com,root_domain,3,3075,541,565,1991,1084,2269,750,0,0,0
wellroundedsuccess.com,root_domain,4,354,151,147,213,141,342,9,0,0,0
spotifypremiumapks.com,root_domain,2,387,126,115,104,283,376,11,0,0,0
isenworkshop.com,root_domain,5,2708,615,835,2656,51,352,2343,0,0,0
virtualtrade.net,root_domain,2,166,95,88,67,99,105,61,0,0,0
emprestimospessoal.net,root_domain,3,118,92,96,89,29,108,10,0,0,0
trickslav.com,root_domain,2,692,424,377,130,563,273,416,0,4,0
truthtoday24.com,root_domain,2,967,200,180,831,136,660,313,0,1,0
cwc360.org,root_domain,2,399,132,132,258,141,333,66,0,0,0
historicales.com,root_domain,15,5861,713,378,5047,804,2915,670,0,1,628
grandwinston.com,root_domain,2,77,66,69,69,8,77,0,0,0,0
zanjan.org,root_domain,2,849,176,181,457,392,773,74,0,0,0
daverocker.org,root_domain,2,1423,116,113,93,1331,1387,37,0,0,0
clearfilms.org,root_domain,2,562,202,205,149,417,527,39,0,0,0
wiretechno.com,root_domain,2,270,146,151,258,12,270,0,0,0,0
streamvdn.com,root_domain,5,781,151,162,767,14,241,12,0,532,0
yanabeea.net,root_domain,4,14005,413,430,11605,2395,10763,3042,0,0,65
