Target,Target type,Authority Score,Backlinks,Domains,IPs,Follow links,Nofollow links,Text links,Image links,Form links,Frame links,Visits
team-2012.com,root_domain,6,247,137,152,209,38,243,4,0,0,0
barenakedapp.com,root_domain,5,1790,228,252,1460,330,1529,264,0,0,0
ebae.net,root_domain,4,603,183,146,552,51,509,67,0,0,116
fleshhunters.com,root_domain,2,5201,175,171,2201,2972,3091,2172,0,0,0
tytporn.com,root_domain,5,25855,974,970,3743,22238,23530,204,2,1109,0
is-nri.com,root_domain,4,971,277,130,903,70,951,13,0,0,0
hawaalbaherts.com,root_domain,6,9660,384,407,9010,634,9292,399,0,0,0
fbtest.net,root_domain,4,3874,210,166,3645,229,3826,39,0,0,0
fresnofoodexpo.com,root_domain,5,614,225,223,510,104,542,64,0,0,0
nanki-shirahama.net,root_domain,6,1424,297,308,1024,400,1361,62,0,0,0
songdownloadmp3free.com,root_domain,5,20132,368,264,19950,188,19641,452,0,0,0
aetayo.net,root_domain,5,1801,224,185,1676,127,515,1272,0,0,0
poweradenonstopseries.com,root_domain,5,1672,215,194,1616,63,1629,36,0,0,0
m-arriaga.net,root_domain,5,4845,1130,945,2513,2330,4620,109,0,6,0
jumorok.com,root_domain,4,1416,244,215,1082,329,1328,80,0,0,0
frapsforum.com,root_domain,5,869,250,229,436,432,860,2,0,0,0
marx2mao.net,root_domain,4,520,173,127,358,162,478,33,0,0,0
holalleida.com,root_domain,5,1825,222,197,1548,276,1782,69,0,0,0
24onlinesmi.com,root_domain,3,3331,358,309,2905,433,2772,559,0,0,0
earthpm.com,root_domain,5,790,238,196,688,102,689,92,0,0,83
bigaranxofficial.com,root_domain,5,624,176,168,284,340,608,6,0,0,0
peppercornpress.com,root_domain,3,786,372,312,625,161,738,41,0,0,0
animeviewer.net,root_domain,3,5347,689,260,5053,288,3723,1612,0,0,892
trrill.com,root_domain,4,11049,286,206,8847,2211,11013,40,0,0,0
vobss.com,root_domain,4,2329,776,563,1581,750,1227,1112,0,0,0
librly.com,root_domain,4,37293,200,181,29956,7753,38161,29,0,3,0
marvarid.net,root_domain,4,9554,731,366,9339,216,8820,241,1,0,0
penchinese.net,root_domain,4,765,185,207,448,317,762,3,0,0,0
quantumofsolace.com,root_domain,4,597,141,146,350,247,517,80,0,0,0
weeklyhealthnow.com,root_domain,2,192,112,95,167,26,176,17,0,0,0
buruxkak.org,root_domain,5,3583,119,131,3535,48,3582,1,0,0,0
freephpdirectoryscript.com,root_domain,2,543,145,152,366,177,442,101,0,0,0
gunsandammogarage.com,root_domain,4,218,128,135,174,44,210,8,0,0,0
castoroilhome.com,root_domain,6,275,159,157,186,89,272,4,0,0,0
climbagainstsexualabuse.com,root_domain,5,379,85,102,110,268,379,0,0,0,0
elephantstages.com,root_domain,4,5648,580,591,3576,2087,4900,764,0,0,655
wareaglebest.org,root_domain,2,440,106,112,165,275,438,2,0,0,0
daftarsatupoker.org,root_domain,2,2620,668,864,2602,18,2640,0,0,0,0
yayacanada.com,root_domain,3,2422,266,257,1049,1374,2419,14,0,0,0
vg-zone.net,root_domain,5,8329,618,396,5453,2880,7574,725,0,0,0
woahstork.com,root_domain,5,1447,327,362,930,518,1396,53,0,0,0
doingdevelopmentdifferently.com,root_domain,5,554,213,197,489,65,555,0,0,0,0
joyridelabs.de,root_domain,5,4933,251,283,4066,862,4265,687,0,0,79
cubismlaw.com,root_domain,5,1928,153,169,1845,83,1927,2,0,0,0
tifofootball.com,root_domain,6,2901,451,520,1191,1717,2863,44,0,1,45
flacheya.com,root_domain,2,138,118,90,110,28,103,35,0,0,513
dailyarticlenews.com,root_domain,8,21154,264,171,20995,155,21491,26,0,0,210
dallog.com,root_domain,2,7911,291,300,4169,3762,7926,13,0,0,0
talk2diabetes.com,root_domain,2,120,77,59,108,12,120,0,0,0,0
sos48.com,root_domain,6,27303,856,631,27008,290,27257,58,0,4,106
thedayafter-sy.org,root_domain,5,221,108,113,197,25,220,1,0,0,0
kolonin.org,root_domain,6,1495,139,154,1144,353,1488,10,0,0,0
perspolis-club.net,root_domain,4,7413,1247,1155,3958,3484,5920,1513,0,2,0
thinkingspain.com,root_domain,3,642,146,113,311,332,596,41,0,0,0
harvardarabweekend.org,root_domain,5,411,151,182,384,27,408,3,0,0,0
exercises4eyes.com,root_domain,4,229,150,154,149,80,225,4,0,0,100
maverick-arts.com,root_domain,4,1676,213,231,243,1434,1648,29,0,0,0
thatlitevideosite.com,root_domain,5,3566,409,424,3041,526,3572,19,0,0,286
synthesisradio.net,root_domain,2,1663,233,225,298,1366,1635,29,0,0,0
ajaxsketch.com,root_domain,5,1199,250,228,926,273,879,315,0,0,0
goodmeme.net,root_domain,5,431,196,161,329,101,383,36,0,0,72
jakartaq.com,root_domain,5,3690,463,571,3315,375,3647,43,0,0,7
wellnessketoz.com,root_domain,4,7319,840,443,3865,3430,7022,175,0,1,0
mayflowerblogs.com,root_domain,5,632,182,159,243,391,565,59,0,0,0
hackscheatss.com,root_domain,5,547,160,151,391,156,519,19,0,0,0
retributiongames.com,root_domain,4,640,257,238,405,235,597,35,0,0,0
fabbydeals.com,root_domain,4,804,185,170,714,90,780,10,0,0,0
traffictoplist.com,root_domain,3,4806,769,360,4017,790,4660,162,0,0,0
simenti.com,root_domain,3,9089,511,434,6128,2953,9037,74,0,0,0
schuberthnorthamerica.com,root_domain,5,26042,205,184,25865,180,22138,4092,0,0,0
spreebb.com,root_domain,4,7795,362,354,2638,5133,5176,2584,0,0,0
suregasltd.com,root_domain,2,233,127,87,167,66,195,29,0,0,0
lakshmifilms.com,root_domain,5,16694,502,679,15347,1353,16723,38,0,0,0
