Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
34,hirainbow.org,https://hirainbow.org/,https://ajblive.com/,socolive,8,5,false,false,false,true,false,false,false,false,2024-12-15,2024-12-15,false,false
31,Anthony Brown (gospel musician) - Wikipedia,https://en.wikipedia.org/wiki/Anthony_Brown_(gospel_musician),http://ajblive.com/,Official website,31,129,true,false,false,true,false,false,false,false,2024-12-17,2025-03-05,false,false
31,Anthony Brown (gospel musician) - Wikipedia,https://en.wikipedia.org/wiki/Anthony_Brown_(gospel_musician),http://ajblive.com/,ajblive .com,31,129,true,false,false,true,false,false,false,false,2024-12-17,2025-03-05,false,false
24,Über CTA (CTA) - Investing.com,https://de.investing.com/equities/cta-company-profile,https://ajblive.com/,www.vinavicogroup.com,7,347,true,false,false,true,false,false,false,false,2024-07-13,2025-01-14,false,true
24,الملف التعريفي لـCTA (CTA) - Investing.com,https://sa.investing.com/equities/cta-company-profile,https://ajblive.com/,www.vinavicogroup.com,7,345,true,false,false,true,false,false,false,false,2024-07-12,2025-01-13,false,true
24,Về CTA (CTA) - Investing.com,https://vn.investing.com/equities/cta-company-profile,https://ajblive.com/,www.vinavicogroup.com,7,331,true,false,false,true,false,false,false,false,2024-03-07,2025-01-15,false,true
22,,https://www.vinavicogroup.com/,https://ajblive.com/,,0,0,false,false,false,true,false,false,false,false,2024-04-30,2025-05-06,false,true
21,17th Annual Gospelfest | Boston.gov,https://www.boston.gov/calendar/17th-annual-gospelfest,http://www.ajblive.com/,Anthony Brown & group therAPy,5,46,false,false,false,true,false,false,false,false,2021-09-12,2025-05-24,false,false
18,Anthony Brown Concert Setlists | setlist.fm,https://www.setlist.fm/setlists/anthony-brown-4bc76b76.html,http://www.ajblive.com/,Official Homepage,12,161,false,false,false,true,false,false,false,false,2023-04-15,2025-03-13,false,false
17,Anthony J. Brown Concerts & Live Tour Dates: 2025-2026 Tickets | Bandsintown,https://www.bandsintown.com/a/3779069-anthony-j.-brown,http://ajblive.com/,,8,35,true,false,false,true,false,false,false,false,2023-04-21,2025-02-14,false,false
15,Live Makeup Tutorial Webinar | Smore Newsletters,https://secure.smore.com/n/80gn4-live-makeup-tutorial-webinar,http://www.ajblive.com/,www.AJblive.com,8,0,true,false,false,true,false,false,false,false,2024-08-06,2025-05-16,false,false
15,"Key of A Music, Inc. Tickets",https://winnerscircle.ticketleap.com/,http://ajblive.com/,ajblive.com,1,33,true,false,false,true,false,false,false,false,2023-04-15,2025-06-02,false,false
14,Grammy & Billboard Music Award Nominated Anthony Brown & Group therAPy Hit Billboard Top Ten,https://www.broadwayworld.com/bwwmusic/article/Grammy-Billboard-Music-Award-Nominated-Anthony-Brown-Group-therAPy-Hit-Billboard-Top-Ten-20190702,http://ajblive.com/,http://ajblive.com,12,250,false,false,false,true,false,false,false,false,2023-07-30,2025-05-18,false,false
13,Dayton native sings on Grammy-nominated song,https://www.daytondailynews.com/entertainment/personalities/dayton-native-sings-grammy-nominated-song/kLwICllXYad3BWT9ia1fiP/,http://ajblive.com/,"Anthony Brown and Group TherAPy,",20,81,false,false,false,true,false,false,false,false,2024-10-11,2025-06-05,false,false
13,"5 local Dayton ties to 2016 Academy Awards, Grammys",https://www.daytondailynews.com/news/local/local-dayton-ties-2016-academy-awards-grammys/4MOvQafQhcN8Omg3aBDAgN/,http://ajblive.com/,Anthony Brown and Group TherAPy,50,82,false,false,false,true,false,false,false,false,2024-10-28,2025-05-20,false,false
13,"5 local Dayton ties to 2016 Academy Awards, Grammys",https://www.daytondailynews.com/news/local/local-dayton-ties-2016-academy-awards-grammys/n38wbiys9fYjaO8m1QLjZN/,http://ajblive.com/,Anthony Brown and Group TherAPy,45,82,false,false,false,true,false,false,false,false,2024-11-12,2025-05-26,false,false
11,CTA: Hồ sơ doanh nghiệp | 24HMoney,https://24hmoney.vn/stock/CTA/profile,https://ajblive.com/,www.vinavicogroup.com,1,11,false,false,false,true,false,false,false,false,2024-03-06,2025-01-14,false,true
10,"Discover the link approach that pushes sales higher, visit SeoFlox.com",http://seoflox.io/o/lpaly-rank-website-on-first-page/,https://ajblive.com/,Got low authority? We fixed ajblive.com by using real site links on SeoFlox.com.,7000,1003,true,false,false,true,false,false,false,false,2025-03-19,2025-04-27,false,false
