Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
80,ICMJE | Journals stating that they follow the ICMJE Recommendations,https://www.icmje.org/journals-following-the-icmje-recommendations/,http://basicresearchjournals.org/,BASIC RESEARCH JOURNAL OF MEDICINE AND CLINICAL SCIENCES,8862,80,false,false,false,true,false,false,false,false,2024-12-09,2025-05-06,false,false
77,Beall's List – of Potential Predatory Journals and Publishers,https://beallslist.net/,http://basicresearchjournals.org/index.html,Basic Research Journals,1427,18,false,false,false,true,false,false,false,false,2024-11-25,2025-06-04,false,false
70,List of publishers - Scholarly Open Access 2024,https://scholarlyo.com/publishers/,http://basicresearchjournals.org/index.html,Basic Research Journals,835,116,true,false,false,true,false,false,false,false,2024-11-23,2025-06-05,false,false
58,List of Predatory Publishers 2014 - Scholarly Open Access 2024,https://scholarlyo.com/list-of-predatory-publishers-2014/,http://basicresearchjournals.org/index.html,Basic Research Journals,553,118,true,false,false,true,false,false,false,false,2024-11-25,2025-06-05,false,false
47,foryuou,https://foryupow.blogspot.com/,https://basicresearchjournals.org/,basicresearchjournals,50178,7,true,false,false,true,false,false,false,false,2024-11-21,2025-06-02,false,false
44,ICMJE | Journals stating that they follow the ICMJE Recommendations,https://icmje.acponline.org/journals-following-the-icmje-recommendations/,http://basicresearchjournals.org/,BASIC RESEARCH JOURNAL OF MEDICINE AND CLINICAL SCIENCES,8861,81,false,false,false,true,false,false,false,false,2024-05-14,2025-05-02,false,false
32,foryuou,https://foryupow.blogspot.com/%C2%A0,https://basicresearchjournals.org/,basicresearchjournals,50178,5,true,false,false,true,false,false,false,false,2025-03-13,2025-03-13,false,false
22,Research Tools: Beall's List of Predatory Journals and Publishers,http://researchtoolsbox.blogspot.com/2019/01/bealls-list-of-predatory-journals-and.html,http://basicresearchjournals.org/index.html,Basic Research Journals,1405,240,false,false,false,true,false,false,false,false,2024-12-04,2024-12-04,false,false
22,ICMJE | Journals stating that they follow the ICMJE Recommendations,https://icmje.org/journals-following-the-icmje-recommendations/,http://basicresearchjournals.org/,BASIC RESEARCH JOURNAL OF MEDICINE AND CLINICAL SCIENCES,8862,80,false,false,false,true,false,false,false,false,2024-12-17,2025-05-03,false,false
21,Argane Genetics and Genomics | SpringerLink,https://link.springer.com/chapter/10.1007/978-3-030-70420-9_7,http://www.basicresearchjournals.org/,http://www.basicresearchjournals.org,148,88,false,false,false,true,false,false,false,false,2024-08-07,2024-12-10,false,false
19,Classification models for predicting the source of gastrointestinal bleeding in the absence of hematemesis - Universiti Putra Malaysia Institutional Repository,http://psasir.upm.edu.my/id/eprint/30232/,http://www.basicresearchjournals.org/medicine/content/April-July%2013.html,http://www.basicresearchjournals.org/medicine/cont...,3,26,false,false,false,true,false,false,false,false,2024-08-22,2025-02-02,false,false
19,Лженаука и аферисты. Фальшивые научные журналы / Хабр,https://habr.com/ru/articles/399627/,http://basicresearchjournals.org/index.html,Basic Research Journals,1179,45,false,false,false,true,false,false,false,false,2025-01-03,2025-04-28,false,false
19,Using computer-assisted pronunciation teaching (CAPT) in English pronunciation instruction: A study on the impact and the Teacher’s role | Education and Information Technologies,https://link.springer.com/article/10.1007/s10639-019-10009-1,http://basicresearchjournals.org/education/abstract/Sadeghi.html,basicresearchjournals.org/education/abstract/Sadeghi.html,260,48,false,false,false,true,false,false,false,false,2024-09-16,2025-06-04,false,false
19,Detecting Hijacked Journals by Using Classification Algorithms | Science and Engineering Ethics,https://link.springer.com/article/10.1007/s11948-017-9914-2,http://www.basicresearchjournals.org/agric/agh.html,http://www.basicresearchjournals.org/agric/agh.html,158,56,false,false,false,true,false,false,false,false,2024-11-23,2025-05-24,false,false
19,Participación de los padres en el rendimiento académico de alumnos de primaria. Revisión de literatura,https://www.scielo.org.mx/scielo.php?pid=S2007-74672019000100868&script=sci_arttext,http://basicresearchjournals.org/education/abstract/Mante%20et%20al.html,http://basicresearchjournals.org/education/abstract/Mante%20et%20al.html,24,28,false,false,false,true,false,false,false,false,2024-12-31,2025-04-15,false,false
18,Publisher List 1,https://predatoryjournals.org/publisher-list-1,http://basicresearchjournals.org/index.html,Basic Research Journals,727,10,false,false,false,true,false,false,false,false,2024-12-04,2025-02-19,false,false
18,"Terminalia arjuna Benefits, How To Use, Research, Side Effects",https://www.easyayurveda.com/2014/12/15/terminalia-arjuna-benefits-how-to-use-research-side-effects/,http://basicresearchjournals.org/medicine/pdf/Javeed%20et%20al.pdf,Anti bacterial and antifungal activity,25,169,false,false,false,true,false,false,false,false,2024-12-03,2025-04-05,false,false
17,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://foresight-journal.hse.ru/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-06,2025-05-18,false,false
17,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://ojs.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-06,2025-05-18,false,false
17,Nhà xuất bản kém chất lượng | Khoa học - Công nghệ,https://science.tdtu.edu.vn/nha-xuat-ban-kem-chat-luong,http://basicresearchjournals.org/index.html,Basic Research Journals,1176,26,false,false,false,true,false,false,false,false,2024-12-10,2025-05-28,false,false
17,9 free Magazines from BASICRESEARCHJOURNALS.ORG,https://www.yumpu.com/user/basicresearchjournals.org,http://basicresearchjournals.org/,basicresearchjournals.org,11,63,true,false,false,true,false,false,false,false,2024-12-13,2025-05-16,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://cfjournal.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-20,2025-05-31,false,false
16,Publications in international peer reviewed Journals 2015 – CSG – Investigação em Ciências Sociais e Gestão/ISEG,https://csg.rc.iseg.ulisboa.pt/publications-in-international-peer-reviewed-journals-2015/,http://basicresearchjournals.org/agric/pdf/Abbas%20et%20al.pdf,"Abbas, M., Barros, C. Mosca, J. (2015). “The macroeconomy and agriculture in Mozambique”. Journal of Agricultural Science and Review 4(8), 256-264.",86,53,false,false,false,true,false,false,false,false,2024-07-14,2025-05-17,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://foresight-journal.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-20,2025-05-28,false,false
16,GMC Doda,https://gmcdoda.jk.gov.in/pharmocology.php,http://www.basicresearchjournals.org/,www.basicresearchjournals.org,18,40,false,false,false,true,false,false,false,false,2023-10-21,2025-04-01,false,false
16,,https://iag.puc-rio.br/custom/articles_list_items/page/52/,http://basicresearchjournals.org/business/pdf/Zeuli%20et%20al%20pdf.pdf,,9,8,false,false,false,false,false,false,true,false,2024-04-08,2025-02-25,false,true
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://jsps.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-13,2025-05-24,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://lida.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-13,2025-05-25,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://philosophy.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-09,2025-05-20,false,false
16,The list of not-funded-by-TDTU publishers | Khoa học - Công nghệ,https://science.tdtu.edu.vn/node/363,http://basicresearchjournals.org/index.html,Basic Research Journals,1176,26,false,false,false,true,false,false,false,false,2024-12-06,2025-05-27,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://usp.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-10,2025-05-23,false,false
16,How COVID-19 Pandemics Influences Chinese Economic Sustainability | Foresight and STI Governance,https://vo.hse.ru/index.php/foresight-journal/article/view/19253,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,https://www.basicresearchjournals.org/social%20political%20science/pdf/Lanjian%20and%20Wei.pdf,46,51,false,false,false,true,false,false,false,false,2025-04-09,2025-05-21,false,false
15,All Fake Journals: List of Bogus Journals. Fake Journals. Bogus Science i.e. Pseudoscience,http://allfakejournals.blogspot.com/2013/01/list-of-bogus-journals-fake-journals.html,http://basicresearchjournals.org/index.html,Basic Research Journals,260,12,false,false,false,true,false,false,false,true,2024-11-21,2025-05-04,false,false
15,"Rhodospirillum centenum, A New Growth Stimulant and Antagonistic Bacteria Against Leaf Spot of Rice Caused by Curvularia lunata | Vareeket | AGRIVITA Journal of Agricultural Science",https://agrivita.ub.ac.id/index.php/agrivita/article/view/2181,https://basicresearchjournals.org/agric/abstract/Tanusriet%20al.html,website,134,48,false,false,false,true,false,false,false,false,2024-10-26,2025-06-02,false,false
15,"Rhodospirillum centenum, A New Growth Stimulant and Antagonistic Bacteria Against Leaf Spot of Rice Caused by Curvularia lunata | Vareeket | AGRIVITA Journal of Agricultural Science",https://agrivita.ub.ac.id/index.php/agrivita/article/view/2181/0,https://basicresearchjournals.org/agric/abstract/Tanusriet%20al.html,website,134,48,false,false,false,true,false,false,false,false,2024-10-18,2025-06-05,false,false
15,Publicações em revistas internacionais com revisão pares 2015 – CSG – Investigação em Ciências Sociais e Gestão ISEG,https://csg.rc.iseg.ulisboa.pt/artigos-em-revistas-internacionais-com-revisao-por-pares/publicacoes-em-revistas-internacionais-com-revisao-pares-2015/,http://basicresearchjournals.org/agric/pdf/Abbas%20et%20al.pdf,"Abbas, M., Barros, C. Mosca, J. (2015). “The macroeconomy and agriculture in Mozambique”. Journal of Agricultural Science and Review 4(8), 256-264.",86,54,false,false,false,true,false,false,false,false,2024-07-03,2025-05-25,false,false
14,"Live cell therapy: historical aspects, mechanisms of action, safety and success stories - MedCrave online",http://medcraveonline.com/JSRT/live-cell-therapy-historical-aspects-mechanisms-of-action-safety-and-success-stories.html,https://basicresearchjournals.org/medicine/pdf/Dmitry%20et%20al.pdf,"Chan M, Wong M, Beguine A, et al. Efficacy of the MFIII placenta extracts softgels supplementation: a randomized double-blind placebocontrolled study. Basic Res J Med Clin Sci . 2016;5(4):86–95.",16,78,false,false,false,true,false,false,false,false,2024-12-06,2025-05-25,false,false
14,"Foreign language anxiety in online learning environments: Strategies and implications | Journal of Research, Policy & Practice of Teachers and Teacher Education",https://ejournal.upsi.edu.my/index.php/JRPPTTE/article/view/7953,http://www.basicresearchjournals.org/,http://www.basicresearchjournals.org,78,46,false,false,false,true,false,false,false,false,2024-07-26,2025-05-30,false,false
14,,https://iag.puc-rio.br/custom/articles_list_items/page/61/,http://basicresearchjournals.org/business/pdf/Zeuli%20et%20al%20pdf.pdf,,9,8,false,false,false,false,false,false,true,false,2025-02-25,2025-06-01,false,false
14,Pedro Lekiah Peekate's LiveDNA Profile,https://livedna.net/?dna=234.25688,http://basicresearchjournals.org/microbiology/pdf/Lekiah%20and%20Gideon.pdf,Direct Link,31,3,false,false,false,true,false,false,false,false,2024-05-24,2025-05-19,false,false
14,"Impact of invasive alien plant, Xanthium strumarium, on species diversity and composition of invaded plant communities in Borena zone, Ethiopia - MedCrave online",https://medcraveonline.com/BIJ/impact-of-invasive-alien-plant-xanthium-strumarium-on-species-diversity-and-composition-of-invaded-plant-communities-in-borena-zone-ethiopia.html,http://www.basicresearchjournals.org/agric/pdf/Lemma%20et%20al.pdf,"Berhanu Lemma, Taye Tessema, Rezene Fessehaie. Distribution, abundance and socio-economic impacts of invasive plant species (IPS) in Borana and Guji Zones of Oromia National Regional State, Ethiopia. Basic Res J Agri Sci . 2015;4(9):271‒279.",23,107,false,false,false,true,false,false,false,false,2024-12-07,2025-05-19,false,false
14,Necessary steps to establish a first-time pigeon farm - MedCrave online,https://medcraveonline.com/JDVAR/necessary-steps-to-establish-a-first-time-pigeon-farm.html,https://basicresearchjournals.org/agric/pdf/Kabir%20pdf.pdf,Kabir MA. Productivity of crossed indigenous pigeon in semi intensive system. Basic Res J Agric Sci & Rev . 2013a;2(1):1‒4.,11,94,false,false,false,true,false,false,false,false,2024-05-24,2025-05-17,false,false
