Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
48,All the ways recycling is broken—and how to fix them - Fast Company,https://www.fastcompany.com/90321566/all-the-ways-recycling-is-broken-and-how-to-fix-them,https://www.biocellection.com/,Biocellection,39,81,false,false,false,true,false,false,false,false,2024-05-06,2025-05-23,false,false
48,XTC 2018 - Meet the Top 25 Necker Island Hopefuls!,https://www.prnewswire.com/news-releases/xtc-2018---meet-the-top-25-necker-island-hopefuls-300535207.html,http://www.biocellection.com/,BioCellection Inc.,67,400,true,false,false,true,false,false,false,false,2025-05-03,2025-05-03,false,false
44,Only 14% of plastics are recycled – can tech innovation tackle the rest? | Guardian sustainable business | The Guardian,https://www.theguardian.com/sustainable-business/2017/feb/22/plastics-recycling-trash-chemicals-styrofoam-packaging,http://www.biocellection.com/,BioCellection,19,113,false,false,false,true,false,false,false,false,2024-11-19,2025-05-11,false,false
43,DigiTrain,https://digitrainc.blogspot.com/,https://biocellection.com/,biocellection,50171,7,true,false,false,true,false,false,false,false,2024-08-18,2025-06-05,false,false
36,Inventing New Ways to Solve Old Problems - The New York Times,https://www.nytimes.com/2018/05/24/business/inventing-new-ways-to-solve-old-problems.html,https://www.biocellection.com/,BioCellection,14,98,false,false,false,true,false,false,false,false,2024-05-01,2025-05-01,false,false
35,"A Solution to the Plastic Pollution Problem with Miranda Wang, 2019 ROLEX Awards for Enterprise Laureate - Mission Blue",https://missionblue.org/2019/07/a-solution-to-the-plastic-pollution-problem-with-miranda-wang-2019-rolex-awards-for-enterprise-laureate/,https://www.biocellection.com/,BioCellection,8,220,false,false,false,true,false,false,false,false,2022-11-11,2025-05-27,false,false
35,Start-up pioneers new plastic recycling method | CNN,https://www.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero/index.html,https://www.biocellection.com/what-we-do,supporters,18,151,false,false,false,true,false,false,false,false,2025-02-13,2025-04-21,false,false
35,Start-up pioneers new plastic recycling method | CNN,https://www.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero/index.html,https://www.biocellection.com/,BioCellection,18,151,false,false,false,true,false,false,false,false,2025-02-13,2025-04-21,false,false
32,24-Year-Old Creates Way to Stop Plastic From Getting Into the Ocean - Business Insider,https://www.businessinsider.com/how-to-stop-plastic-from-getting-into-ocean-2018-11,https://www.biocellection.com/,BioCellection,26,151,true,false,false,true,false,false,false,false,2024-09-05,2025-05-28,false,false
29,Start-up pioneers new plastic recycling method | CNN,https://edition.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero/index.html,https://www.biocellection.com/,BioCellection,12,139,false,false,false,true,false,false,false,false,2024-05-24,2024-12-23,false,false
29,Start-up pioneers new plastic recycling method | CNN,https://edition.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero/index.html,https://www.biocellection.com/what-we-do,supporters,12,139,false,false,false,true,false,false,false,false,2024-12-23,2024-12-23,false,false
28,In the Accelerator over the Sea | TechCrunch,https://techcrunch.com/2019/10/16/in-the-accelerator-over-the-sea/,https://www.biocellection.com/,Biocellection,35,68,true,false,false,true,false,false,false,false,2024-08-05,2025-05-31,false,false
28,Students Are Developing Bacteria That Eat Plastic Polluting Our Oceans : ScienceAlert,https://www.sciencealert.com/students-are-developing-a-bacteria-to-eat-the-plastic-pollution-in-the-oceans,http://www.biocellection.com/,BioCellection,16,25,false,false,false,true,false,false,false,false,2024-06-03,2025-05-27,false,false
28,A chemical breakthrough could eat the plastic pollution crisis | WIRED,https://www.wired.com/story/plastic-pollution-environment-chemical-process/,https://www.biocellection.com/,BioCellection,20,59,true,false,false,true,false,false,false,false,2024-12-07,2025-05-30,false,false
27,"Women Conquer Business - How to Create a Just World with Kelly Diels, Feminist Marketing Expert [Explicit]",https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5jYXB0aXZhdGUuZm0vd29tZW5jb25xdWVyYml6Lw==/episode/MjRkMmU1ZDItMjFkNS00NGNhLTk0NjEtMmQxNWJhMTQwN2Jh?ucbcb=1,https://www.biocellection.com/?ref=womenconquerbiz.com,BioCellection (chemical process for recycling),9,15,false,false,false,true,false,false,false,false,2024-03-27,2025-02-12,false,true
26,BioCellection’s Miranda Wang and Jeanny Yao aim to make treasure out of plastic trash,https://cen.acs.org/environment/recycling/BioCellection-Miranda-Wang-and-Jeanny-Yao-aim-to-make-treasure-out-of-plastic-trash/98/i9,https://www.biocellection.com/,BioCellection,10,107,false,false,false,true,false,false,false,false,2024-08-24,2025-06-05,false,false
26,"Women Conquer Business - How to Create a Just World with Kelly Diels, Feminist Marketing Expert [Explicit]",https://podcasts.google.com/feed/aHR0cHM6Ly9mZWVkcy5jYXB0aXZhdGUuZm0vd29tZW5jb25xdWVyYml6Lw==/episode/MjRkMmU1ZDItMjFkNS00NGNhLTk0NjEtMmQxNWJhMTQwN2Jh,https://www.biocellection.com/?ref=womenconquerbiz.com,BioCellection (chemical process for recycling),9,15,false,false,false,true,false,false,false,false,2024-02-21,2025-02-07,false,true
26,Our Plastics Glut Is An Environmental Nightmare -- And An $80 Billion Opportunity,https://www.forbes.com/sites/mikemontgomery/2017/03/25/our-plastics-glut-is-an-environmental-nightmare-and-an-80-billion-opportunity/,http://www.biocellection.com/,BioCellection,12,405,true,false,false,true,false,false,false,false,2025-01-30,2025-04-25,false,false
25,TagTeam :: Amazon should think outside the box - TechCrunch » Alexia Tsotsis - Staff Archive - #edutech,https://tagteam.harvard.edu/hub_feeds/2045/feed_items/3328267,http://www.biocellection.com/,BioCellection,24,16,false,false,false,true,false,false,false,false,2024-09-25,2025-02-23,false,false
25,Start-up pioneers new plastic recycling method | CNN,https://www.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero,https://www.biocellection.com/,BioCellection,18,151,false,false,false,true,false,false,false,false,2025-06-01,2025-06-01,true,false
25,Start-up pioneers new plastic recycling method | CNN,https://www.cnn.com/2018/03/09/world/miranda-wang-tomorrows-hero,https://www.biocellection.com/what-we-do,supporters,18,151,false,false,false,true,false,false,false,false,2025-06-01,2025-06-01,true,false
23,MIT Solve | BioCellection - Solver Spotlight | Circular Economy Solver | BioCellection,https://aws.solve.mit.edu/challenges/circular-economy/solutions/10183,https://www.biocellection.com/,https://www.biocellection.com/,9,67,false,false,false,true,false,false,false,false,2024-05-05,2025-03-15,false,false
23,VC Looks To Make Another Try At Cleantech In Silicon Valley,https://www.forbes.com/sites/phillipkeys/2016/12/20/vc-looks-to-make-another-try-at-cleantech-in-silicon-valley/,http://www.biocellection.com/,BioCellection,30,411,true,false,false,true,false,false,false,false,2024-12-02,2025-05-22,false,false
22,Extreme Tech Challenge Announces Top 10 Semi-Finalists to Present at CES® 2018 | Markets Insider,https://markets.businessinsider.com/news/stocks/extreme-tech-challenge-announces-top-10-semi-finalists-to-present-at-ces-2018-1007501119,http://www.biocellection.com/,BioCellection Inc.,48,95,true,false,false,true,false,false,false,false,2024-11-27,2025-02-14,false,false
22,MIT Solve | BioCellection - Solver Spotlight | Circular Economy Solver | BioCellection,https://solve.mit.edu/challenges/circular-economy/solutions/10183,https://www.biocellection.com/,https://www.biocellection.com/,9,67,false,false,false,true,false,false,false,false,2024-06-04,2024-12-31,false,false
22,MIT Solve | BioCellection - Overview | Circular Economy Solver | BioCellection,https://solve.mit.edu/challenges/circular-economy/solutions/10183/application,https://www.biocellection.com/,https://www.biocellection.com,9,72,false,false,false,true,false,false,false,false,2024-01-27,2025-01-20,false,true
22,TagTeam :: Amazon should think outside the box - TechCrunch » Alexia Tsotsis - Staff Archive - #edutech,https://tagteam.harvard.edu/hub_feeds/2045/feed_items/2396568,http://www.biocellection.com/,BioCellection,24,16,false,false,false,true,false,false,false,false,2025-02-13,2025-02-13,false,false
22,The Doers: Trailblazers Creating Hope and Inspiring Us - Business Insider,https://www.businessinsider.com/doers-list-trailblazers-creating-hope-and-inspiring-2020-8,https://www.biocellection.com/tpu,thermoplastic polyurethane,102,161,true,false,false,true,false,false,false,false,2024-08-16,2025-06-02,false,false
22,The Doers: Trailblazers Creating Hope and Inspiring Us - Business Insider,https://www.businessinsider.com/doers-list-trailblazers-creating-hope-and-inspiring-2020-8,https://www.biocellection.com/,BioCellection,102,161,true,false,false,true,false,false,false,false,2024-09-21,2025-06-02,false,false
22,MIT Solve | BioCellection - Solver Spotlight | Circular Economy Solver | BioCellection,https://www.solve.mit.edu/challenges/circular-economy/solutions/10183,https://www.biocellection.com/,https://www.biocellection.com/,9,67,false,false,false,true,false,false,false,false,2024-11-23,2025-01-07,false,false
22,MIT Solve | BioCellection - Overview | Circular Economy Solver | BioCellection,https://www.solve.mit.edu/challenges/circular-economy/solutions/10183/application,https://www.biocellection.com/,https://www.biocellection.com,9,72,false,false,false,true,false,false,false,false,2024-08-22,2024-12-28,false,false
21,MIT Solve | BioCellection - Overview | Circular Economy Solver | BioCellection,https://aws.solve.mit.edu/challenges/circular-economy/solutions/10183/application,https://www.biocellection.com/,https://www.biocellection.com,9,72,false,false,false,true,false,false,false,false,2024-12-15,2025-03-27,false,false
21,MIT Solve,https://solve.mit.edu/solutions/9360,https://www.biocellection.com/,https://www.biocellection.com/,5,55,false,false,false,true,false,false,false,false,2025-01-21,2025-05-29,false,false
21,Amazon should think outside the box | TechCrunch,https://techcrunch.com/2016/10/04/amazon-should-think-outside-the-box/,http://www.biocellection.com/,BioCellection,35,87,true,false,false,true,false,false,false,false,2024-12-18,2025-05-27,false,false
21,wownews,https://wownews.at/,https://www.biocellection.com/innovation,"Studentinnen entwickeln innovatives Verfahren, um aus Altplastik wieder wertvolle Rohstoffe zu gewinnen",213,1,false,false,false,true,false,false,false,false,2025-05-17,2025-05-30,true,false
21,画期的なアイデアで環境問題を解決！ 社会を変えるミレニアルズ起業家たち,https://www.elle.com/jp/culture/career/g33209435/changemakers-200708/,http://www.biocellection.com/,www.biocellection.com,42,41,true,false,false,true,false,false,false,false,2024-11-20,2025-05-06,false,false
20,"Jeanny Yao, Co-Founder of BioCellection, Talks Sustainability and Humanity - The Center for Social Impact Strategy",https://csis.upenn.edu/news/jeanny-yao-co-founder-of-biocellection-talks-sustainability-and-humanity/,https://www.biocellection.com/,BioCellection,7,20,false,false,false,true,false,false,false,false,2024-05-14,2025-06-01,false,false
20,Wharton Business Plan Competition Perlman Grand Prize Winner BioCellection is Cleaning the Oceans with Bioengineered Bacteria - News,https://news.wharton.upenn.edu/press-releases/2016/04/wharton-business-plan-competition-perlman-grand-prize-winner-biocellection-is-cleaning-the-oceans-with-bioengineered-bacteria/,http://www.biocellection.com/,BioCellection,17,60,false,false,false,true,false,false,false,false,2024-08-18,2025-01-24,false,false
20,Toyota Recognizes Outstanding Women at the 10th Annual Women in the World Summit - Toyota USA Newsroom,https://pressroom.toyota.com/toyota-recognizes-outstanding-women-at-the-10th-annual-women-in-the-world-summit/,https://www.biocellection.com/,BioCellection,41,142,false,false,false,true,false,false,false,false,2024-09-27,2025-05-26,false,false
20,"Miranda, la giovane scienziata nemica della plastica: ha scoperto come combattere l'inquinamento",https://scienze.fanpage.it/miranda-la-giovane-scienziata-nemica-della-plastica-ha-scoperto-come-combattere-linquinamento/,https://www.biocellection.com/innovation/,un nuovo sistema,11,52,true,false,false,true,false,false,false,false,2024-11-25,2025-05-18,false,false
20,Young scientists from Vancouver take aim at hard-to-recycle plastics | CTV News,https://www.ctvnews.ca/sci-tech/young-scientists-from-vancouver-take-aim-at-hard-to-recycle-plastics-1.3983713,https://www.biocellection.com/,BioCellection,12,54,false,false,false,true,false,false,false,false,2024-12-05,2024-12-05,false,false
20,Young scientists from Vancouver take aim at hard-to-recycle plastics | CTV News,https://www.ctvnews.ca/sci-tech/young-scientists-from-vancouver-take-aim-at-hard-to-recycle-plastics-1.3983713?cache,https://www.biocellection.com/,BioCellection,12,53,false,false,false,true,false,false,false,false,2024-12-05,2024-12-05,false,false
19,Air-conditioning without electricity - by Venu Gopal Nair,https://ideascape.substack.com/p/air-conditioning-without-electricity,https://www.biocellection.com/,Biocellection,4,20,false,false,false,true,false,false,false,false,2024-05-21,2025-06-03,false,false
19,"Jeanny Yao, Co-Founder of BioCellection, Talks Sustainability and Humanity - The Center for Social Impact Strategy",https://test.csis.upenn.edu/news/jeanny-yao-co-founder-of-biocellection-talks-sustainability-and-humanity/,https://www.biocellection.com/,BioCellection,7,20,false,false,false,true,false,false,false,false,2024-10-09,2025-05-17,false,false
19,⚡Burning Trees - Tomorrow,https://tomorrow.substack.com/p/burning-trees,https://www.biocellection.com/,Biocellection,24,13,false,false,false,true,false,false,false,false,2024-12-23,2025-05-27,false,false
19,⚡Chocolate - Tomorrow,https://tomorrow.substack.com/p/chocolate,https://www.biocellection.com/,BioCellection,26,12,false,false,false,true,false,false,false,false,2024-09-26,2025-05-20,false,false
19,⚡Unconventional Activist - Tomorrow,https://tomorrow.substack.com/p/unconventional-activist,https://www.biocellection.com/,innovative recycling processes,9,11,false,false,false,true,false,false,false,false,2024-12-05,2025-05-20,false,false
19,Miranda Wang — Institute of the Environment and Sustainability at UCLA,https://www.ioes.ucla.edu/person/miranda-wang/,https://www.biocellection.com/,BioCellection,15,49,false,false,false,true,false,false,false,false,2024-07-28,2025-06-03,false,false
18,BioCellection’s Miranda Wang and Jeanny Yao aim to make treasure out of plastic trash,https://cendevqa.acs.org/environment/recycling/BioCellection-Miranda-Wang-and-Jeanny-Yao-aim-to-make-treasure-out-of-plastic-trash/98/i9,https://www.biocellection.com/,BioCellection,13,93,false,false,false,true,false,false,false,false,2025-03-17,2025-06-02,false,false
18,"Jeanny Yao, Co-Founder of BioCellection, Talks Sustainability and Humanity |",https://dev.csis.upenn.edu/news/jeanny-yao-co-founder-of-biocellection-talks-sustainability-and-humanity/,https://www.biocellection.com/,BioCellection,7,19,false,false,false,true,false,false,false,false,2024-07-04,2025-05-27,false,false
18,Biotech Innovation That Breaks Down Plastic and Feeds the Fish - Wharton Global Youth Program,https://globalyouth.wharton.upenn.edu/articles/videos/biotech-innovation-that-breaks-down-plastic-and-feeds-the-fish/,http://biocellection.com/,BioCellection,8,243,false,false,false,true,false,false,false,false,2024-05-16,2025-05-30,false,false
18,How BioCellection Is Breaking 'Unrecyclable' Plastics into Building Blocks,https://mackinstitute.wharton.upenn.edu/2019/biocellection-miranda-wang/,https://www.biocellection.com/,BioCellection,8,91,false,false,false,true,false,false,false,false,2024-08-07,2025-05-23,false,false
18,Ticker - Wharton Magazine,https://magazine.wharton.upenn.edu/issues/fall-2016/ticker/,http://www.biocellection.com/,BioCellection,10,75,false,false,false,true,false,false,false,false,2024-05-04,2025-06-02,false,false
18,"Wharton Business Plan Competition Announces “Great Eight” Finalists Including: Plastic-Eating Bacteria, Real Estate Investment in Africa, an App to Stop Drunk Driving - News",https://news.wharton.upenn.edu/press-releases/2016/04/wharton-business-plan-competition-announces-great-eight-finalists-including-plastic-eating-bacteria-real-estate-investment-in-africa-an-app-to-stop-drunk-driving/,http://biocellection.com/,BioCellection Inc.,17,61,false,false,false,true,false,false,false,false,2024-12-01,2025-05-21,false,false
