Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
49,Choked Pipes - Reforming Pakistan's Mixed Health System - Dr. Sania Nishtar,http://www.sanianishtar.info/choked-pipes/,http://www.bluechipmag.com/bc/content_detail.php?content=313,Rev_CP_BC1_thumb,66,89,false,false,false,false,false,false,true,false,2024-12-22,2024-12-22,false,false
47,smart-smi,https://smart-smi.blogspot.com/,https://bluechipmag.com/,bluechipmag,50176,7,true,false,false,true,false,false,false,false,2024-08-25,2025-06-03,false,false
45,Alejandro Bulgheroni - Wikipedia,https://en.wikipedia.org/wiki/Alejandro_Bulgheroni,http://www.bluechipmag.com/bc/content_detail.php?content=64,the original,30,116,true,false,false,true,false,false,false,false,2024-12-13,2024-12-13,false,false
43,Sania Nishtar - Wikipedia,https://en.wikipedia.org/wiki/Sania_Nishtar,http://bluechipmag.com/choked-pipes-book-review/,"""Choked Pipes – book review Blue Chip Magazine""",204,559,true,false,false,true,false,false,false,false,2024-07-13,2025-02-17,false,false
36,Carlos Bulgheroni - Wikipedia,https://en.wikipedia.org/wiki/Carlos_Bulgheroni,http://www.bluechipmag.com/bc/content_detail.php?content=64,the original,28,144,true,false,false,true,false,false,false,false,2025-03-12,2025-03-12,false,false
33,smart-smi,https://smart-smi.blogspot.com/files/textes/droits_usage.html,https://bluechipmag.com/,bluechipmag,50176,5,true,false,false,true,false,false,false,false,2025-04-05,2025-04-05,false,false
32,Francis Bacon (nghệ sĩ) – Wikipedia tiếng Việt,https://vi.wikipedia.org/wiki/Francis_Bacon_(ngh%E1%BB%87_s%C4%A9),http://bluechipmag.com/bacon-painter-with-a-double-edged-sword/,available online,28,208,true,false,false,true,false,false,false,false,2024-10-16,2025-05-02,false,false
31,"Sania Nishtar - Viquipèdia, l'enciclopèdia lliure",https://ca.wikipedia.org/wiki/Sania_Nishtar,http://bluechipmag.com/choked-pipes-book-review/,Choked Pipes – book review Blue Chip Magazine,229,581,true,false,false,true,false,false,false,false,2024-08-21,2025-04-26,false,false
29,ARY Film Awards - Wikipedia,https://en.wikipedia.org/wiki/ARY_Film_Awards,http://bluechipmag.com/ary-digital-network-always-remembering-you/,the original,50,399,true,false,false,true,false,false,false,false,2024-10-03,2025-05-12,false,false
28,יחסי פולין–פקיסטן – ויקיפדיה,https://he.wikipedia.org/wiki/%D7%99%D7%97%D7%A1%D7%99_%D7%A4%D7%95%D7%9C%D7%99%D7%9F%E2%80%93%D7%A4%D7%A7%D7%99%D7%A1%D7%98%D7%9F,http://www.bluechipmag.com/bc/content_detail.php?content=60,המקור,30,603,true,false,false,true,false,false,false,false,2024-11-30,2025-05-17,false,false
27,"ਸਲੀਮਾ ਹਾਸ਼ਮੀ - ਵਿਕੀਪੀਡੀਆ, ਇਕ ਅਜ਼ਾਦ ਵਿਸ਼ਵਗਿਆਨਕੋਸ਼",https://pa.wikipedia.org/wiki/%E0%A8%B8%E0%A8%B2%E0%A9%80%E0%A8%AE%E0%A8%BE_%E0%A8%B9%E0%A8%BE%E0%A8%B8%E0%A8%BC%E0%A8%AE%E0%A9%80,http://www.bluechipmag.com/bc/post_detail.php?post=33,the original,24,94,true,false,false,true,false,false,false,false,2024-06-22,2025-05-29,false,false
27,جمشید مارکر - آزاد دائرۃ المعارف، ویکیپیڈیا,https://ur.wikipedia.org/wiki/%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D9%85%D8%A7%D8%B1%DA%A9%D8%B1,http://www.bluechipmag.com/bc/content_detail.php?content=681,"Soraiya Qadir, ""Quiet Diplomacy by Jamsheed Marker""، Blue Chip: The Business People's Magazine ۔",52,277,true,false,false,true,false,false,false,false,2024-08-31,2025-05-31,false,false
26,University shows how immigration peps up the UK economy | Bradford | The Guardian,https://www.theguardian.com/uk/the-northerner/2012/dec/06/immigrants-bradford-business-mumtaz-james-caan-sir-anwar-pervez,http://www.bluechipmag.com/bc/content_detail.php?content=388,Sir Anwar Pervez,17,110,false,false,false,true,false,false,false,false,2024-12-21,2025-04-04,false,false
25,"Sania Nishtar - Wikipedia, la enciclopedia libre",https://es.wikipedia.org/wiki/Sania_Nishtar,http://bluechipmag.com/choked-pipes-book-review/,«Choked Pipes – book review Blue Chip Magazine»,196,421,true,false,false,true,false,false,false,false,2025-03-11,2025-03-11,false,false
24,جمشید مارکر - وکیپیڈیا,https://pnb.wikipedia.org/wiki/%D8%AC%D9%85%D8%B4%DB%8C%D8%AF_%D9%85%D8%A7%D8%B1%DA%A9%D8%B1,http://www.bluechipmag.com/bc/content_detail.php?content=681,"Soraiya Qadir, ""Quiet Diplomacy by Jamsheed Marker""، Blue Chip: The Business People's Magazine ۔",50,228,true,false,false,true,false,false,false,false,2024-08-20,2025-05-29,false,false
24,"Alejandro Bulgheroni – Wikipédia, a enciclopédia livre",https://pt.wikipedia.org/wiki/Alejandro_Bulgheroni,http://www.bluechipmag.com/bc/content_detail.php?content=64,original,19,91,true,false,false,true,false,false,false,false,2025-01-01,2025-04-25,false,false
22,smart-smi,https://smart-smi.blogspot.com/hot/,https://bluechipmag.com/,bluechipmag,50176,5,true,false,false,true,false,false,false,false,2025-03-22,2025-03-22,false,false
17,smart-smi,https://smart-smi.blogspot.com/lostpassword.seam,https://bluechipmag.com/,bluechipmag,50176,5,true,false,false,true,false,false,false,false,2025-04-20,2025-04-20,false,false
15,The road to a stable Afghanistan is through…the Pakistani countryside? – Foreign Policy,https://foreignpolicy.com/2012/04/27/the-road-to-a-stable-afghanistan-is-through-the-pakistani-countryside/,http://www.bluechipmag.com/bc/content_detail.php?content=572,staggering success rate,25,216,false,false,false,true,false,false,false,false,2024-08-02,2025-05-24,false,false
