Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
49,Determinants of modern contraceptive use among sexually active men in Kenya | Reproductive Health | Full Text,https://reproductive-health-journal.biomedcentral.com/articles/10.1186/s12978-017-0316-3,http://www.healthpolicyinitiative.com/Publications/Documents/1247_1_Achieving_Equity_for_Poor_in_Kenya_brief_FINAL_acc.pdf,http://www.healthpolicyinitiative.com/Publications/Documents/1247_1_Achieving_Equity_for_Poor_in_Kenya_brief_FINAL_acc.pdf,125,112,false,false,false,true,false,false,false,false,2024-11-18,2025-05-27,false,false
47,Health and ageing in Nairobi’s informal settlements-evidence from the International Network for the Demographic Evaluation of Populations and Their Health (INDEPTH): a cross sectional study | BMC Public Health | Full Text,https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-015-2556-x,http://www.healthpolicyinitiative.com/Publications/Documents/1096_1_kenya_brief_FINAL_4_15_10_acc.pdf,http://www.healthpolicyinitiative.com/Publications/Documents/1096_1_kenya_brief_FINAL_4_15_10_acc.pdf,120,116,false,false,false,true,false,false,false,false,2024-08-27,2025-05-31,false,false
47,rtpteam,https://rtpteamx.blogspot.com/,https://healthpolicyinitiative.com/,healthpolicyinitiative,50176,3,true,false,false,true,false,false,false,false,2024-09-07,2025-06-04,false,false
42,rtpteam,https://rtpteamx.blogspot.com/%C2%A0,https://healthpolicyinitiative.com/,healthpolicyinitiative,50176,4,true,false,false,true,false,false,false,false,2024-12-09,2025-04-08,false,false
42,Avenir Health,https://www.avenirhealth.org/,http://www.healthpolicyinitiative.com/index.cfm?id=aboutCosting,USAID Health Policy Tools,17,27,false,false,false,false,false,false,true,false,2024-10-20,2025-05-13,false,false
34,rtpteam,https://rtpteamx.blogspot.com/files/textes/droits_usage.html,https://healthpolicyinitiative.com/,healthpolicyinitiative,50176,5,true,false,false,true,false,false,false,false,2025-03-13,2025-03-13,false,false
33,Міжстегновий секс — Вікіпедія,https://uk.wikipedia.org/wiki/%D0%9C%D1%96%D0%B6%D1%81%D1%82%D0%B5%D0%B3%D0%BD%D0%BE%D0%B2%D0%B8%D0%B9_%D1%81%D0%B5%D0%BA%D1%81,http://www.healthpolicyinitiative.com/Publications/Documents/491_1_VCT_Guide_u_.pdf,оригіналу,35,382,true,false,false,true,false,false,false,false,2024-10-10,2025-03-30,false,false
30,"Assessing the cost-effectiveness of contraceptive methods from a health provider perspective: case study of Kiambu County Hospital, Kenya | Reproductive Health | Full Text",https://reproductive-health-journal.biomedcentral.com/articles/10.1186/s12978-021-01308-3,http://www.healthpolicyinitiative.com/Publications/Documents/1189_1_1189_1_Kenya_Brief_FINAL_7_12_10_acc.pdf,http://www.healthpolicyinitiative.com/Publications/Documents/1189_1_1189_1_Kenya_Brief_FINAL_7_12_10_acc.pdf,169,111,false,false,false,true,false,false,false,false,2024-08-23,2025-05-27,false,false
25,"Knowledge, attitudes and practices regarding HIV/AIDS among senior secondary school students in Fako Division, South West Region, Cameroon | BMC Public Health | Full Text",https://bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-016-3516-9,http://www.healthpolicyinitiative.com/Publications/Documents/1250_1_Cameroon_EN_Singles_Reduced_acc.pdf,www.healthpolicyinitiative.com/Publications/Documents/1250_1_Cameroon_EN_Singles_Reduced_acc.pdf,89,95,false,false,false,true,false,false,false,false,2024-11-06,2025-05-21,false,false
24,Disaster management and the role of the community health nurse | Nursing homework help,https://www.sweetstudy.com/files/textbook-pdf-5511067,http://www.healthpolicyinitiative.com/Publications/Documents/1288_1_PEPFAR_GBV_Community_Engagement_FINAL_acc.pdf,http://www.healthpolicyinitiative.com/Publications/Documents/1288_1_PEPFAR_GBV_Community_Engagement_FINAL_acc.pdf,1056,123,true,false,false,true,false,false,false,false,2024-11-20,2025-05-01,false,false
