Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
54,Haskell in industry - HaskellWiki,https://wiki.haskell.org/Haskell_in_industry,http://joyridelabs.de/game/,Joyride Laboratories,193,38,true,false,false,true,false,false,false,false,2024-05-27,2025-04-06,false,false
52,"Spiel für Linux, Mac OS X und Windows: Nikki and the Robots - bestimme den Preis selbst » Bitblokes | Linux | Spiele | Streaming | VPN | Open-Source | Server",https://www.bitblokes.de/spiel-fur-linux-mac-os-x-und-windows-nikki-and-the-robots-bestimme-den-preis-selbst/,http://joyridelabs.de/game/download/,Download-Seite,9,78,true,false,false,true,false,false,false,false,2024-05-21,2025-05-18,false,false
52,"Spiel für Linux, Mac OS X und Windows: Nikki and the Robots - bestimme den Preis selbst » Bitblokes | Linux | Spiele | Streaming | VPN | Open-Source | Server",https://www.bitblokes.de/spiel-fur-linux-mac-os-x-und-windows-nikki-and-the-robots-bestimme-den-preis-selbst/,http://buy.joyridelabs.de/,http://buy.joyridelabs.de/,9,78,true,false,false,true,false,false,false,false,2023-06-11,2025-05-18,false,false
47,PubLitz,https://publitzx.blogspot.com/,https://joyridelabs.de/,joyridelabs,49916,7,true,false,false,true,false,false,false,false,2024-04-18,2025-06-03,false,false
46,Real world Haskell programming - Stack Overflow,https://stackoverflow.com/questions/1113226/real-world-haskell-programming,http://joyridelabs.de/,Nikki and the Robots,105,107,false,false,false,true,false,false,false,false,2024-12-23,2024-12-23,false,false
32,PubLitz,https://publitzx.blogspot.com/%C2%A0,https://joyridelabs.de/,joyridelabs,49916,5,true,false,false,true,false,false,false,false,2025-02-27,2025-02-27,false,false
29,Haskell in industry - HaskellWiki,http://wiki.haskell.org/Haskell_in_industry,http://joyridelabs.de/game/,Joyride Laboratories,193,38,true,false,false,true,false,false,false,false,2024-05-28,2025-04-17,false,false
29,Applications and libraries/Games - HaskellWiki,https://wiki.haskell.org/Applications_and_libraries/Games,http://joyridelabs.de/game/,Nikki and the Robots,79,77,true,false,false,true,false,false,false,false,2024-05-09,2025-04-17,false,false
26,Peach nerdz no hero | A Podcast about games without sexism and stuff,http://peachnerdznohero.podcast-kombinat.de/,http://joyridelabs.de/game/,Nikki and the Robots,112,43,false,false,false,true,false,false,false,false,2024-04-04,2025-05-28,false,false
24,World building miscellany · GitHub,https://gist.github.com/ChairGraveyard/f8bb784ec718762cf5648d23d48d4eaf,http://joyridelabs.de/game/code/,Nikki,167,81,true,false,false,true,false,false,false,false,2025-01-04,2025-05-03,false,false
24,World building miscellany · GitHub,https://gist.github.com/brendanzab/3792143,http://joyridelabs.de/game/code/,Nikki,168,86,true,false,false,true,false,false,false,false,2024-06-18,2025-05-30,false,false
22,Lounge<C++> - 2012-06-14 (page 2 of 10),https://chat.stackoverflow.com/transcript/10/2012/6/14/5-10,http://joyridelabs.de/blog/?p=391,joyridelabs.de/blog/?p=391,29,430,true,false,false,true,false,false,false,false,2024-04-14,2024-12-31,false,false
22,Nikki and the Robots - Download,https://nikki-and-the-robots.de.softonic.com/,http://joyridelabs.de/,Joyride Labaratories,24,202,true,false,false,true,false,false,false,false,2023-06-16,2025-06-04,false,false
22,Nikki and the Robots - Download,https://nikki-and-the-robots.de.softonic.com/,http://www.joyridelabs.de/,Joyride Laboratories,24,202,false,false,false,true,false,false,false,false,2023-06-16,2025-06-04,false,false
22,PubLitz,https://publitzx.blogspot.com/hot/,https://joyridelabs.de/,joyridelabs,49916,5,true,false,false,true,false,false,false,false,2023-06-02,2025-03-27,false,false
22,c++ - Язык программирования для разработки игр - Stack Overflow на русском,https://ru.stackoverflow.com/questions/12634/%D0%AF%D0%B7%D1%8B%D0%BA-%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F-%D0%B4%D0%BB%D1%8F-%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B8-%D0%B8%D0%B3%D1%80,http://joyridelabs.de/game/,Nikki and the Robots,47,154,false,false,false,true,false,false,false,false,2023-09-24,2025-01-15,false,false
21,Nikki and the Robots : Story Episode 1 – Databáze-her.cz,https://www.databaze-her.cz/hry/nikki-and-the-robots--story-episode-1/,http://joyridelabs.de/blog/?p=1557,Vývoj ukončen.,8,51,false,false,false,true,false,false,false,false,2023-05-24,2025-05-21,false,false
19,/srv/irclogs.ubuntu.com/2011/07/28/#ubuntu-cn.txt,https://irclogs.ubuntu.com/2011/07/28/%23ubuntu-cn.html,http://joyridelabs.de/game/download/,http://joyridelabs.de/game/download/,71,733,true,false,false,true,false,false,false,false,2024-06-03,2025-04-15,false,false
19,/srv/irclogs.ubuntu.com/2011/09/21/#ubuntu-cn.txt,https://irclogs.ubuntu.com/2011/09/21/%23ubuntu-cn.html,http://joyridelabs.de/game/,http://joyridelabs.de/game/,37,530,true,false,false,true,false,false,false,false,2024-05-06,2025-05-04,false,false
19,/srv/irclogs.ubuntu.com/2011/11/27/#ubuntu-cn.txt,https://irclogs.ubuntu.com/2011/11/27/%23ubuntu-cn.html,http://joyridelabs.de/game/download/,http://joyridelabs.de/game/download/,63,631,true,false,false,true,false,false,false,false,2024-05-17,2025-05-18,false,false
18,/srv/irclogs.ubuntu.com/2012/09/20/#ubuntu-cn.txt,https://irclogs.ubuntu.com/2012/09/20/%23ubuntu-cn.html,http://buy.joyridelabs.de/,http://buy.joyridelabs.de/,50,485,true,false,false,true,false,false,false,false,2023-05-31,2025-05-21,false,false
17,"Search Results: ""waldi""",https://planet-search.debian.org/cgi-bin/search.cgi?terms=%22waldi%22,http://joyridelabs.de/,Nikki and the Robots,40,8,false,false,false,true,false,false,false,false,2024-05-21,2025-05-17,false,false
17,Articles - Joyride Laboratories - ModDB,https://www.moddb.com/company/joyride-laboratories/articles,http://www.joyridelabs.de/,Joyridelabs.de,7,146,false,false,false,true,false,false,false,false,2025-01-24,2025-01-24,false,false
17,Downloads - Joyride Laboratories - ModDB,https://www.moddb.com/company/joyride-laboratories/downloads,http://www.joyridelabs.de/,Joyridelabs.de,7,125,false,false,false,true,false,false,false,false,2024-07-07,2025-04-20,false,false
17,Games - Joyride Laboratories - ModDB,https://www.moddb.com/company/joyride-laboratories/games,http://www.joyridelabs.de/,Joyridelabs.de,7,103,false,false,false,true,false,false,false,false,2024-07-07,2025-04-20,false,false
17,Members - Joyride Laboratories - ModDB,https://www.moddb.com/company/joyride-laboratories/members,http://www.joyridelabs.de/,Joyridelabs.de,7,97,false,false,false,true,false,false,false,false,2024-06-14,2025-03-28,false,false
17,"Nikki and the Robots Windows, Mac, Linux game - ModDB",https://www.moddb.com/games/nikki-and-the-robots,http://joyridelabs.de/blog/?p=1570,Joyridelabs.de,40,228,true,false,false,true,false,false,false,false,2024-03-24,2025-01-18,false,true
17,"Nikki and the Robots Windows, Mac, Linux game - ModDB",https://www.moddb.com/games/nikki-and-the-robots,http://joyridelabs.de/greenlight,Joyridelabs.de,40,228,true,false,false,true,false,false,false,false,2024-03-24,2025-01-18,false,true
17,Nikki and the Robots 1.0 Linux 32bit file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-10-linux-32bit,http://www.joyridelabs.de/game/,Joyridelabs.de,8,122,false,false,false,true,false,false,false,false,2024-09-25,2025-03-15,false,false
17,Nikki and the Robots 1.0 Linux 64bit file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-10-linux-64bit,http://www.joyridelabs.de/game/,Joyridelabs.de,8,121,false,false,false,true,false,false,false,false,2024-07-01,2025-01-01,false,false
17,Nikki and the Robots 1.0 Mac OS X file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-10-mac-os-x,http://www.joyridelabs.de/game/,Joyridelabs.de,8,109,false,false,false,true,false,false,false,false,2024-09-25,2025-03-17,false,false
17,OLD Nikki and the Robots - 0.3 - Mac OS X file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-alpha-03-mac-os-x,http://www.joyridelabs.de/game/,Joyridelabs.de,8,127,false,false,false,true,false,false,false,false,2024-08-15,2025-01-25,false,false
17,OLD Nikki and the Robots - 0.3 - Win XP/Vista/7 file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-alpha-03-win-xpvista7,http://www.joyridelabs.de/game/,Joyridelabs.de,8,131,false,false,false,true,false,false,false,false,2024-06-25,2025-01-19,false,false
17,OLD Nikki and the Robots old Windows XP/7 old file - ModDB,https://www.moddb.com/games/nikki-and-the-robots/downloads/nikki-and-the-robots-alpha-windows-xp7,http://www.joyridelabs.de/game/,Joyridelabs.de,8,130,false,false,false,true,false,false,false,false,2024-08-24,2025-02-10,false,false
