Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
24,Candies+Images - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Candies%2BImages,http://school-bites.com/halloween-candy/,school-bites.com,40,165,false,false,false,true,false,false,false,false,2024-09-16,2024-12-08,false,true
24,Halloween+Candy+Decorations - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRMHRS&q=Halloween%2BCandy%2BDecorations,http://school-bites.com/halloween-candy/,school-bites.com,39,170,false,false,false,true,false,false,false,false,2024-06-25,2025-02-12,false,true
23,Healthy+Fruit+Snacks+for+Kids - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRMHRS&q=Healthy%2BFruit%2BSnacks%2Bfor%2BKids,http://school-bites.com/st-patricks-day-school-party/,school-bites.com,39,174,false,false,false,true,false,false,false,false,2024-02-06,2024-12-09,false,true
23,Nut+Milk - Search Images,https://4.bing.com/images/search?FORM=IRMHRS&q=Nut%2BMilk,http://school-bites.com/homemade-nut-milk-recipe/,school-bites.com,40,438,false,false,false,true,false,false,false,false,2024-05-05,2024-12-19,false,true
23,School+Lunch+Tray - Search Images,https://4.bing.com/images/search?FORM=IRMHRS&q=School%2BLunch%2BTray,http://school-bites.com/3-great-resources-for-anyone-wanting-to-improve-school-food/,school-bites.com,37,369,false,false,false,true,false,false,false,false,2023-08-24,2025-04-12,false,true
23,Halloween+Candy+USA - Search Images,https://akam.bing.com/images/search?FORM=IRMHRS&q=Halloween%2BCandy%2BUSA,http://school-bites.com/halloween-candy/,school-bites.com,42,341,false,false,false,true,false,false,false,false,2024-10-01,2024-12-23,false,true
22,Free+Candies - Search Images,https://4.bing.com/images/search?FORM=IRMHIP&q=Free%2BCandies,http://school-bites.com/halloween-candy/,school-bites.com,40,324,false,false,false,true,false,false,false,false,2024-10-20,2025-04-21,false,true
22,Cooking+with+Children - Αναζήτηση Εικόνες,https://4.bing.com/images/search?FORM=IRMHRS&q=Cooking%2Bwith%2BChildren,http://school-bites.com/food-education-in-schools-starting-a-preschool-cooking-class/,school-bites.com,40,169,false,false,false,true,false,false,false,false,2024-08-12,2025-02-19,false,true
22,Kids+Food - Αναζήτηση Εικόνες,https://akam.bing.com/images/search?FORM=IRIBEP&q=Kids%2BFood,http://school-bites.com/st-patricks-day-school-party/,school-bites.com,40,168,false,false,false,true,false,false,false,false,2024-10-23,2025-01-11,false,true
22,Catdany - Search Images,https://akam.bing.com/images/search?q=Catdany&qft,http://school-bites.com/halloween-candy/,school-bites.com,38,234,false,false,false,true,false,false,false,false,2024-11-01,2025-01-10,false,true
15,Wellness Policy - Oakland Unified School District,https://www.ousd.org/school-wellness/wellness-policy,http://school-bites.com/,School Bites,53,298,false,false,false,true,false,false,false,false,2023-12-01,2025-01-25,false,true
