Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
37,FabTinyStar,http://fabacademy.org/archives/2015/doc/projects/FabTinyStar/,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,25,13,false,false,false,true,false,false,false,false,2024-11-07,2025-05-09,false,false
37,FabTinyStar,http://fabacademy.org/archives/2015/doc/projects/FabTinyStar/,http://www.simpleavr.com/avr/vusbtiny,the vusbtiny programmer from simpleavr,25,13,false,false,false,true,false,false,false,false,2024-11-07,2025-05-09,false,false
21,morecat_lab » Pepper,http://morecatlab.akiba.coocan.jp/lab/index.php/category/pepper/,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,13,99,false,false,false,true,false,false,false,false,2024-10-11,2025-04-08,false,false
19,"EZProbe, an EZ430 Based Logic Probe : 4 Steps - Instructables",https://www.instructables.com/EZProbe-an-EZ430-based-logic-probe/,http://www.simpleavr.com/msp430-projects/ezprobe,be found here,10,24,true,false,false,true,false,false,false,false,2024-09-09,2025-04-26,false,false
18,morecat_lab » 2012 » 1月 » 08,http://morecatlab.akiba.coocan.jp/lab/index.php/2012/01/08/?lang=en,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,12,94,false,false,false,true,false,false,false,false,2024-10-20,2025-04-18,false,false
18,morecat_lab » 2012 » 1月,http://morecatlab.akiba.coocan.jp/lab/index.php/2012/01/?lang=en,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,17,100,false,false,false,true,false,false,false,false,2024-11-17,2025-05-14,false,false
18,morecat_lab » morecat_lab,http://morecatlab.akiba.coocan.jp/lab/index.php/author/admin/page/13/,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,19,109,false,false,false,true,false,false,false,false,2024-03-19,2025-03-02,false,true
18,morecat_lab » morecat_lab,http://morecatlab.akiba.coocan.jp/lab/index.php/author/admin/page/13/?lang=en,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,19,109,false,false,false,true,false,false,false,false,2024-10-16,2025-04-19,false,false
18,morecat_lab » AVR,http://morecatlab.akiba.coocan.jp/lab/index.php/category/avr/page/6/?lang=en,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,14,99,false,false,false,true,false,false,false,false,2024-10-22,2025-03-14,false,false
18,morecat_lab,http://morecatlab.akiba.coocan.jp/lab/index.php/page/13/,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,19,109,false,false,false,true,false,false,false,false,2024-11-06,2025-04-29,false,false
18,morecat_lab,http://morecatlab.akiba.coocan.jp/lab/index.php/page/13/?lang=en,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,19,109,false,false,false,true,false,false,false,false,2024-11-17,2025-05-16,false,false
18,morecat_lab,http://morecatlab.akiba.coocan.jp/lab/index.php/page/13/?lang=en%2F,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,19,109,false,false,false,true,false,false,false,false,2024-10-20,2025-04-20,false,false
18,Little Wire: the compact USB multi-tool,https://www.rs-online.com/designspark/little-wire-the-compact-usb-multi-tool,http://www.simpleavr.com/avr/vusbtiny,V-USB ATtiny in-system programmer,20,131,false,false,false,true,false,false,false,false,2024-10-23,2025-06-01,false,false
17,morecat_lab » 2012 » 1月,http://morecatlab.akiba.coocan.jp/lab/index.php/2012/01/,http://www.simpleavr.com/avr/vusbtiny,vusbtiny,17,100,false,false,false,true,false,false,false,false,2024-02-14,2025-06-02,false,false
