Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
55,Top Global Websites Directory,https://naiad.pages.dev/08/zBUnhFCFsE,https://thebrief.io/,thebrief.io,10003,1,true,false,false,true,false,false,false,false,2024-10-11,2025-05-30,false,false
32,Hypercritical Episode 89: 89: Lazy Sunday,https://hypercritical.fireside.fm/89,http://thebrief.io/,The Brief,17,18,false,false,false,true,false,false,false,false,2024-09-21,2025-06-04,false,false
22,The Legislation of Privacy: New Laws That Will Change Your Life - Security Affairs,https://securityaffairs.com/13191/laws-and-regulations/the-legislation-of-privacy-new-laws-that-will-change-your-life.html,http://thebrief.io/news/the-apps-act,discussion draft,54,2250,false,false,false,true,false,false,false,false,2024-09-30,2025-06-05,false,false
21,Liability Roadblocks For Self-Driving Cars,https://cyberlaw.stanford.edu/press/liability-roadblocks-self-driving-cars/,http://thebrief.io/news/liability-roadblocks-for-self-driving-cars?ref=cyberlaw.stanford.edu,The Brief,1,14,false,false,false,true,false,false,false,false,2024-08-27,2025-05-02,false,true
21,Dick Wisdom on BuzzFeed,https://www.buzzfeed.com/nostrich,http://thebrief.io/,Website,7,78,false,false,false,true,false,false,false,false,2024-10-22,2025-03-12,false,false
20,Liability Roadblocks For Self-Driving Cars,https://cyberlaw.stanford.edu/press/liability-roadblocks-self-driving-cars/,http://thebrief.io/news/liability-roadblocks-for-self-driving-cars,The Brief,1,14,false,false,false,true,false,false,false,false,2025-05-02,2025-06-06,false,false
20,What's Sciatica＠crunchbasecom｜PChome Online 個人新聞台,https://mypaper.pchome.com.tw/crunchbasecom/post/1376230386,http://thebrief.io/,,172,50,false,false,false,false,false,false,true,false,2024-11-11,2025-04-18,false,false
20,What's Sciatica＠crunchbasecom｜PChome Online 個人新聞台,https://mypaper.pchome.com.tw/crunchbasecom/post/1376230386,http://thebrief.io/,pay someone to do my programming homework,172,50,false,false,false,true,false,false,false,false,2024-11-11,2025-04-18,false,false
16,Evening Edition looks to build beyond its simple model | Nieman Journalism Lab,https://www.niemanlab.org/2013/07/evening-edition-looks-to-build-beyond-its-simple-model/,http://thebrief.io/,The Brief,39,65,false,false,false,true,false,false,false,false,2024-08-03,2025-05-17,false,false
15,Internet Goodness - news websites | Ask MetaFilter,https://ask.metafilter.com/231890/Internet-Goodness,http://thebrief.io/,The Brief,25,109,false,false,false,true,false,false,false,false,2024-10-27,2025-02-10,false,false
