Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
21,DJ Kool Herc Interview: Artist on Bringing Hip-Hop Museum to Jamaica | Billboard,https://www.billboard.com/music/rb-hip-hop/dj-kool-herc-jamaica-hip-hop-museum-interview-8551728/,https://thejmceffect.com/,Jamaica Music Conference,62,114,true,false,false,true,false,false,false,false,2024-06-29,2025-04-25,false,false
20,"Music News Digest, Jan. 22, 2020 | Billboard Canada",https://ca.billboard.com/fyi/music-news-digest-jan-22-2020,https://thejmceffect.com/,reggae summit,21,89,false,false,false,true,false,false,false,false,2024-03-21,2025-06-04,false,false
16,"Hot Topics, Superstar Guests, More Planned for 7th Annual Jamaica Music Conference (JMC) During Reggae Month 2020 | MPR MAGAZINE",https://mprmagazine.home.blog/2020/01/23/hot-topics-superstar-guests-more-planned-for-7th-annual-jamaica-music-conference-jmc-during-reggae-month-2020/,http://www.thejmceffect.com/,http://www.thejmceffect.com,16,32,false,false,false,true,false,false,false,false,2024-08-16,2025-05-09,false,false
15,Kool Herc Plots Hip Hop Museum In Jamaica | HipHopDX,https://hiphopdx.com/news/id.54707/title.kool-herc-plots-hip-hop-museum-in-jamaica,https://thejmceffect.com/,Jamaica Music Conference,8,39,false,false,false,true,false,false,false,false,2023-08-17,2025-06-05,false,false
15,Kool Herc Plots Hip Hop Museum In Jamaica | HipHopDX,https://hiphopdx.com/news/id.54707/title.kool-herc-plots-hip-hop-museum-in-jamaica,https://thejmceffect.com/about-us,Jamaica Music Conference,8,39,false,false,false,true,false,false,false,false,2024-12-08,2025-06-05,false,false
15,"Shaggy, Kool Herc and Walshy Fire Top an Amazing Ensemble of Panelists for the Jamaica Music Conference | MPR MAGAZINE",https://mprmagazine.home.blog/2020/02/05/shaggy-kool-herc-and-walshy-fire-top-an-amazing-ensemble-of-panelists-for-the-jamaica-music-conference/,http://www.thejmceffect.com/,http://www.thejmceffect.com,17,34,false,false,false,true,false,false,false,false,2021-08-27,2025-05-31,false,false
15,Kool Herc Plots Hip Hop Museum In Jamaica | HipHopDX,https://staging.hiphopdx.com/news/id.54707/title.kool-herc-plots-hip-hop-museum-in-jamaica,https://thejmceffect.com/,Jamaica Music Conference,8,39,false,false,false,true,false,false,false,false,2025-04-28,2025-05-27,false,false
15,Kool Herc Plots Hip Hop Museum In Jamaica | HipHopDX,https://staging.hiphopdx.com/news/id.54707/title.kool-herc-plots-hip-hop-museum-in-jamaica,https://thejmceffect.com/about-us,Jamaica Music Conference,8,39,false,false,false,true,false,false,false,false,2025-04-28,2025-05-27,false,false
13,Things to Do in Jamaica in February | Events & Festivals in Jamaica,https://www.visitjamaica.com/blog/post/things-to-do-in-jamaica-in-february/,https://thejmceffect.com/,Jamaica Music Conference,19,178,false,false,false,true,false,false,false,false,2024-08-24,2025-05-22,false,false
12,"In Their Own Words: Shaggy, Walshy Fire, & More on What Needs to Be Done to Uplift the Jamaican Music Industry - Okayplayer",https://www.okayplayer.com/originals/jamaican-music-genre-problems-jmc.html,https://thejmceffect.com/,JMC,24,54,false,false,false,true,false,false,false,false,2024-12-10,2025-06-03,false,false
9,"Shaggy, Kool Herc and Walshy Fire Top an Amazing Ensemble of Panelists for the Jamaica Music Conference - Home - Jamaican News",https://news.jamaicans.com/shaggy-kool-herc-walshy-fire-top-amazing-ensemble-panelists-jamaica-music-conference/,http://www.thejmceffect.com/,http://www.thejmceffect.com,9,40,false,false,false,true,false,false,false,false,2024-01-30,2025-03-01,false,true
9,Lots in Store for 7th Annual Jamaica Music Conference (JMC) During Reggae Month -- MPR CONSULTING | PRLog,https://www.prlog.org/12807450-lots-in-store-for-7th-annual-jamaica-music-conference-jmc-during-reggae-month.html,http://www.thejmceffect.com/,http://www.thejmceffect.com,4,68,true,false,false,true,false,false,false,false,2025-01-07,2025-01-07,false,false
